ENSCHIP00000032584	ENSCHIG00000026502	Capra_hircus	ENSCHIT00000040459
ENSCHIP00000017556	ENSCHIG00000017345	Capra_hircus	ENSCHIT00000025367
ENSOARP00000020127	ENSOARG00000018742	Ovis_aries	ENSOART00000020406
ENSBMUP00000022030	ENSBMUG00000016584	Bos_mutus	ENSBMUT00000025404
ENSTTRP00000001709	ENSTTRG00000001812	Tursiops_truncatus
ENSVPAP00000002280	ENSVPAG00000002467	Vicugna_pacos
ENSSSCP00000053102	ENSSSCG00000029442	Sus_scrofa_strain_reference
ENSUAMP00000014813	ENSUAMG00000011871	Ursus_americanus
ENSUMAP00000017489	ENSUMAG00000012832	Ursus_maritimus
ENSAMEP00000011305	ENSAMEG00000010761	Ailuropoda_melanoleuca
ENSCAFP00020000258	ENSCAFG00020000307	Canis_lupus_dingo
ENSVVUP00000023657	ENSVVUG00000017323	Vulpes_vulpes
ENSCPOP00000031027	ENSCPOG00000040697	Cavia_porcellus
ENSCAPP00000002120	ENSCAPG00000004670	Cavia_aperea
ENSHGLP00000007360	ENSHGLG00000005361	Heterocephalus_glaber_HetGla_female_1.0
ENSCGRP00000024593	ENSCGRG00000017825	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001018314	ENSCGRG00001018110	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000020344	ENSMOCG00000018058	Microtus_ochrogaster
ENSMSIP00000015835	ENSMSIG00000013579	Mus_spicilegus
ENSNGAP00000018121	ENSNGAG00000018352	Nannospalax_galili
ENSPSMP00000029900	ENSPSMG00000020749	Prolemur_simus
ENSBBBP00000018419	ENSBBBG00000006835	Bison_bison_bison
ENSEASP00005026508	ENSEASG00005018096	Equus_asinus_asinus
ENSPPRP00000007741	ENSPPRG00000002775	Panthera_pardus
ENSFCAP00000039261	ENSFCAG00000037079	Felis_catus
ENSUAMP00000014785	ENSUAMG00000011864	Ursus_americanus
ENSUAMP00000005178	ENSUAMG00000004638	Ursus_americanus
ENSUMAP00000017472	ENSUMAG00000012825	Ursus_maritimus
ENSOCUP00000027636	ENSOCUG00000031387	Oryctolagus_cuniculus
ENSOCUP00000035561	ENSOCUG00000032864	Oryctolagus_cuniculus
ENSP00000436042	ENSG00000204961	Homo_sapiens
ENSGGOP00000027728	ENSGGOG00000008247	Gorilla_gorilla
ENSCSAP00000008789	ENSCSAG00000012611	Chlorocebus_sabaeus
ENSTGEP00000033086	ENSTGEG00000026443	Theropithecus_gelada
ENSP00000436426	ENSG00000204963	Homo_sapiens
ENSTSYP00000005281	ENSTSYG00000005760	Carlito_syrichta
ENSMICP00000032105	ENSMICG00000029317	Microcebus_murinus
ENSOGAP00000017008	ENSOGAG00000031601	Otolemur_garnettii
ENSFDAP00000010434	ENSFDAG00000018204	Fukomys_damarensis
ENSCAPP00000014930	ENSCAPG00000015174	Cavia_aperea
ENSCLAP00000000024	ENSCLAG00000000049	Chinchilla_lanigera
ENSHGLP00100000687	ENSHGLG00100000572	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100000738	ENSHGLG00100000611	Heterocephalus_glaber_HetGla_1.0
ENSMUSP00000142159	ENSMUSG00000103800	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0048365	MGP_SPRETEiJ_G0023060	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0046448	MGP_CAROLIEiJ_G0022150	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0039047	MGP_PahariEiJ_G0018885	Mus_pahari_strain_PAHARI_EIJ
ENSMUSP00000142156	ENSMUSG00000104318	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0039045	MGP_PahariEiJ_G0018883	Mus_pahari_strain_PAHARI_EIJ
ENSCGRP00001004825	ENSCGRG00001006214	Cricetulus_griseus_CHOK1GS_HDv1
ENSNGAP00000006407	ENSNGAG00000009546	Nannospalax_galili
ENSCCNP00000009241	ENSCCNG00000009766	Castor_canadensis
ENSLAFP00000011953	ENSLAFG00000014278	Loxodonta_africana
ENSPCAP00000003180	ENSPCAG00000003444	Procavia_capensis
ENSETEP00000007690	ENSETEG00000009468	Echinops_telfairi
ENSPCAP00000012978	ENSPCAG00000013883	Procavia_capensis
