ENSGMOP00000020923	ENSGMOG00000019450	Gadus_morhua
ENSOMEP00000007223	ENSOMEG00000008313	Oryzias_melastigma
ENSATEP00000023356	ENSATEG00000016189	Anabas_testudineus
ENSHHUP00000042860	ENSHHUG00000026367	Hucho_hucho
ENSPRNP00000027579	ENSPRNG00000013772	Parambassis_ranga
ENSIPUP00000005821	ENSIPUG00000004054	Ictalurus_punctatus
ENSPFOP00000002151	ENSPFOG00000002314	Poecilia_formosa
ENSCHAP00000010370	ENSCHAG00000005994	Clupea_harengus
ENSAMXP00005038583	ENSAMXG00005018295	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCSEP00000026457	ENSCSEG00000016908	Cynoglossus_semilaevis
ENSFHEP00000023862	ENSFHEG00000005110	Fundulus_heteroclitus
ENSACIP00000000489	ENSACIG00000000391	Amphilophus_citrinellus
ENSPLAP00000009494	ENSPLAG00000012263	Poecilia_latipinna
ENSXCOP00000006491	ENSXCOG00000005026	Xiphophorus_couchianus
ENSPNAP00000013273	ENSPNAG00000004957	Pygocentrus_nattereri
ENSMALP00000027247	ENSMALG00000018912	Monopterus_albus
ENSAOCP00000029997	ENSAOCG00000020645	Amphiprion_ocellaris
ENSPNAP00000026784	ENSPNAG00000012114	Pygocentrus_nattereri
ENSSFOP00015012836	ENSSFOG00015008286	Scleropages_formosus
ENSNBRP00000008320	ENSNBRG00000006508	Neolamprologus_brichardi
ENSHHUP00000000610	ENSHHUG00000000423	Hucho_hucho
ENSLCRP00005000128	ENSLCRG00005000122	Larimichthys_crocea
ENSHCOP00000010908	ENSHCOG00000013602	Hippocampus_comes
ENSORLP00000030079	ENSORLG00000022436	Oryzias_latipes_ASM223467v1
ENSSMAP00000028967	ENSSMAG00000017749	Scophthalmus_maximus
ENSDCDP00000010966	ENSDCDG00000005463	Denticeps_clupeoides
ENSIPUP00000031194	ENSIPUG00000021026	Ictalurus_punctatus
ENSTNIP00000016839	ENSTNIG00000013835	Tetraodon_nigroviridis
ENSCGOP00000039970	ENSCGOG00000018248	Cottoperca_gobio
ENSELUP00000015580	ENSELUG00000015517	Esox_lucius
ENSONIP00000017011	ENSONIG00000013527	Oreochromis_niloticus
ENSMMOP00000018778	ENSMMOG00000014221	Mola_mola
ENSAMXP00000043292	ENSAMXG00000040749	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNYP00000028057	ENSPNYG00000021132	Pundamilia_nyererei
ENSKMAP00000009696	ENSKMAG00000007288	Kryptolebias_marmoratus
ENSBSLP00000002060	ENSBSLG00000001165	Betta_splendens
ENSDCDP00000039357	ENSDCDG00000026179	Denticeps_clupeoides	ENSDCDT00000050228
ENSTRUP00000052071	ENSTRUG00000024862	Takifugu_rubripes
ENSSPAP00000022797	ENSSPAG00000017223	Stegastes_partitus
ENSSDUP00000029606	ENSSDUG00000021348	Seriola_dumerili
ENSLCAP00010039579	ENSLCAG00010018487	Lates_calcarifer
ENSACLP00000031622	ENSACLG00000021441	Astatotilapia_calliptera
ENSPMEP00000026199	ENSPMEG00000009706	Poecilia_mexicana
ENSELUP00000011614	ENSELUG00000011952	Esox_lucius
ENSGWIP00000056694	ENSGWIG00000026833	Gouania_willdenowi
ENSCVAP00000013873	ENSCVAG00000016418	Cyprinodon_variegatus
ENSPREP00000030076	ENSPREG00000020367	Poecilia_reticulata
ENSAPEP00000029439	ENSAPEG00000020939	Amphiprion_percula
ENSGACP00000026127	ENSGACG00000019768	Gasterosteus_aculeatus
ENSXMAP00000025380	ENSXMAG00000025229	Xiphophorus_maculatus
ENSSLDP00000000275	ENSSLDG00000000307	Seriola_lalandi_dorsalis
ENSECRP00000015920	ENSECRG00000010623	Erpetoichthys_calabaricus
ENSORLP00015009394	ENSORLG00015010178	Oryzias_latipes_ASM223469v1
ENSHHUP00000083876	ENSHHUG00000048647	Hucho_hucho
ENSHBUP00000014831	ENSHBUG00000016684	Haplochromis_burtoni
ENSAMXP00000029182	ENSAMXG00000031666	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEEP00000049620	ENSEEEG00000023330	Electrophorus_electricus
ENSDARP00000071687	ENSDARG00000054937	Danio_rerio
ENSGAFP00000022300	ENSGAFG00000015067	Gambusia_affinis
ENSAPOP00000034738	ENSAPOG00000024212	Acanthochromis_polyacanthus
ENSMZEP00005004093	ENSMZEG00005003172	Maylandia_zebra
ENSMAMP00000012849	ENSMAMG00000008728	Mastacembelus_armatus
ENSPKIP00000010006	ENSPKIG00000024892	Paramormyrops_kingsleyae
ENSAMXP00005026465	ENSAMXG00005013341	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEEEP00000004152	ENSEEEG00000002202	Electrophorus_electricus
ENSLBEP00000021080	ENSLBEG00000016200	Labrus_bergylta
ENSORLP00020028728	ENSORLG00020000312	Oryzias_latipes_ASM223471v1
ENSCHAP00000035537	ENSCHAG00000016842	Clupea_harengus	ENSCHAT00000038479
ENSDARP00000110213	ENSDARG00000087993	Danio_rerio
