ENSECAP00000004751	ENSECAG00000034070	Equus_caballus	ENSECAT00000006658
ENSECAP00000027891	ENSECAG00000032292	Equus_caballus	ENSECAT00000053043
ENSECAP00000038676	ENSECAG00000040450	Equus_caballus	ENSECAT00000058855
ENSSSCP00000002382	ENSSSCG00000002187	Sus_scrofa_strain_reference
ENSHGLP00000027937	ENSHGLG00000020041	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100028014	ENSHGLG00100021221	Heterocephalus_glaber_HetGla_1.0
ENSSTOP00000020904	ENSSTOG00000021618	Ictidomys_tridecemlineatus
ENSOCUP00000024997	ENSOCUG00000010072	Oryctolagus_cuniculus
ENSPTRP00000010328	ENSPTRG00000006082	Pan_troglodytes
ENSGGOP00000018733	ENSGGOG00000023415	Gorilla_gorilla
ENSP00000319197	ENSG00000176230	Homo_sapiens
ENSPPYP00000006325	ENSPPYG00000005556	Pongo_abelii
ENSMFAP00000011041	ENSMFAG00000012628	Macaca_fascicularis
ENSMMUP00000002478	ENSMMUG00000001863	Macaca_mulatta
ENSMNEP00000000707	ENSMNEG00000003536	Macaca_nemestrina
ENSTGEP00000016739	ENSTGEG00000013551	Theropithecus_gelada
ENSPANP00000000654	ENSPANG00000005470	Papio_anubis
ENSCATP00000001105	ENSCATG00000005459	Cercocebus_atys
ENSTBEP00000012985	ENSTBEG00000014975	Tupaia_belangeri
ENSDNOP00000012798	ENSDNOG00000043154	Dasypus_novemcinctus
ENSDNOP00000033555	ENSDNOG00000039416	Dasypus_novemcinctus
ENSDNOP00000004110	ENSDNOG00000049636	Dasypus_novemcinctus
ENSLAFP00000029422	ENSLAFG00000030227	Loxodonta_africana
ENSLAFP00000023163	ENSLAFG00000030974	Loxodonta_africana
