FBpp0079708	FBgn0032296	Drosophila_melanogaster	FBtr0080119
K04B12.3a.1	WBGene00010551	Caenorhabditis_elegans_strain_N2	K04B12.3a.1
ENSCPGP00000023759	ENSCPGG00000016426	Calidris_pygmaea	ENSCPGT00000025954
ENSCPUP00000029528	ENSCPUG00000019778	Calidris_pugnax	ENSCPUT00000034753
ENSTGUP00000007707	ENSTGUG00000007488	Taeniopygia_guttata
ENSLSDP00000012345	ENSLSDG00000009017	Lonchura_striata_domestica
ENSSCAP00000014585	ENSSCAG00000010715	Serinus_canaria
ENSFALP00000005849	ENSFALG00000005614	Ficedula_albicollis
ENSPMJP00000027208	ENSPMJG00000019817	Parus_major
ENSCCEP00000015186	ENSCCEG00000014369	Cyanistes_caeruleus
ENSJHYP00000000533	ENSJHYG00000000505	Junco_hyemalis
ENSZALP00000017154	ENSZALG00000013911	Zonotrichia_albicollis
ENSLCOP00000013039	ENSLCOG00000009399	Lepidothrix_coronata
ENSMVIP00005020246	ENSMVIG00005014312	Manacus_vitellinus
ENSMUNP00000009489	ENSMUNG00000007458	Melopsittacus_undulatus
ENSABRP00000008226	ENSABRG00000007439	Anser_brachyrhynchus
ENSAPLP00000020296	ENSAPLG00000013932	Anas_platyrhynchos_platyrhynchos
ENSGALP00000052096	ENSGALG00000005093	Gallus_gallus
ENSCJPP00005021558	ENSCJPG00005017248	Coturnix_japonica
ENSMGAP00000007298	ENSMGAG00000007204	Meleagris_gallopavo
ENSNMEP00000003470	ENSNMEG00000004015	Numida_meleagris
ENSAHAP00000008745	ENSAHAG00000006428	Apteryx_haastii
ENSAOWP00000023813	ENSAOWG00000016053	Apteryx_owenii
ENSARWP00000022995	ENSARWG00000015672	Apteryx_rowi
ENSDNVP00000005465	ENSDNVG00000003889	Dromaius_novaehollandiae
ENSNPEP00000014424	ENSNPEG00000010753	Nothoprocta_perdicaria
ENSCPRP00005017363	ENSCPRG00005012103	Crocodylus_porosus
ENSCABP00000011081	ENSCABG00000008277	Chelonoidis_abingdonii
ENSGAGP00000033051	ENSGAGG00000023604	Gopherus_agassizii
ENSCPBP00000007675	ENSCPBG00000006027	Chrysemys_picta_bellii
ENSPSIP00000012460	ENSPSIG00000011222	Pelodiscus_sinensis
ENSACAP00000013356	ENSACAG00000013600	Anolis_carolinensis
ENSPVIP00000026692	ENSPVIG00000019898	Pogona_vitticeps
ENSNSUP00000014500	ENSNSUG00000010731	Notechis_scutatus
ENSSMRP00000019275	ENSSMRG00000015018	Salvator_merianae
ENSSPUP00000021170	ENSSPUG00000016287	Sphenodon_punctatus
ENSPCIP00000014282	ENSPCIG00000011142	Phascolarctos_cinereus
ENSVURP00010016418	ENSVURG00010012571	Vombatus_ursinus
ENSMEUP00000011126	ENSMEUG00000012213	Notamacropus_eugenii
ENSSHAP00000020719	ENSSHAG00000017572	Sarcophilus_harrisii
ENSMODP00000018246	ENSMODG00000014605	Monodelphis_domestica
ENSCCNP00000006477	ENSCCNG00000006855	Castor_canadensis
ENSDORP00000021246	ENSDORG00000023339	Dipodomys_ordii
ENSSTOP00000006760	ENSSTOG00000007565	Ictidomys_tridecemlineatus
ENSUPAP00010016968	ENSUPAG00010013524	Urocitellus_parryii
ENSMMMP00000023042	ENSMMMG00000020189	Marmota_marmota_marmota
ENSSDAP00000022006	ENSSDAG00000020015	Spermophilus_dauricus
ENSHGLP00100020165	ENSHGLG00100014865	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000007150	ENSHGLG00000005216	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010077	ENSHGLG00100007482	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000024316	ENSHGLG00000017331	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000022982	ENSFDAG00000021242	Fukomys_damarensis
ENSCPOP00000002513	ENSCPOG00000002768	Cavia_porcellus
ENSODEP00000019163	ENSODEG00000014137	Octodon_degus
ENSCLAP00000017292	ENSCLAG00000011870	Chinchilla_lanigera
ENSMOCP00000027495	ENSMOCG00000022957	Microtus_ochrogaster
ENSPEMP00000008067	ENSPEMG00000009837	Peromyscus_maniculatus_bairdii
ENSCGRP00000009713	ENSCGRG00000007097	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015009839	ENSCGRG00015007587	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001004984	ENSCGRG00001006465	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000020708	ENSMAUG00000018661	Mesocricetus_auratus
MGP_SPRETEiJ_P0030432	MGP_SPRETEiJ_G0017769	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000010784	ENSMSIG00000009457	Mus_spicilegus
ENSMUSP00000020801	ENSMUSG00000020495	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0029021	MGP_CAROLIEiJ_G0016923	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0035740	MGP_PahariEiJ_G0018053	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000008107	ENSRNOG00000005769	Rattus_norvegicus
ENSMUGP00000007850	ENSMUGG00000007122	Meriones_unguiculatus
ENSNGAP00000022329	ENSNGAG00000021241	Nannospalax_galili
ENSJJAP00000000511	ENSJJAG00000000434	Jaculus_jaculus
ENSTBEP00000011052	ENSTBEG00000012765	Tupaia_belangeri
ENSPTRP00000016071	ENSPTRG00000009465	Pan_troglodytes
ENSPPAP00000009828	ENSPPAG00000028136	Pan_paniscus
ENSP00000438748	ENSG00000167447	Homo_sapiens
ENSGGOP00000002948	ENSGGOG00000002998	Gorilla_gorilla
ENSPPYP00000009242	ENSPPYG00000008224	Pongo_abelii
