ENSSMAP00000011537	ENSSMAG00000007041	Scophthalmus_maximus
ENSPVAP00000010025	ENSPVAG00000010640	Pteropus_vampyrus
ENSAHAP00000001829	ENSAHAG00000000530	Apteryx_haastii
ENSAPEP00000020236	ENSAPEG00000014390	Amphiprion_percula
ENSNVIP00000007879	ENSNVIG00000006152	Neovison_vison
ENSKMAP00000002138	ENSKMAG00000001587	Kryptolebias_marmoratus
ENSXCOP00000015012	ENSXCOG00000011377	Xiphophorus_couchianus
ENSNMEP00000016399	ENSNMEG00000014468	Numida_meleagris
ENSLAFP00000015431	ENSLAFG00000018410	Loxodonta_africana
ENSPSIP00000007921	ENSPSIG00000007012	Pelodiscus_sinensis
ENSPCIP00000000215	ENSPCIG00000000191	Phascolarctos_cinereus
ENSACAP00000008246	ENSACAG00000008343	Anolis_carolinensis
ENSPFOP00000013164	ENSPFOG00000013036	Poecilia_formosa
ENSHGLP00000011448	ENSHGLG00000008209	Heterocephalus_glaber_HetGla_female_1.0
ENSCSAVP00000010072	ENSCSAVG00000005940	Ciona_savignyi
ENSSTOP00000000809	ENSSTOG00000000893	Ictidomys_tridecemlineatus
ENSEBUP00000025764	ENSEBUG00000015870	Eptatretus_burgeri	ENSEBUT00000026340
ENSLBEP00000018979	ENSLBEG00000014521	Labrus_bergylta	ENSLBET00000020009
ENSNLEP00000015872	ENSNLEG00000013047	Nomascus_leucogenys
ENSCAPP00000000160	ENSCAPG00000000128	Cavia_aperea
ENSCAFP00020012379	ENSCAFG00020009967	Canis_lupus_dingo
ENSCMIP00000017154	ENSCMIG00000008180	Callorhinchus_milii
ENSPTRP00000087075	ENSPTRG00000016344	Pan_troglodytes
ENSSHAP00000009790	ENSSHAG00000008473	Sarcophilus_harrisii
ENSBIXP00000025304	ENSBIXG00000027414	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCAFP00000053990	ENSCAFG00000010959	Canis_lupus_familiaris
ENSPANP00000002531	ENSPANG00000010441	Papio_anubis
ENSPNYP00000013116	ENSPNYG00000009915	Pundamilia_nyererei
ENSGAFP00000010660	ENSGAFG00000007178	Gambusia_affinis
ENSPVIP00000021596	ENSPVIG00000016387	Pogona_vitticeps
ENSTBEP00000002738	ENSTBEG00000003132	Tupaia_belangeri
ENSAPOP00000030711	ENSAPOG00000017549	Acanthochromis_polyacanthus
ENSMSIP00000038155	ENSMSIG00000031809	Mus_spicilegus
ENSMPUP00000008891	ENSMPUG00000008962	Mustela_putorius_furo
ENSFCAP00000050728	ENSFCAG00000014486	Felis_catus
ENSSCAP00000018118	ENSSCAG00000013134	Serinus_canaria
ENSCSEP00000004133	ENSCSEG00000002672	Cynoglossus_semilaevis
ENSBBBP00000027766	ENSBBBG00000024428	Bison_bison_bison
ENSAOWP00000018245	ENSAOWG00000012457	Apteryx_owenii
ENSPMGP00000010006	ENSPMGG00000008285	Periophthalmus_magnuspinnatus
ENSSFOP00015029117	ENSSFOG00015018647	Scleropages_formosus
ENSAOCP00000015196	ENSAOCG00000019990	Amphiprion_ocellaris
ENSPPYP00000016730	ENSPPYG00000014980	Pongo_abelii
ENSLCOP00000008807	ENSLCOG00000006442	Lepidothrix_coronata
ENSHHUP00000091666	ENSHHUG00000052849	Hucho_hucho
ENSMODP00000025787	ENSMODG00000020615	Monodelphis_domestica
ENSCPBP00000004995	ENSCPBG00000004022	Chrysemys_picta_bellii
ENSMGAP00000005942	ENSMGAG00000005932	Meleagris_gallopavo
ENSXETP00000003609	ENSXETG00000004549	Xenopus_tropicalis
ENSAPLP00000004798	ENSAPLG00000005181	Anas_platyrhynchos_platyrhynchos
ENSCJAP00000029238	ENSCJAG00000015822	Callithrix_jacchus
ENSPTIP00000010682	ENSPTIG00000011334	Panthera_tigris_altaica
ENSOMEP00000005172	ENSOMEG00000006254	Oryzias_melastigma
ENSPNAP00000016440	ENSPNAG00000022599	Pygocentrus_nattereri
ENSGMOP00000018945	ENSGMOG00000017587	Gadus_morhua
ENSUAMP00000032271	ENSUAMG00000024669	Ursus_americanus
ENSMMMP00000011097	ENSMMMG00000009872	Marmota_marmota_marmota
ENSPPAP00000041277	ENSPPAG00000043246	Pan_paniscus
ENSGWIP00000030375	ENSGWIG00000015666	Gouania_willdenowi
ENSBSLP00000000139	ENSBSLG00000000062	Betta_splendens
ENSTGUP00000004017	ENSTGUG00000003881	Taeniopygia_guttata
ENSMEUP00000009604	ENSMEUG00000010500	Notamacropus_eugenii
ENSMZEP00005026362	ENSMZEG00005019651	Maylandia_zebra
ENSMAMP00000023495	ENSMAMG00000015786	Mastacembelus_armatus
ENSLCAP00010010225	ENSLCAG00010004851	Lates_calcarifer
ENSJHYP00000004937	ENSJHYG00000004047	Junco_hyemalis
ENSHCOP00000002977	ENSHCOG00000004247	Hippocampus_comes
ENSMMOP00000008192	ENSMMOG00000006362	Mola_mola	ENSMMOT00000008343
ENSMICP00000009835	ENSMICG00000010786	Microcebus_murinus
ENSSPAP00000001522	ENSSPAG00000001072	Stegastes_partitus
