ENSCLAP00000004773	ENSCLAG00000003389	Chinchilla_lanigera
ENSCPOP00000001741	ENSCPOG00000001931	Cavia_porcellus
ENSHGLP00100017558	ENSHGLG00100012949	Heterocephalus_glaber_HetGla_1.0
ENSMMMP00000023840	ENSMMMG00000020871	Marmota_marmota_marmota
ENSSDAP00000020654	ENSSDAG00000018824	Spermophilus_dauricus
ENSUPAP00010007044	ENSUPAG00010005670	Urocitellus_parryii
ENSCCNP00000024474	ENSCCNG00000023949	Castor_canadensis
ENSDORP00000010040	ENSDORG00000010682	Dipodomys_ordii
MGP_SPRETEiJ_P0018046	MGP_SPRETEiJ_G0014827	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000037449	ENSMSIG00000031196	Mus_spicilegus
ENSMUSP00000027302	ENSMUSG00000026126	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0017048	MGP_CAROLIEiJ_G0014022	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000061226	ENSRNOG00000013415	Rattus_norvegicus
ENSMUGP00000013122	ENSMUGG00000011369	Meriones_unguiculatus
ENSMUGP00000013026	ENSMUGG00000011293	Meriones_unguiculatus
ENSCGRP00000024634	ENSCGRG00000017858	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015020679	ENSCGRG00015015815	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001020061	ENSCGRG00001019318	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000017020	ENSMOCG00000015746	Microtus_ochrogaster
ENSNGAP00000004139	ENSNGAG00000005213	Nannospalax_galili
ENSOCUP00000029937	ENSOCUG00000010571	Oryctolagus_cuniculus
ENSPTRP00000092579	ENSPTRG00000012452	Pan_troglodytes	ENSPTRT00000098967
ENSPPAP00000009841	ENSPPAG00000028142	Pan_paniscus	ENSPPAT00000032486
ENSP00000175756	ENSG00000072135	Homo_sapiens	ENST00000175756
ENSGGOP00000016133	ENSGGOG00000016535	Gorilla_gorilla
ENSPPYP00000014967	ENSPPYG00000013380	Pongo_abelii
ENSNLEP00000012988	ENSNLEG00000010616	Nomascus_leucogenys
ENSPTEP00000007475	ENSPTEG00000008508	Piliocolobus_tephrosceles
ENSCANP00000023990	ENSCANG00000035399	Colobus_angolensis_palliatus
ENSMNEP00000036119	ENSMNEG00000041185	Macaca_nemestrina
ENSMFAP00000033386	ENSMFAG00000003200	Macaca_fascicularis
ENSMMUP00000012588	ENSMMUG00000009617	Macaca_mulatta
ENSCSAP00000012981	ENSCSAG00000016945	Chlorocebus_sabaeus
ENSPANP00000005842	ENSPANG00000026409	Papio_anubis
ENSTGEP00000036191	ENSTGEG00000028802	Theropithecus_gelada
ENSCATP00000001710	ENSCATG00000007920	Cercocebus_atys
ENSMLEP00000027397	ENSMLEG00000037899	Mandrillus_leucophaeus
ENSSBOP00000005513	ENSSBOG00000019619	Saimiri_boliviensis_boliviensis
ENSCCAP00000002713	ENSCCAG00000015880	Cebus_capucinus_imitator
ENSCJAP00000068090	ENSCJAG00000004585	Callithrix_jacchus
ENSANAP00000014063	ENSANAG00000024956	Aotus_nancymaae
ENSTSYP00000007000	ENSTSYG00000007622	Carlito_syrichta
ENSPSMP00000033593	ENSPSMG00000023169	Prolemur_simus
ENSMICP00000043880	ENSMICG00000010256	Microcebus_murinus
ENSPCOP00000011140	ENSPCOG00000017080	Propithecus_coquereli
ENSOGAP00000006555	ENSOGAG00000007318	Otolemur_garnettii
ENSTBEP00000014899	ENSTBEG00000017133	Tupaia_belangeri
ENSCHIP00000011552	ENSCHIG00000013671	Capra_hircus
ENSOARP00000017000	ENSOARG00000015829	Ovis_aries
ENSBIXP00000043663	ENSBIXG00000005831	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005007285	ENSBIXG00005001393	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000015484	ENSBTAG00000011658	Bos_taurus
ENSBMUP00000008829	ENSBMUG00000006857	Bos_mutus
ENSBBBP00000023675	ENSBBBG00000018443	Bison_bison_bison
ENSTTRP00000011940	ENSTTRG00000012580	Tursiops_truncatus
ENSVPAP00000009422	ENSVPAG00000010125	Vicugna_pacos
ENSSSCP00000016675	ENSSSCG00000015735	Sus_scrofa_strain_reference
ENSPVAP00000005730	ENSPVAG00000006064	Pteropus_vampyrus
ENSUMAP00000018968	ENSUMAG00000013885	Ursus_maritimus
ENSUAMP00000036036	ENSUAMG00000027325	Ursus_americanus
ENSAMEP00000003059	ENSAMEG00000002887	Ailuropoda_melanoleuca
ENSCAFP00000040677	ENSCAFG00000030121	Canis_lupus_familiaris
ENSCAFP00020003533	ENSCAFG00020002951	Canis_lupus_dingo
ENSVVUP00000006468	ENSVVUG00000005010	Vulpes_vulpes
ENSPPRP00000019035	ENSPPRG00000010518	Panthera_pardus
ENSPTIP00000009740	ENSPTIG00000010730	Panthera_tigris_altaica
ENSEASP00005009903	ENSEASG00005007003	Equus_asinus_asinus
ENSECAP00000030810	ENSECAG00000011090	Equus_caballus
ENSCHOP00000001698	ENSCHOG00000001927	Choloepus_hoffmanni
ENSDNOP00000002148	ENSDNOG00000002771	Dasypus_novemcinctus
ENSLAFP00000011120	ENSLAFG00000013290	Loxodonta_africana
MGP_PahariEiJ_P0072395	MGP_PahariEiJ_G0027268	Mus_pahari_strain_PAHARI_EIJ
ENSPEMP00000022914	ENSPEMG00000020123	Peromyscus_maniculatus_bairdii
ENSOANP00000031914	ENSOANG00000029783	Ornithorhynchus_anatinus
