ENSPPAP00000011579	ENSPPAG00000028992	Pan_paniscus
ENSGGOP00000044490	ENSGGOG00000036215	Gorilla_gorilla
ENSNLEP00000048624	ENSNLEG00000029658	Nomascus_leucogenys
ENSCJAP00000053629	ENSCJAG00000015839	Callithrix_jacchus
ENSSBOP00000025940	ENSSBOG00000029430	Saimiri_boliviensis_boliviensis
ENSOCUP00000011264	ENSOCUG00000013089	Oryctolagus_cuniculus
ENSCPOP00000029328	ENSCPOG00000006580	Cavia_porcellus
ENSVVUP00000028253	ENSVVUG00000020693	Vulpes_vulpes
ENSCAFP00000037763	ENSCAFG00000030047	Canis_lupus_familiaris
ENSECAP00000028859	ENSECAG00000031992	Equus_caballus
ENSMODP00000044763	ENSMODG00000050797	Monodelphis_domestica
