ENSBSLP00000031872	ENSBSLG00000015688	Betta_splendens
ENSMOCP00000010118	ENSMOCG00000010323	Microtus_ochrogaster
ENSDNOP00000029397	ENSDNOG00000047444	Dasypus_novemcinctus
ENSPNAP00000033552	ENSPNAG00000022267	Pygocentrus_nattereri
ENSLOCP00000017427	ENSLOCG00000014146	Lepisosteus_oculatus
ENSMUGP00000011909	ENSMUGG00000010415	Meriones_unguiculatus
ENSNGAP00000002606	ENSNGAG00000002421	Nannospalax_galili
ENSNVIP00000021597	ENSNVIG00000016903	Neovison_vison
ENSHCOP00000020710	ENSHCOG00000007034	Hippocampus_comes
ENSTRUP00000056278	ENSTRUG00000021476	Takifugu_rubripes
ENSCPBP00000035114	ENSCPBG00000024474	Chrysemys_picta_bellii
ENSONIP00000008804	ENSONIG00000006982	Oreochromis_niloticus
ENSHBUP00000001801	ENSHBUG00000002968	Haplochromis_burtoni
ENSPEMP00000015980	ENSPEMG00000015358	Peromyscus_maniculatus_bairdii
ENSAMEP00000014466	ENSAMEG00000013735	Ailuropoda_melanoleuca
ENSMAUP00000013530	ENSMAUG00000013551	Mesocricetus_auratus
ENSSFOP00015027550	ENSSFOG00015017685	Scleropages_formosus
ENSPTEP00000032609	ENSPTEG00000031318	Piliocolobus_tephrosceles
ENSSMAP00000009917	ENSSMAG00000006096	Scophthalmus_maximus
ENSPMGP00000025380	ENSPMGG00000020477	Periophthalmus_magnuspinnatus
ENSTNIP00000021963	ENSTNIG00000018781	Tetraodon_nigroviridis
ENSMLEP00000003721	ENSMLEG00000016298	Mandrillus_leucophaeus
ENSMNEP00000045472	ENSMNEG00000045248	Macaca_nemestrina
ENSLCOP00000008128	ENSLCOG00000005953	Lepidothrix_coronata
ENSGAGP00000008445	ENSGAGG00000006713	Gopherus_agassizii	ENSGAGT00000009721
ENSETEP00000002792	ENSETEG00000003411	Echinops_telfairi
ENSCAFP00000018036	ENSCAFG00000012239	Canis_lupus_familiaris
ENSEEEP00000040671	ENSEEEG00000019272	Electrophorus_electricus
ENSPCOP00000000582	ENSPCOG00000001722	Propithecus_coquereli
ENSMMOP00000021539	ENSMMOG00000016367	Mola_mola
ENSPLAP00000021924	ENSPLAG00000006056	Poecilia_latipinna
ENSNSUP00000028214	ENSNSUG00000020106	Notechis_scutatus
ENSECRP00000024056	ENSECRG00000016292	Erpetoichthys_calabaricus
ENSSMRP00000027967	ENSSMRG00000021521	Salvator_merianae	ENSSMRT00000032634
ENSPFOP00000011148	ENSPFOG00000011159	Poecilia_formosa
ENSPCAP00000006799	ENSPCAG00000007315	Procavia_capensis
ENSECAP00000032794	ENSECAG00000017200	Equus_caballus
ENSFDAP00000011563	ENSFDAG00000019089	Fukomys_damarensis
ENSDORP00000013222	ENSDORG00000014065	Dipodomys_ordii
ENSXMAP00000018155	ENSXMAG00000018121	Xiphophorus_maculatus
ENSCAFP00020020563	ENSCAFG00020016289	Canis_lupus_dingo
ENSXETP00000025551	ENSXETG00000003658	Xenopus_tropicalis
ENSTGEP00000007027	ENSTGEG00000005750	Theropithecus_gelada
ENSPPYP00000007700	ENSPPYG00000006788	Pongo_abelii
ENSSSCP00000001990	ENSSSCG00000001820	Sus_scrofa_strain_reference
ENSJJAP00000011145	ENSJJAG00000014541	Jaculus_jaculus
ENSCSAP00000013108	ENSCSAG00000017067	Chlorocebus_sabaeus
ENSCHIP00000015312	ENSCHIG00000016009	Capra_hircus
ENSAMXP00000036149	ENSAMXG00000030279	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCGRP00015003404	ENSCGRG00015002715	Cricetulus_griseus_CriGri-PICR
ENSCHAP00000043627	ENSCHAG00000020271	Clupea_harengus
ENSMALP00000014330	ENSMALG00000010072	Monopterus_albus
ENSSDUP00000025849	ENSSDUG00000018743	Seriola_dumerili
ENSGACP00000023014	ENSGACG00000017413	Gasterosteus_aculeatus
ENSRBIP00000043497	ENSRBIG00000044910	Rhinopithecus_bieti
ENSATEP00000025084	ENSATEG00000017354	Anabas_testudineus
ENSCJPP00005027256	ENSCJPG00005021147	Coturnix_japonica
ENSMMMP00000022011	ENSMMMG00000019363	Marmota_marmota_marmota
ENSBBBP00000016025	ENSBBBG00000000302	Bison_bison_bison
ENSOGAP00000005120	ENSOGAG00000005729	Otolemur_garnettii
ENSLCRP00005006629	ENSLCRG00005003330	Larimichthys_crocea
ENSDNVP00000023161	ENSDNVG00000016097	Dromaius_novaehollandiae
ENSPKIP00000039211	ENSPKIG00000016651	Paramormyrops_kingsleyae
ENSANAP00000021778	ENSANAG00000028673	Aotus_nancymaae
ENSSPAP00000001843	ENSSPAG00000001419	Stegastes_partitus
ENSRNOP00000016445	ENSRNOG00000012236	Rattus_norvegicus
ENSBTAP00000024795	ENSBTAG00000018637	Bos_taurus
ENSMICP00000050045	ENSMICG00000041559	Microcebus_murinus
ENSTBEP00000007462	ENSTBEG00000008628	Tupaia_belangeri
MGP_CAROLIEiJ_P0080359	MGP_CAROLIEiJ_G0029903	Mus_caroli_strain_CAROLI_EIJ
ENSPCIP00000051544	ENSPCIG00000006534	Phascolarctos_cinereus
