ENSLCAP00010011665	ENSLCAG00010005521	Lates_calcarifer
ENSCSEP00000001662	ENSCSEG00000001131	Cynoglossus_semilaevis
ENSSPAP00000023712	ENSSPAG00000017883	Stegastes_partitus
ENSAPOP00000034943	ENSAPOG00000024558	Acanthochromis_polyacanthus
ENSONIP00000003829	ENSONIG00000003058	Oreochromis_niloticus
ENSPNYP00000006078	ENSPNYG00000004687	Pundamilia_nyererei
ENSXCOP00000004118	ENSXCOG00000003233	Xiphophorus_couchianus
ENSGAFP00000018444	ENSGAFG00000012481	Gambusia_affinis
ENSFHEP00000031981	ENSFHEG00000018219	Fundulus_heteroclitus
ENSTRUP00000055290	ENSTRUG00000020774	Takifugu_rubripes
ENSECRP00000012146	ENSECRG00000008093	Erpetoichthys_calabaricus
ENSCMIP00000035827	ENSCMIG00000015150	Callorhinchus_milii
