ENSSFOP00015020660	ENSSFOG00015013252	Scleropages_formosus	ENSSFOT00015020894
ENSPKIP00000037865	ENSPKIG00000015885	Paramormyrops_kingsleyae	ENSPKIT00000018846
ENSPKIP00000037625	ENSPKIG00000015699	Paramormyrops_kingsleyae	ENSPKIT00000018597
ENSDCDP00000011963	ENSDCDG00000007010	Denticeps_clupeoides	ENSDCDT00000014148
ENSDCDP00000001416	ENSDCDG00000000723	Denticeps_clupeoides	ENSDCDT00000001544
ENSCHAP00000005137	ENSCHAG00000002317	Clupea_harengus	ENSCHAT00000005858
ENSPNAP00000036657	ENSPNAG00000027824	Pygocentrus_nattereri	ENSPNAT00000031563
ENSGMOP00000008050	ENSGMOG00000007519	Gadus_morhua
ENSGACP00000022775	ENSGACG00000017238	Gasterosteus_aculeatus	ENSGACT00000022818
ENSHHUP00000054331	ENSHHUG00000032503	Hucho_hucho
ENSHHUP00000032849	ENSHHUG00000020799	Hucho_hucho
ENSELUP00000014601	ENSELUG00000014653	Esox_lucius
ENSLOCP00000010940	ENSLOCG00000008966	Lepisosteus_oculatus
ENSECRP00000002503	ENSECRG00000001537	Erpetoichthys_calabaricus
ENSCPGP00000021947	ENSCPGG00000014423	Calidris_pygmaea
ENSCPUP00000017784	ENSCPUG00000012247	Calidris_pugnax
ENSLCOP00000014857	ENSLCOG00000010638	Lepidothrix_coronata
ENSMVIP00005015954	ENSMVIG00005011473	Manacus_vitellinus
ENSJHYP00000020303	ENSJHYG00000015412	Junco_hyemalis
ENSZALP00000004357	ENSZALG00000004101	Zonotrichia_albicollis
ENSFALP00000005183	ENSFALG00000004987	Ficedula_albicollis
ENSLSDP00000015997	ENSLSDG00000011544	Lonchura_striata_domestica
ENSTGUP00000002494	ENSTGUG00000002408	Taeniopygia_guttata
ENSSCAP00000017351	ENSSCAG00000012608	Serinus_canaria
ENSPMJP00000010601	ENSPMJG00000008316	Parus_major
ENSCCEP00000026734	ENSCCEG00000023423	Cyanistes_caeruleus
ENSMUNP00000005090	ENSMUNG00000004213	Melopsittacus_undulatus
ENSGALP00000037818	ENSGALG00000009913	Gallus_gallus
ENSCJPP00005001688	ENSCJPG00005001731	Coturnix_japonica
ENSMGAP00000003271	ENSMGAG00000003517	Meleagris_gallopavo
ENSNMEP00000025763	ENSNMEG00000021793	Numida_meleagris
ENSAPLP00000023004	ENSAPLG00000009206	Anas_platyrhynchos_platyrhynchos
ENSABRP00000017104	ENSABRG00000014923	Anser_brachyrhynchus
ENSNPEP00000006966	ENSNPEG00000005234	Nothoprocta_perdicaria
ENSNPEP00000006975	ENSNPEG00000005238	Nothoprocta_perdicaria
ENSAHAP00000011571	ENSAHAG00000007428	Apteryx_haastii
ENSARWP00000026853	ENSARWG00000018123	Apteryx_rowi
ENSAOWP00000015549	ENSAOWG00000010581	Apteryx_owenii
ENSDNVP00000002835	ENSDNVG00000002045	Dromaius_novaehollandiae
