ENSPVIP00000029499	ENSPVIG00000021758	Pogona_vitticeps	ENSPVIT00000036147
ENSSPUP00000022028	ENSSPUG00000016900	Sphenodon_punctatus
ENSCABP00000021388	ENSCABG00000015757	Chelonoidis_abingdonii
ENSCPBP00000009716	ENSCPBG00000007494	Chrysemys_picta_bellii
ENSMVIP00005010831	ENSMVIG00005007959	Manacus_vitellinus
ENSLCOP00000012445	ENSLCOG00000009012	Lepidothrix_coronata
ENSLSDP00000017235	ENSLSDG00000012378	Lonchura_striata_domestica
ENSFALP00000014045	ENSFALG00000013459	Ficedula_albicollis
ENSPMJP00000023083	ENSPMJG00000017059	Parus_major
ENSCPGP00000015525	ENSCPGG00000010938	Calidris_pygmaea
ENSNMEP00000016721	ENSNMEG00000014700	Numida_meleagris
ENSARWP00000013403	ENSARWG00000009289	Apteryx_rowi
ENSAOWP00000000690	ENSAOWG00000000542	Apteryx_owenii
ENSOGAP00000003591	ENSOGAG00000004032	Otolemur_garnettii
ENSPCOP00000012794	ENSPCOG00000017987	Propithecus_coquereli
ENSPTRP00000075873	ENSPTRG00000015444	Pan_troglodytes
ENSPPAP00000036703	ENSPPAG00000041110	Pan_paniscus
ENSP00000335444	ENSG00000181322	Homo_sapiens
ENSGGOP00000038967	ENSGGOG00000034930	Gorilla_gorilla
ENSPPYP00000015820	ENSPPYG00000014141	Pongo_abelii
ENSNLEP00000024668	ENSNLEG00000004183	Nomascus_leucogenys
ENSMFAP00000018807	ENSMFAG00000032445	Macaca_fascicularis
ENSMNEP00000017046	ENSMNEG00000032513	Macaca_nemestrina
ENSMMUP00000038508	ENSMMUG00000007755	Macaca_mulatta
ENSCSAP00000007220	ENSCSAG00000010999	Chlorocebus_sabaeus
ENSTGEP00000013191	ENSTGEG00000010706	Theropithecus_gelada
ENSCATP00000027419	ENSCATG00000037084	Cercocebus_atys
ENSMLEP00000035261	ENSMLEG00000041761	Mandrillus_leucophaeus
ENSPANP00000015841	ENSPANG00000009487	Papio_anubis
ENSRBIP00000016804	ENSRBIG00000032421	Rhinopithecus_bieti
ENSRROP00000023096	ENSRROG00000035400	Rhinopithecus_roxellana
ENSPTEP00000003587	ENSPTEG00000004228	Piliocolobus_tephrosceles
ENSCANP00000019391	ENSCANG00000033124	Colobus_angolensis_palliatus
ENSCCAP00000008596	ENSCCAG00000022017	Cebus_capucinus_imitator
ENSCJAP00000068280	ENSCJAG00000002391	Callithrix_jacchus
ENSSBOP00000020526	ENSSBOG00000026799	Saimiri_boliviensis_boliviensis
ENSANAP00000006815	ENSANAG00000021464	Aotus_nancymaae
ENSTBEP00000000686	ENSTBEG00000000780	Tupaia_belangeri
ENSPEMP00000034465	ENSPEMG00000028368	Peromyscus_maniculatus_bairdii
ENSCGRP00015006345	ENSCGRG00015004908	Cricetulus_griseus_CriGri-PICR
ENSMUSP00000150820	ENSMUSG00000046242	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000017204	ENSMSIG00000014688	Mus_spicilegus
ENSRNOP00000048183	ENSRNOG00000031523	Rattus_norvegicus
ENSMUGP00000004799	ENSMUGG00000004412	Meriones_unguiculatus
ENSCCNP00000022960	ENSCCNG00000022581	Castor_canadensis
ENSCLAP00000002879	ENSCLAG00000002070	Chinchilla_lanigera
ENSCPOP00000007297	ENSCPOG00000008114	Cavia_porcellus
ENSHGLP00000020867	ENSHGLG00000014916	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022246	ENSHGLG00100016377	Heterocephalus_glaber_HetGla_1.0
ENSSDAP00000008182	ENSSDAG00000007464	Spermophilus_dauricus
ENSMMMP00000020302	ENSMMMG00000017916	Marmota_marmota_marmota
ENSUPAP00010009395	ENSUPAG00010007598	Urocitellus_parryii
ENSSTOP00000030308	ENSSTOG00000007197	Ictidomys_tridecemlineatus
ENSOCUP00000013025	ENSOCUG00000015151	Oryctolagus_cuniculus
ENSOPRP00000014320	ENSOPRG00000015676	Ochotona_princeps
ENSTSYP00000003696	ENSTSYG00000004035	Carlito_syrichta
ENSEEUP00000006707	ENSEEUG00000007343	Erinaceus_europaeus
ENSLAFP00000018426	ENSLAFG00000027731	Loxodonta_africana
ENSPCAP00000002720	ENSPCAG00000002882	Procavia_capensis
ENSCAFP00000011179	ENSCAFG00000007538	Canis_lupus_familiaris
ENSCAFP00020009948	ENSCAFG00020008081	Canis_lupus_dingo
ENSVVUP00000037150	ENSVVUG00000026576	Vulpes_vulpes
ENSNVIP00000029826	ENSNVIG00000022983	Neovison_vison
