ENSSDUP00000015052	ENSSDUG00000010985	Seriola_dumerili
ENSSLDP00000033395	ENSSLDG00000025552	Seriola_lalandi_dorsalis
ENSLCAP00010020427	ENSLCAG00010009652	Lates_calcarifer
ENSMALP00000008445	ENSMALG00000006008	Monopterus_albus
ENSMAMP00000031603	ENSMAMG00000021290	Mastacembelus_armatus
ENSTNIP00000011479	ENSTNIG00000008632	Tetraodon_nigroviridis
ENSTRUP00000048462	ENSTRUG00000025800	Takifugu_rubripes
ENSMMOP00000013487	ENSMMOG00000010355	Mola_mola
ENSLCRP00005047120	ENSLCRG00005017866	Larimichthys_crocea
ENSAOCP00000031006	ENSAOCG00000022344	Amphiprion_ocellaris
ENSAPEP00000015874	ENSAPEG00000011294	Amphiprion_percula
ENSAPOP00000003093	ENSAPOG00000004557	Acanthochromis_polyacanthus
ENSSPAP00000011777	ENSSPAG00000008938	Stegastes_partitus
ENSPRNP00000034687	ENSPRNG00000017406	Parambassis_ranga
ENSXCOP00000017621	ENSXCOG00000013293	Xiphophorus_couchianus
ENSXMAP00000037353	ENSXMAG00000021353	Xiphophorus_maculatus
ENSGAFP00000014553	ENSGAFG00000009835	Gambusia_affinis
ENSPFOP00000013934	ENSPFOG00000013911	Poecilia_formosa
ENSPMEP00000018807	ENSPMEG00000021784	Poecilia_mexicana
ENSPLAP00000031483	ENSPLAG00000023510	Poecilia_latipinna
ENSPREP00000023600	ENSPREG00000015930	Poecilia_reticulata
ENSFHEP00000019618	ENSFHEG00000021553	Fundulus_heteroclitus
ENSCVAP00000012900	ENSCVAG00000015362	Cyprinodon_variegatus
ENSKMAP00000024742	ENSKMAG00000018348	Kryptolebias_marmoratus
ENSMZEP00005037035	ENSMZEG00005027601	Maylandia_zebra
ENSACLP00000019300	ENSACLG00000013099	Astatotilapia_calliptera
ENSHBUP00000018747	ENSHBUG00000020871	Haplochromis_burtoni
ENSPNYP00000015021	ENSPNYG00000011375	Pundamilia_nyererei
ENSONIP00000023314	ENSONIG00000018518	Oreochromis_niloticus
ENSNBRP00000024323	ENSNBRG00000018590	Neolamprologus_brichardi
ENSCGOP00000004315	ENSCGOG00000002268	Cottoperca_gobio
ENSGACP00000011591	ENSGACG00000008764	Gasterosteus_aculeatus
ENSLBEP00000002804	ENSLBEG00000001428	Labrus_bergylta
ENSPMGP00000016062	ENSPMGG00000013177	Periophthalmus_magnuspinnatus
ENSATEP00000005220	ENSATEG00000003699	Anabas_testudineus
ENSBSLP00000029850	ENSBSLG00000014622	Betta_splendens
ENSORLP00020004906	ENSORLG00020005696	Oryzias_latipes_ASM223471v1
ENSORLP00015010073	ENSORLG00015010861	Oryzias_latipes_ASM223469v1
ENSORLP00000008393	ENSORLG00000006690	Oryzias_latipes_ASM223467v1
ENSOMEP00000024481	ENSOMEG00000005136	Oryzias_melastigma
ENSSMAP00000033883	ENSSMAG00000020729	Scophthalmus_maximus
ENSACIP00000024273	ENSACIG00000017808	Amphilophus_citrinellus
ENSGWIP00000044130	ENSGWIG00000021973	Gouania_willdenowi
ENSCSEP00000002789	ENSCSEG00000001846	Cynoglossus_semilaevis
ENSHCOP00000001704	ENSHCOG00000000076	Hippocampus_comes
ENSGMOP00000013482	ENSGMOG00000012604	Gadus_morhua
ENSHHUP00000089528	ENSHHUG00000051660	Hucho_hucho
ENSELUP00000043144	ENSELUG00000024631	Esox_lucius
ENSCHAP00000054692	ENSCHAG00000024817	Clupea_harengus	ENSCHAT00000059000
ENSDCDP00000048999	ENSDCDG00000030187	Denticeps_clupeoides	ENSDCDT00000060590
ENSAMXP00000012833	ENSAMXG00000012484	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000012833
ENSAMXP00005050245	ENSAMXG00005022820	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000023312	ENSPNAG00000000517	Pygocentrus_nattereri
ENSEEEP00000000182	ENSEEEG00000000137	Electrophorus_electricus
ENSIPUP00000000266	ENSIPUG00000000214	Ictalurus_punctatus
ENSDARP00000003709	ENSDARG00000007409	Danio_rerio
