ENSCJPP00005003934	ENSCJPG00005004013	Coturnix_japonica	ENSCJPT00005006792
ENSNMEP00000009818	ENSNMEG00000009418	Numida_meleagris	ENSNMET00000015579
ENSAPLP00000021177	ENSAPLG00000022206	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005012533	ENSCPRG00005008880	Crocodylus_porosus
ENSCPBP00000021235	ENSCPBG00000015259	Chrysemys_picta_bellii
ENSGAGP00000010228	ENSGAGG00000008016	Gopherus_agassizii
ENSPSIP00000008942	ENSPSIG00000008166	Pelodiscus_sinensis
ENSACAP00000008512	ENSACAG00000008706	Anolis_carolinensis
ENSPVIP00000032131	ENSPVIG00000023571	Pogona_vitticeps
ENSPCOP00000013970	ENSPCOG00000018647	Propithecus_coquereli
ENSMICP00000001243	ENSMICG00000001368	Microcebus_murinus
ENSOGAP00000008254	ENSOGAG00000009212	Otolemur_garnettii
ENSCCAP00000029004	ENSCCAG00000032524	Cebus_capucinus_imitator
ENSSBOP00000012330	ENSSBOG00000022972	Saimiri_boliviensis_boliviensis
ENSCJAP00000073391	ENSCJAG00000062181	Callithrix_jacchus
ENSANAP00000007715	ENSANAG00000021920	Aotus_nancymaae
ENSPPYP00000002501	ENSPPYG00000002151	Pongo_abelii
ENSPPYP00000002502	ENSPPYG00000002152	Pongo_abelii
ENSPPAP00000011058	ENSPPAG00000028736	Pan_paniscus
ENSPTRP00000090499	ENSPTRG00000002360	Pan_troglodytes
ENSP00000321464	ENSG00000179133	Homo_sapiens
ENSGGOP00000000649	ENSGGOG00000000660	Gorilla_gorilla
ENSNLEP00000015660	ENSNLEG00000012904	Nomascus_leucogenys
ENSCSAP00000008602	ENSCSAG00000012415	Chlorocebus_sabaeus
ENSCSAP00000008590	ENSCSAG00000012408	Chlorocebus_sabaeus
ENSPANP00000019988	ENSPANG00000023091	Papio_anubis
ENSTGEP00000004603	ENSTGEG00000003846	Theropithecus_gelada
ENSCATP00000035764	ENSCATG00000040730	Cercocebus_atys
ENSMLEP00000035904	ENSMLEG00000042075	Mandrillus_leucophaeus
ENSMMUP00000054612	ENSMMUG00000019011	Macaca_mulatta
ENSMFAP00000020759	ENSMFAG00000033328	Macaca_fascicularis
ENSMNEP00000031622	ENSMNEG00000039209	Macaca_nemestrina
ENSRROP00000017511	ENSRROG00000032848	Rhinopithecus_roxellana
ENSRBIP00000035949	ENSRBIG00000041601	Rhinopithecus_bieti
ENSPTEP00000033826	ENSPTEG00000032220	Piliocolobus_tephrosceles
ENSCANP00000039347	ENSCANG00000043337	Colobus_angolensis_palliatus
ENSCGRP00000003954	ENSCGRG00000002911	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001009307	ENSCGRG00001011440	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015031152	ENSCGRG00015023474	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000010891	ENSMAUG00000011632	Mesocricetus_auratus
ENSMOCP00000027365	ENSMOCG00000022878	Microtus_ochrogaster
ENSMUSP00000058720	ENSMUSG00000026734	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0051821	MGP_SPRETEiJ_G0024129	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000012902	ENSMSIG00000011108	Mus_spicilegus
MGP_CAROLIEiJ_P0049812	MGP_CAROLIEiJ_G0023214	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0060829	MGP_PahariEiJ_G0024670	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000029728	ENSRNOG00000021898	Rattus_norvegicus
ENSNGAP00000021707	ENSNGAG00000020805	Nannospalax_galili
ENSJJAP00000009319	ENSJJAG00000013222	Jaculus_jaculus
ENSSTOP00000018959	ENSSTOG00000010976	Ictidomys_tridecemlineatus
ENSOPRP00000006366	ENSOPRG00000006957	Ochotona_princeps
ENSOCUP00000039423	ENSOCUG00000030832	Oryctolagus_cuniculus
ENSTBEP00000004909	ENSTBEG00000005712	Tupaia_belangeri
ENSOARP00000002738	ENSOARG00000002579	Ovis_aries
ENSCHIP00000012917	ENSCHIG00000014515	Capra_hircus
ENSBIXP00005040062	ENSBIXG00005022633	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000034319	ENSBIXG00000002876	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000033905	ENSBMUG00000025268	Bos_mutus
ENSTTRP00000015971	ENSTTRG00000016845	Tursiops_truncatus
ENSSSCP00000022162	ENSSSCG00000021093	Sus_scrofa_strain_reference
ENSVPAP00000006485	ENSVPAG00000006975	Vicugna_pacos
ENSUMAP00000034966	ENSUMAG00000025149	Ursus_maritimus
ENSAMEP00000006718	ENSAMEG00000006391	Ailuropoda_melanoleuca
ENSNVIP00000004095	ENSNVIG00000003276	Neovison_vison
ENSMPUP00000012017	ENSMPUG00000012112	Mustela_putorius_furo
ENSCAFP00000038147	ENSCAFG00000004218	Canis_lupus_familiaris
ENSVVUP00000014255	ENSVVUG00000010441	Vulpes_vulpes
ENSPPRP00000009737	ENSPPRG00000004107	Panthera_pardus
ENSFCAP00000033838	ENSFCAG00000003780	Felis_catus
ENSECAP00000010208	ENSECAG00000012482	Equus_caballus
ENSEEUP00000011300	ENSEEUG00000012393	Erinaceus_europaeus
ENSPVAP00000012958	ENSPVAG00000013741	Pteropus_vampyrus
ENSMLUP00000009249	ENSMLUG00000010146	Myotis_lucifugus
ENSCHOP00000005586	ENSCHOG00000006307	Choloepus_hoffmanni
ENSDNOP00000000105	ENSDNOG00000000144	Dasypus_novemcinctus
ENSLAFP00000007637	ENSLAFG00000009109	Loxodonta_africana
ENSPCAP00000012582	ENSPCAG00000013486	Procavia_capensis
ENSETEP00000002619	ENSETEG00000003191	Echinops_telfairi
ENSMEUP00000003661	ENSMEUG00000004017	Notamacropus_eugenii
ENSPCIP00000017625	ENSPCIG00000013475	Phascolarctos_cinereus
ENSMODP00000038966	ENSMODG00000028850	Monodelphis_domestica
ENSOANP00000009056	ENSOANG00000005692	Ornithorhynchus_anatinus
ENSXETP00000050056	ENSXETG00000017580	Xenopus_tropicalis
ENSLACP00000022121	ENSLACG00000022095	Latimeria_chalumnae
ENSAMXP00005053464	ENSAMXG00005023948	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000049980	ENSAMXG00000008254	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000013470	ENSPNAG00000019333	Pygocentrus_nattereri
ENSDARP00000099916	ENSDARG00000076896	Danio_rerio
ENSHHUP00000030558	ENSHHUG00000019471	Hucho_hucho
ENSELUP00000034554	ENSELUG00000013244	Esox_lucius
ENSLOCP00000003797	ENSLOCG00000003208	Lepisosteus_oculatus
ENSCMIP00000006731	ENSCMIG00000003765	Callorhinchus_milii
ENSCINP00000007428	ENSCING00000003605	Ciona_intestinalis
