ENSVURP00010020817	ENSVURG00010015921	Vombatus_ursinus
ENSPCIP00000036155	ENSPCIG00000026674	Phascolarctos_cinereus
ENSMODP00000057906	ENSMODG00000031735	Monodelphis_domestica
ENSSHAP00000022026	ENSSHAG00000018645	Sarcophilus_harrisii
ENSTBEP00000012425	ENSTBEG00000014306	Tupaia_belangeri
ENSOPRP00000015007	ENSOPRG00000016419	Ochotona_princeps
ENSEEUP00000011513	ENSEEUG00000012590	Erinaceus_europaeus
ENSSARP00000001965	ENSSARG00000002139	Sorex_araneus
ENSETEP00000004437	ENSETEG00000005455	Echinops_telfairi
ENSCCNP00000028536	ENSCCNG00000027440	Castor_canadensis
ENSDORP00000021765	ENSDORG00000012341	Dipodomys_ordii
MGP_SPRETEiJ_P0053127	MGP_SPRETEiJ_G0024347	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000108960	ENSMUSG00000039205	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000013864	ENSMSIG00000011610	Mus_spicilegus
MGP_CAROLIEiJ_P0051099	MGP_CAROLIEiJ_G0023430	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0062102	MGP_PahariEiJ_G0024887	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000062979	ENSRNOG00000013442	Rattus_norvegicus
ENSMUGP00000014239	ENSMUGG00000012001	Meriones_unguiculatus
ENSMAUP00000016217	ENSMAUG00000015443	Mesocricetus_auratus
ENSMAUP00000004479	ENSMAUG00000005759	Mesocricetus_auratus
ENSCGRP00001013743	ENSCGRG00001014777	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000006831	ENSCGRG00000004977	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015008594	ENSCGRG00015006441	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000009413	ENSMOCG00000009560	Microtus_ochrogaster
ENSPEMP00000002617	ENSPEMG00000002769	Peromyscus_maniculatus_bairdii
ENSNGAP00000015368	ENSNGAG00000016410	Nannospalax_galili
ENSJJAP00000012359	ENSJJAG00000015415	Jaculus_jaculus
ENSHGLP00000016637	ENSHGLG00000011900	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100024559	ENSHGLG00100018035	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008353	ENSFDAG00000016651	Fukomys_damarensis
ENSCPOP00000006187	ENSCPOG00000006863	Cavia_porcellus
ENSCAPP00000017180	ENSCAPG00000016903	Cavia_aperea
ENSCLAP00000002194	ENSCLAG00000001584	Chinchilla_lanigera
ENSODEP00000023758	ENSODEG00000017392	Octodon_degus
ENSMMMP00000019279	ENSMMMG00000016798	Marmota_marmota_marmota
ENSUPAP00010019403	ENSUPAG00010014739	Urocitellus_parryii
ENSSDAP00000011543	ENSSDAG00000010376	Spermophilus_dauricus
ENSSTOP00000030316	ENSSTOG00000033639	Ictidomys_tridecemlineatus
ENSOCUP00000031015	ENSOCUG00000015985	Oryctolagus_cuniculus
ENSPTRP00000079079	ENSPTRG00000051341	Pan_troglodytes
ENSPTRP00000090695	ENSPTRG00000045021	Pan_troglodytes
ENSPPAP00000015357	ENSPPAG00000030730	Pan_paniscus
ENSP00000439244	ENSG00000148337	Homo_sapiens
ENSGGOP00000049695	ENSGGOG00000014999	Gorilla_gorilla
ENSPPYP00000022015	ENSPPYG00000019645	Pongo_abelii
ENSNLEP00000021284	ENSNLEG00000017541	Nomascus_leucogenys
ENSMLEP00000022521	ENSMLEG00000035347	Mandrillus_leucophaeus
ENSCATP00000022401	ENSCATG00000034742	Cercocebus_atys
ENSMFAP00000036856	ENSMFAG00000034538	Macaca_fascicularis
ENSMNEP00000037883	ENSMNEG00000041837	Macaca_nemestrina
ENSMMUP00000018033	ENSMMUG00000013712	Macaca_mulatta
ENSTGEP00000025991	ENSTGEG00000020901	Theropithecus_gelada
ENSPANP00000032521	ENSPANG00000024871	Papio_anubis
ENSCSAP00000010195	ENSCSAG00000014060	Chlorocebus_sabaeus
ENSCANP00000034038	ENSCANG00000040660	Colobus_angolensis_palliatus
ENSPTEP00000013112	ENSPTEG00000014631	Piliocolobus_tephrosceles
ENSRBIP00000020914	ENSRBIG00000034423	Rhinopithecus_bieti
ENSRROP00000027925	ENSRROG00000037746	Rhinopithecus_roxellana
ENSSBOP00000027913	ENSSBOG00000030332	Saimiri_boliviensis_boliviensis
ENSCJAP00000044319	ENSCJAG00000019948	Callithrix_jacchus
ENSCCAP00000017273	ENSCCAG00000026440	Cebus_capucinus_imitator
ENSANAP00000041300	ENSANAG00000037943	Aotus_nancymaae
ENSTSYP00000032574	ENSTSYG00000031123	Carlito_syrichta
ENSPCOP00000029262	ENSPCOG00000027303	Propithecus_coquereli
ENSMICP00000025543	ENSMICG00000003411	Microcebus_murinus
ENSPSMP00000010698	ENSPSMG00000007658	Prolemur_simus
ENSOGAP00000011833	ENSOGAG00000013198	Otolemur_garnettii
ENSUAMP00000012271	ENSUAMG00000009953	Ursus_americanus
ENSUMAP00000031466	ENSUMAG00000022712	Ursus_maritimus
ENSAMEP00000016127	ENSAMEG00000015276	Ailuropoda_melanoleuca
ENSNVIP00000014080	ENSNVIG00000010993	Neovison_vison
ENSMPUP00000013348	ENSMPUG00000013449	Mustela_putorius_furo
ENSCAFP00000058210	ENSCAFG00000020086	Canis_lupus_familiaris
ENSCAFP00020020454	ENSCAFG00020016118	Canis_lupus_dingo
ENSVVUP00000018185	ENSVVUG00000013406	Vulpes_vulpes
ENSPPRP00000021693	ENSPPRG00000012431	Panthera_pardus
ENSPTIP00000008314	ENSPTIG00000009492	Panthera_tigris_altaica
ENSFCAP00000047831	ENSFCAG00000014677	Felis_catus
ENSECAP00000047881	ENSECAG00000007116	Equus_caballus
ENSEASP00005029962	ENSEASG00005020348	Equus_asinus_asinus
ENSBIXP00000036675	ENSBIXG00000020163	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005034419	ENSBIXG00005002265	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000016302	ENSBTAG00000012274	Bos_taurus
ENSBMUP00000026020	ENSBMUG00000019488	Bos_mutus
ENSBBBP00000025914	ENSBBBG00000021514	Bison_bison_bison
ENSCHIP00000003417	ENSCHIG00000006845	Capra_hircus
ENSOARP00000011062	ENSOARG00000010311	Ovis_aries
ENSTTRP00000015624	ENSTTRG00000016480	Tursiops_truncatus
ENSVPAP00000008618	ENSVPAG00000009256	Vicugna_pacos
ENSSSCP00000006043	ENSSSCG00000005640	Sus_scrofa_strain_reference
ENSPVAP00000002302	ENSPVAG00000002437	Pteropus_vampyrus
ENSMLUP00000014786	ENSMLUG00000016220	Myotis_lucifugus
ENSCHOP00000002587	ENSCHOG00000002922	Choloepus_hoffmanni
ENSDNOP00000021000	ENSDNOG00000036104	Dasypus_novemcinctus
ENSPCAP00000011072	ENSPCAG00000011814	Procavia_capensis
ENSLAFP00000004272	ENSLAFG00000005106	Loxodonta_africana
ENSSMRP00000014613	ENSSMRG00000011376	Salvator_merianae
ENSACAP00000006836	ENSACAG00000006948	Anolis_carolinensis
ENSSPUP00000019952	ENSSPUG00000015347	Sphenodon_punctatus
ENSCABP00000002863	ENSCABG00000002205	Chelonoidis_abingdonii
ENSGAGP00000031878	ENSGAGG00000022888	Gopherus_agassizii
ENSPSIP00000019227	ENSPSIG00000017082	Pelodiscus_sinensis
ENSCJPP00005025613	ENSCJPG00005020095	Coturnix_japonica
ENSMGAP00000003842	ENSMGAG00000004067	Meleagris_gallopavo
ENSNMEP00000006607	ENSNMEG00000006749	Numida_meleagris
ENSCPGP00000008641	ENSCPGG00000006127	Calidris_pygmaea
ENSMUNP00000001334	ENSMUNG00000001150	Melopsittacus_undulatus
ENSAOWP00000017061	ENSAOWG00000011667	Apteryx_owenii
ENSAHAP00000020300	ENSAHAG00000014289	Apteryx_haastii
ENSARWP00000026482	ENSARWG00000017923	Apteryx_rowi
ENSDNVP00000010683	ENSDNVG00000007560	Dromaius_novaehollandiae
ENSTGUP00000003953	ENSTGUG00000003828	Taeniopygia_guttata
ENSFALP00000001441	ENSFALG00000001382	Ficedula_albicollis
ENSSCAP00000008299	ENSSCAG00000006337	Serinus_canaria
ENSLSDP00000001419	ENSLSDG00000001118	Lonchura_striata_domestica
ENSZALP00000001344	ENSZALG00000001580	Zonotrichia_albicollis
ENSJHYP00000013137	ENSJHYG00000010199	Junco_hyemalis
ENSPMJP00000012355	ENSPMJG00000009507	Parus_major
ENSMVIP00005004018	ENSMVIG00005003110	Manacus_vitellinus
ENSLCOP00000009445	ENSLCOG00000006884	Lepidothrix_coronata
ENSABRP00000011882	ENSABRG00000010654	Anser_brachyrhynchus
ENSAPLP00000000306	ENSAPLG00000000626	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000016085	ENSCPUG00000011108	Calidris_pugnax
ENSNPEP00000002690	ENSNPEG00000002026	Nothoprocta_perdicaria
ENSGALP00000067411	ENSGALG00000042325	Gallus_gallus
ENSCPRP00005000879	ENSCPRG00005000678	Crocodylus_porosus
ENSCPBP00000035372	ENSCPBG00000024640	Chrysemys_picta_bellii
ENSXETP00000039140	ENSXETG00000020150	Xenopus_tropicalis
ENSDCDP00000063176	ENSDCDG00000035657	Denticeps_clupeoides
ENSCHAP00000037658	ENSCHAG00000017666	Clupea_harengus
ENSAMXP00005005280	ENSAMXG00005003277	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000007881	ENSAMXG00000007668	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000018205	ENSPNAG00000024564	Pygocentrus_nattereri
ENSEEEP00000051360	ENSEEEG00000024102	Electrophorus_electricus
ENSIPUP00000025282	ENSIPUG00000017105	Ictalurus_punctatus
ENSDARP00000097717	ENSDARG00000089461	Danio_rerio
ENSHHUP00000032269	ENSHHUG00000020491	Hucho_hucho	ENSHHUT00000033592
ENSELUP00000042565	ENSELUG00000023867	Esox_lucius
ENSPKIP00000023888	ENSPKIG00000007343	Paramormyrops_kingsleyae
ENSSFOP00015019271	ENSSFOG00015012409	Scleropages_formosus
ENSPKIP00000019586	ENSPKIG00000004694	Paramormyrops_kingsleyae
ENSDCDP00000006414	ENSDCDG00000003313	Denticeps_clupeoides
ENSCHAP00000015308	ENSCHAG00000008202	Clupea_harengus
ENSAMXP00000008267	ENSAMXG00000008021	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005013690	ENSAMXG00005007363	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000007891	ENSPNAG00000013580	Pygocentrus_nattereri
ENSIPUP00000028389	ENSIPUG00000019231	Ictalurus_punctatus
ENSEEEP00000036213	ENSEEEG00000017226	Electrophorus_electricus
ENSDARP00000138802	ENSDARG00000089781	Danio_rerio
ENSHHUP00000016768	ENSHHUG00000010466	Hucho_hucho
ENSHHUP00000005685	ENSHHUG00000003515	Hucho_hucho
ENSELUP00000035169	ENSELUG00000014004	Esox_lucius
ENSCSEP00000027795	ENSCSEG00000017763	Cynoglossus_semilaevis
ENSGWIP00000003326	ENSGWIG00000001822	Gouania_willdenowi
ENSTRUP00000047787	ENSTRUG00000018653	Takifugu_rubripes
ENSTNIP00000011871	ENSTNIG00000009015	Tetraodon_nigroviridis
ENSCGOP00000054784	ENSCGOG00000023952	Cottoperca_gobio
ENSLBEP00000023552	ENSLBEG00000018084	Labrus_bergylta
ENSGACP00000021986	ENSGACG00000016651	Gasterosteus_aculeatus
ENSMMOP00000000146	ENSMMOG00000000129	Mola_mola
ENSLCRP00005038239	ENSLCRG00005014842	Larimichthys_crocea
ENSMAMP00000019912	ENSMAMG00000013408	Mastacembelus_armatus
ENSMALP00000031398	ENSMALG00000021661	Monopterus_albus
ENSATEP00000025837	ENSATEG00000017923	Anabas_testudineus
ENSBSLP00000035431	ENSBSLG00000017322	Betta_splendens
ENSSDUP00000032675	ENSSDUG00000023483	Seriola_dumerili
ENSSLDP00000011627	ENSSLDG00000009246	Seriola_lalandi_dorsalis
ENSLCAP00010017029	ENSLCAG00010008084	Lates_calcarifer
ENSSMAP00000006372	ENSSMAG00000003942	Scophthalmus_maximus
ENSORLP00000008825	ENSORLG00000007023	Oryzias_latipes_ASM223467v1
ENSORLP00020018816	ENSORLG00020019782	Oryzias_latipes_ASM223471v1
ENSORLP00015026265	ENSORLG00015007811	Oryzias_latipes_ASM223469v1
ENSOMEP00000023934	ENSOMEG00000004322	Oryzias_melastigma
ENSFHEP00000023215	ENSFHEG00000004069	Fundulus_heteroclitus
ENSCVAP00000014631	ENSCVAG00000017316	Cyprinodon_variegatus
ENSXCOP00000003499	ENSXCOG00000002762	Xiphophorus_couchianus
ENSGAFP00000016227	ENSGAFG00000010959	Gambusia_affinis
ENSXMAP00000023732	ENSXMAG00000023613	Xiphophorus_maculatus
ENSPFOP00000026526	ENSPFOG00000019847	Poecilia_formosa
ENSPMEP00000030256	ENSPMEG00000016542	Poecilia_mexicana
ENSPLAP00000027700	ENSPLAG00000016504	Poecilia_latipinna
ENSPREP00000022783	ENSPREG00000015385	Poecilia_reticulata
ENSAOCP00000026804	ENSAOCG00000015251	Amphiprion_ocellaris
ENSAPEP00000021469	ENSAPEG00000015342	Amphiprion_percula
ENSAPOP00000013448	ENSAPOG00000016241	Acanthochromis_polyacanthus
ENSSPAP00000025179	ENSSPAG00000019029	Stegastes_partitus
ENSSPAP00000029480	ENSSPAG00000022167	Stegastes_partitus
ENSPRNP00000011830	ENSPRNG00000006653	Parambassis_ranga
ENSKMAP00000022571	ENSKMAG00000016761	Kryptolebias_marmoratus
ENSMZEP00005025819	ENSMZEG00005019261	Maylandia_zebra
ENSACLP00000016641	ENSACLG00000011341	Astatotilapia_calliptera
ENSHBUP00000034832	ENSHBUG00000022629	Haplochromis_burtoni
ENSPNYP00000012485	ENSPNYG00000009489	Pundamilia_nyererei
