ENSVVUP00000010612	ENSVVUG00000007841	Vulpes_vulpes
ENSLACP00000019763	ENSLACG00000017378	Latimeria_chalumnae
ENSPSMP00000023103	ENSPSMG00000016351	Prolemur_simus
ENSANAP00000000404	ENSANAG00000003158	Aotus_nancymaae
ENSTGUP00000010210	ENSTGUG00000009899	Taeniopygia_guttata
ENSLAFP00000024365	ENSLAFG00000032642	Loxodonta_africana
ENSCAFP00000008822	ENSCAFG00000005892	Canis_lupus_familiaris
ENSTGEP00000001854	ENSTGEG00000001686	Theropithecus_gelada
ENSFALP00000007720	ENSFALG00000007397	Ficedula_albicollis
ENSOCUP00000038073	ENSOCUG00000024082	Oryctolagus_cuniculus
ENSCSAP00000016223	ENSCSAG00000001805	Chlorocebus_sabaeus
ENSOANP00000010937	ENSOANG00000006862	Ornithorhynchus_anatinus
ENSAMEP00000014064	ENSAMEG00000013361	Ailuropoda_melanoleuca
ENSSSCP00000068353	ENSSSCG00000050121	Sus_scrofa_strain_reference
ENSCANP00000004035	ENSCANG00000014345	Colobus_angolensis_palliatus
ENSPSIP00000014827	ENSPSIG00000013281	Pelodiscus_sinensis
ENSNVIP00000002567	ENSNVIG00000002062	Neovison_vison
ENSCCAP00000031603	ENSCCAG00000033850	Cebus_capucinus_imitator
ENSPANP00000000691	ENSPANG00000016069	Papio_anubis
ENSSCAP00000004601	ENSSCAG00000003742	Serinus_canaria
ENSPCOP00000016665	ENSPCOG00000020106	Propithecus_coquereli
ENSGAGP00000009143	ENSGAGG00000007226	Gopherus_agassizii
ENSMNEP00000014304	ENSMNEG00000031323	Macaca_nemestrina
ENSMPUP00000002696	ENSMPUG00000002725	Mustela_putorius_furo
ENSOARP00000009586	ENSOARG00000008922	Ovis_aries
ENSOGAP00000017727	ENSOGAG00000026442	Otolemur_garnettii
ENSAOWP00000017043	ENSAOWG00000011655	Apteryx_owenii
ENSBIXP00005010123	ENSBIXG00005014852	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSBOP00000019708	ENSSBOG00000026459	Saimiri_boliviensis_boliviensis
ENSZALP00000011461	ENSZALG00000009673	Zonotrichia_albicollis
ENSPTRP00000061161	ENSPTRG00000039451	Pan_troglodytes	ENSPTRT00000073413
ENSTSYP00000026952	ENSTSYG00000032699	Carlito_syrichta
ENSRBIP00000031832	ENSRBIG00000039731	Rhinopithecus_bieti
ENSBIXP00000010498	ENSBIXG00000015965	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPTIP00000016158	ENSPTIG00000015023	Panthera_tigris_altaica
ENSBMUP00000029075	ENSBMUG00000021767	Bos_mutus
ENSMFAP00000030783	ENSMFAG00000042576	Macaca_fascicularis
ENSFCAP00000025218	ENSFCAG00000030622	Felis_catus
ENSBTAP00000037738	ENSBTAG00000026626	Bos_taurus
ENSLAFP00000027280	ENSLAFG00000028773	Loxodonta_africana
ENSBBBP00000009327	ENSBBBG00000017449	Bison_bison_bison
ENSCJAP00000004332	ENSCJAG00000002388	Callithrix_jacchus
ENSPCIP00000006317	ENSPCIG00000005319	Phascolarctos_cinereus
ENSSSCP00000045723	ENSSSCG00000035929	Sus_scrofa_strain_reference
ENSPTEP00000031786	ENSPTEG00000030662	Piliocolobus_tephrosceles	ENSPTET00000043789
ENSDNVP00000013501	ENSDNVG00000009508	Dromaius_novaehollandiae
ENSNLEP00000015191	ENSNLEG00000012507	Nomascus_leucogenys	ENSNLET00000015948
ENSCPRP00005003129	ENSCPRG00005002304	Crocodylus_porosus
ENSPPRP00000012892	ENSPPRG00000006299	Panthera_pardus
ENSDNOP00000024433	ENSDNOG00000037821	Dasypus_novemcinctus
ENSPPAP00000007073	ENSPPAG00000026183	Pan_paniscus	ENSPPAT00000029097
ENSEASP00005024665	ENSEASG00005016765	Equus_asinus_asinus
ENSCATP00000039904	ENSCATG00000042537	Cercocebus_atys
ENSMMUP00000001680	ENSMMUG00000001259	Macaca_mulatta
ENSMLUP00000021589	ENSMLUG00000022300	Myotis_lucifugus
ENSMLEP00000018964	ENSMLEG00000033695	Mandrillus_leucophaeus
ENSECAP00000011358	ENSECAG00000013669	Equus_caballus
ENSP00000439513	ENSG00000227059	Homo_sapiens	ENST00000545940
ENSGGOP00000027556	ENSGGOG00000024900	Gorilla_gorilla	ENSGGOT00000032747
ENSRROP00000015171	ENSRROG00000031771	Rhinopithecus_roxellana
ENSJHYP00000011730	ENSJHYG00000009172	Junco_hyemalis
ENSLAFP00000019613	ENSLAFG00000029353	Loxodonta_africana
ENSUAMP00000008937	ENSUAMG00000007486	Ursus_americanus
ENSMICP00000029005	ENSMICG00000034864	Microcebus_murinus
