ENSPNAP00000005011	ENSPNAG00000011357	Pygocentrus_nattereri	ENSPNAT00000006044
ENSDARP00000148541	ENSDARG00000061778	Danio_rerio	ENSDART00000185689
ENSONIP00000010126	ENSONIG00000008040	Oreochromis_niloticus	ENSONIT00000010135
ENSCPGP00000008320	ENSCPGG00000005924	Calidris_pygmaea	ENSCPGT00000009145
ENSJHYP00000017191	ENSJHYG00000013147	Junco_hyemalis	ENSJHYT00000020758
ENSAHAP00000019415	ENSAHAG00000013731	Apteryx_haastii	ENSAHAT00000021451
ENSNSUP00000023318	ENSNSUG00000016890	Notechis_scutatus	ENSNSUT00000024802
ENSEBUP00000008125	ENSEBUG00000005284	Eptatretus_burgeri	ENSEBUT00000008618
ENSMODP00000040669	ENSMODG00000027399	Monodelphis_domestica
ENSSHAP00000017343	ENSSHAG00000014736	Sarcophilus_harrisii
ENSAPLP00000016947	ENSAPLG00000028977	Anas_platyrhynchos_platyrhynchos
ENSLACP00000017754	ENSLACG00000015637	Latimeria_chalumnae
ENSHHUP00000037822	ENSHHUG00000023658	Hucho_hucho
ENSELUP00000004346	ENSELUG00000005512	Esox_lucius
ENSAOCP00000018555	ENSAOCG00000023736	Amphiprion_ocellaris
ENSSPAP00000008791	ENSSPAG00000006709	Stegastes_partitus
ENSACLP00000026520	ENSACLG00000018040	Astatotilapia_calliptera
ENSMZEP00005031398	ENSMZEG00005023402	Maylandia_zebra
ENSHBUP00000005856	ENSHBUG00000007238	Haplochromis_burtoni
ENSXMAP00000040654	ENSXMAG00000026579	Xiphophorus_maculatus
ENSGAFP00000029558	ENSGAFG00000019933	Gambusia_affinis
ENSPMEP00000025434	ENSPMEG00000008403	Poecilia_mexicana
ENSPREP00000031300	ENSPREG00000021207	Poecilia_reticulata
ENSCVAP00000009114	ENSCVAG00000011018	Cyprinodon_variegatus
ENSKMAP00000003526	ENSKMAG00000002691	Kryptolebias_marmoratus
ENSORLP00000027850	ENSORLG00000023336	Oryzias_latipes_ASM223467v1
ENSOMEP00000015847	ENSOMEG00000017485	Oryzias_melastigma
ENSCGOP00000034103	ENSCGOG00000015807	Cottoperca_gobio
ENSATEP00000035594	ENSATEG00000024457	Anabas_testudineus
ENSBSLP00000044034	ENSBSLG00000020891	Betta_splendens
ENSMALP00000026689	ENSMALG00000018530	Monopterus_albus
ENSSLDP00000006427	ENSSLDG00000005124	Seriola_lalandi_dorsalis
ENSSMAP00000031426	ENSSMAG00000019269	Scophthalmus_maximus
ENSLCAP00010054911	ENSLCAG00010025623	Lates_calcarifer
ENSCSEP00000023439	ENSCSEG00000014954	Cynoglossus_semilaevis
ENSGWIP00000048275	ENSGWIG00000023681	Gouania_willdenowi
ENSTRUP00000053760	ENSTRUG00000024147	Takifugu_rubripes
ENSTNIP00000015424	ENSTNIG00000012454	Tetraodon_nigroviridis
ENSIPUP00000028502	ENSIPUG00000019305	Ictalurus_punctatus
ENSAMXP00000045423	ENSAMXG00000034936	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCHAP00000000410	ENSCHAG00000000280	Clupea_harengus
ENSLOCP00000003047	ENSLOCG00000002594	Lepisosteus_oculatus
ENSECRP00000017155	ENSECRG00000011432	Erpetoichthys_calabaricus
ENSCMIP00000032524	ENSCMIG00000013898	Callorhinchus_milii
ENSEBUP00000017197	ENSEBUG00000010744	Eptatretus_burgeri
ENSCINP00000036359	ENSCING00000022867	Ciona_intestinalis
ENSDNVP00000015336	ENSDNVG00000010798	Dromaius_novaehollandiae
FBpp0288517	FBgn0000256	Drosophila_melanogaster
