ENSPTRP00000063453	ENSPTRG00000049951	Pan_troglodytes
ENSPPAP00000001292	ENSPPAG00000005658	Pan_paniscus
ENSGGOP00000002576	ENSGGOG00000002618	Gorilla_gorilla
ENSP00000333993	ENSG00000186860	Homo_sapiens
ENSPPYP00000009474	ENSPPYG00000008428	Pongo_abelii
ENSRROP00000003916	ENSRROG00000015767	Rhinopithecus_roxellana
ENSRBIP00000003042	ENSRBIG00000014556	Rhinopithecus_bieti
ENSPTEP00000030653	ENSPTEG00000029818	Piliocolobus_tephrosceles
ENSCANP00000006255	ENSCANG00000021020	Colobus_angolensis_palliatus
ENSMMUP00000073306	ENSMMUG00000052890	Macaca_mulatta
ENSTGEP00000009515	ENSTGEG00000007835	Theropithecus_gelada
ENSCJAP00000053322	ENSCJAG00000038264	Callithrix_jacchus
ENSSBOP00000004247	ENSSBOG00000018583	Saimiri_boliviensis_boliviensis
ENSTSYP00000017062	ENSTSYG00000026638	Carlito_syrichta
ENSPCOP00000031516	ENSPCOG00000028537	Propithecus_coquereli
ENSMICP00000006382	ENSMICG00000007013	Microcebus_murinus
ENSBIXP00000011368	ENSBIXG00000016615	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005046645	ENSBIXG00005031391	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSSCP00000064598	ENSSSCG00000041928	Sus_scrofa_strain_reference
ENSECAP00000046866	ENSECAG00000041901	Equus_caballus
ENSOCUP00000016562	ENSOCUG00000025222	Oryctolagus_cuniculus
ENSPCIP00000050590	ENSPCIG00000036602	Phascolarctos_cinereus
