ENSMSIP00000032634	ENSMSIG00000027317	Mus_spicilegus	ENSMSIT00000041165
MGP_SPRETEiJ_P0042094	MGP_SPRETEiJ_G0021313	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0042094
ENSMUSP00000111510	ENSMUSG00000022536	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000115844
MGP_CAROLIEiJ_P0040256	MGP_CAROLIEiJ_G0020419	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0027653	MGP_PahariEiJ_G0016127	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000004159	ENSRNOG00000003065	Rattus_norvegicus
ENSMUGP00000019577	ENSMUGG00000016578	Meriones_unguiculatus
ENSCGRP00001019932	ENSCGRG00001019216	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015016494	ENSCGRG00015012695	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000022881	ENSCGRG00000016575	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000017923	ENSMAUG00000016642	Mesocricetus_auratus
ENSMOCP00000003208	ENSMOCG00000002559	Microtus_ochrogaster
ENSPEMP00000026303	ENSPEMG00000022459	Peromyscus_maniculatus_bairdii
ENSNGAP00000011369	ENSNGAG00000013530	Nannospalax_galili
ENSJJAP00000017653	ENSJJAG00000019126	Jaculus_jaculus
ENSCCNP00000009948	ENSCCNG00000010457	Castor_canadensis
ENSDORP00000018290	ENSDORG00000011985	Dipodomys_ordii
ENSODEP00000016800	ENSODEG00000012375	Octodon_degus
ENSODEP00000001810	ENSODEG00000001421	Octodon_degus
ENSCPOP00000010428	ENSCPOG00000011592	Cavia_porcellus
ENSCAPP00000017392	ENSCAPG00000017063	Cavia_aperea
ENSCLAP00000021884	ENSCLAG00000014997	Chinchilla_lanigera
ENSHGLP00000027492	ENSHGLG00000019553	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001532	ENSHGLG00100001202	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008444	ENSFDAG00000016714	Fukomys_damarensis
ENSSDAP00000007129	ENSSDAG00000006513	Spermophilus_dauricus
ENSSTOP00000026969	ENSSTOG00000012326	Ictidomys_tridecemlineatus
ENSMMMP00000006769	ENSMMMG00000006064	Marmota_marmota_marmota
ENSUPAP00010024579	ENSUPAG00010019461	Urocitellus_parryii
ENSOCUP00000009038	ENSOCUG00000010486	Oryctolagus_cuniculus
ENSOCUP00000040876	ENSOCUG00000034295	Oryctolagus_cuniculus
ENSOPRP00000000596	ENSOPRG00000000645	Ochotona_princeps
ENSPTRP00000083605	ENSPTRG00000007730	Pan_troglodytes
ENSPPAP00000025851	ENSPPAG00000036027	Pan_paniscus
ENSP00000322716	ENSG00000140632	Homo_sapiens
ENSGGOP00000015862	ENSGGOG00000016258	Gorilla_gorilla
ENSPPYP00000007997	ENSPPYG00000007072	Pongo_abelii
ENSNLEP00000012138	ENSNLEG00000009950	Nomascus_leucogenys
ENSTGEP00000029419	ENSTGEG00000023660	Theropithecus_gelada
ENSCATP00000005349	ENSCATG00000017489	Cercocebus_atys
