ENSVURP00010005348	ENSVURG00010004194	Vombatus_ursinus
ENSPCIP00000015568	ENSPCIG00000012097	Phascolarctos_cinereus
ENSMEUP00000001947	ENSMEUG00000002133	Notamacropus_eugenii
ENSSHAP00000000780	ENSSHAG00000000697	Sarcophilus_harrisii
ENSMODP00000016699	ENSMODG00000013355	Monodelphis_domestica
ENSMLUP00000004304	ENSMLUG00000004731	Myotis_lucifugus
ENSSARP00000009959	ENSSARG00000011039	Sorex_araneus
ENSPVAP00000011770	ENSPVAG00000012486	Pteropus_vampyrus
ENSEEUP00000005531	ENSEEUG00000006096	Erinaceus_europaeus
ENSECAP00000011831	ENSECAG00000014109	Equus_caballus
ENSEASP00005006706	ENSEASG00005004954	Equus_asinus_asinus
ENSOARP00000012674	ENSOARG00000011828	Ovis_aries
ENSCHIP00000004741	ENSCHIG00000008862	Capra_hircus
ENSBIXP00000003634	ENSBIXG00000010051	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005043576	ENSBIXG00005004701	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000015306	ENSBMUG00000011623	Bos_mutus
ENSBTAP00000016947	ENSBTAG00000012750	Bos_taurus
ENSBBBP00000013086	ENSBBBG00000007678	Bison_bison_bison
ENSTTRP00000002765	ENSTTRG00000002960	Tursiops_truncatus
ENSSSCP00000016023	ENSSSCG00000015100	Sus_scrofa_strain_reference
ENSUMAP00000000864	ENSUMAG00000000876	Ursus_maritimus
ENSUAMP00000036628	ENSUAMG00000027745	Ursus_americanus
ENSAMEP00000000054	ENSAMEG00000000054	Ailuropoda_melanoleuca
ENSMPUP00000004842	ENSMPUG00000004882	Mustela_putorius_furo
ENSNVIP00000005035	ENSNVIG00000004042	Neovison_vison
ENSVVUP00000033315	ENSVVUG00000024115	Vulpes_vulpes
ENSCAFP00020016374	ENSCAFG00020013132	Canis_lupus_dingo
ENSCAFP00000018145	ENSCAFG00000012319	Canis_lupus_familiaris
ENSPPRP00000018115	ENSPPRG00000009871	Panthera_pardus
ENSPTIP00000018781	ENSPTIG00000016809	Panthera_tigris_altaica
ENSFCAP00000018038	ENSFCAG00000023162	Felis_catus
ENSHGLP00100020101	ENSHGLG00100014816	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000006484	ENSHGLG00000004740	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000004990	ENSFDAG00000014103	Fukomys_damarensis
ENSCLAP00000021773	ENSCLAG00000014907	Chinchilla_lanigera
ENSODEP00000010432	ENSODEG00000007788	Octodon_degus
ENSCPOP00000002015	ENSCPOG00000002222	Cavia_porcellus
ENSCAPP00000012558	ENSCAPG00000013395	Cavia_aperea
ENSSTOP00000012819	ENSSTOG00000014318	Ictidomys_tridecemlineatus
ENSSDAP00000019775	ENSSDAG00000018019	Spermophilus_dauricus
ENSMMMP00000025718	ENSMMMG00000022555	Marmota_marmota_marmota
ENSUPAP00010008517	ENSUPAG00010006857	Urocitellus_parryii
