ENSTGUP00000012855	ENSTGUG00000012487	Taeniopygia_guttata
ENSMGAP00000019127	ENSMGAG00000017221	Meleagris_gallopavo
ENSAOWP00000023573	ENSAOWG00000015902	Apteryx_owenii
ENSAOWP00000023570	ENSAOWG00000015899	Apteryx_owenii
ENSCPRP00005027016	ENSCPRG00005018710	Crocodylus_porosus
ENSPSIP00000004200	ENSPSIG00000003958	Pelodiscus_sinensis
ENSSPUP00000016481	ENSSPUG00000012755	Sphenodon_punctatus
ENSCPGP00000015803	ENSCPGG00000011115	Calidris_pygmaea
ENSLCOP00000006628	ENSLCOG00000004926	Lepidothrix_coronata
ENSSCAP00000020922	ENSSCAG00000015072	Serinus_canaria
ENSCCEP00000002645	ENSCCEG00000002892	Cyanistes_caeruleus
ENSMVIP00005012563	ENSMVIG00005009089	Manacus_vitellinus
ENSCPUP00000016160	ENSCPUG00000011014	Calidris_pugnax
ENSMUNP00000002302	ENSMUNG00000002041	Melopsittacus_undulatus
ENSJHYP00000007468	ENSJHYG00000005944	Junco_hyemalis
ENSFALP00000001079	ENSFALG00000001042	Ficedula_albicollis
ENSPMJP00000018326	ENSPMJG00000013718	Parus_major
ENSLSDP00000002466	ENSLSDG00000001823	Lonchura_striata_domestica
ENSMGAP00000015856	ENSMGAG00000014957	Meleagris_gallopavo
ENSCJPP00005024903	ENSCJPG00005019597	Coturnix_japonica
ENSGALP00000068865	ENSGALG00000016907	Gallus_gallus
ENSNMEP00000000121	ENSNMEG00000000196	Numida_meleagris
ENSAPLP00000001877	ENSAPLG00000002429	Anas_platyrhynchos_platyrhynchos
ENSABRP00000008571	ENSABRG00000007701	Anser_brachyrhynchus
ENSDNVP00000023807	ENSDNVG00000016547	Dromaius_novaehollandiae
ENSAHAP00000013861	ENSAHAG00000009965	Apteryx_haastii
ENSNPEP00000015597	ENSNPEG00000011644	Nothoprocta_perdicaria
ENSARWP00000023639	ENSARWG00000016114	Apteryx_rowi
ENSMVIP00005003593	ENSMVIG00005002809	Manacus_vitellinus
ENSRBIP00000016831	ENSRBIG00000032436	Rhinopithecus_bieti
ENSRROP00000024638	ENSRROG00000036119	Rhinopithecus_roxellana
ENSPANP00000030805	ENSPANG00000030568	Papio_anubis
ENSPTIP00000001257	ENSPTIG00000003223	Panthera_tigris_altaica
ENSPVIP00000021810	ENSPVIG00000016532	Pogona_vitticeps
ENSACAP00000004953	ENSACAG00000004991	Anolis_carolinensis
ENSNSUP00000013511	ENSNSUG00000010050	Notechis_scutatus
ENSSMRP00000000116	ENSSMRG00000000100	Salvator_merianae
ENSOANP00000009574	ENSOANG00000006018	Ornithorhynchus_anatinus
ENSOANP00000012265	ENSOANG00000007700	Ornithorhynchus_anatinus
ENSPCIP00000015656	ENSPCIG00000012153	Phascolarctos_cinereus
ENSVURP00010012823	ENSVURG00010009870	Vombatus_ursinus
ENSSHAP00000011504	ENSSHAG00000009888	Sarcophilus_harrisii
ENSMODP00000000134	ENSMODG00000000124	Monodelphis_domestica
ENSCGRP00001015295	ENSCGRG00001015933	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017101	ENSCGRG00000012440	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015003385	ENSCGRG00015002697	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000000062	ENSMAUG00000000077	Mesocricetus_auratus
ENSPEMP00000022296	ENSPEMG00000019703	Peromyscus_maniculatus_bairdii
ENSMOCP00000011131	ENSMOCG00000011384	Microtus_ochrogaster
ENSMUSP00000022666	ENSMUSG00000022076	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0039260	MGP_SPRETEiJ_G0020452	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000002980	ENSMSIG00000002755	Mus_spicilegus
MGP_CAROLIEiJ_P0037518	MGP_CAROLIEiJ_G0019556	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0085601	MGP_PahariEiJ_G0030573	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000061127	ENSRNOG00000031100	Rattus_norvegicus
ENSJJAP00000006608	ENSJJAG00000011220	Jaculus_jaculus
ENSOPRP00000011980	ENSOPRG00000013132	Ochotona_princeps
ENSPVAP00000013094	ENSPVAG00000013887	Pteropus_vampyrus
ENSCAFP00020033557	ENSCAFG00020026049	Canis_lupus_dingo
ENSHGLP00000006846	ENSHGLG00000004996	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000013436	ENSFDAG00000007008	Fukomys_damarensis
ENSCLAP00000002998	ENSCLAG00000002153	Chinchilla_lanigera
ENSDORP00000013461	ENSDORG00000014310	Dipodomys_ordii
ENSOCUP00000013034	ENSOCUG00000015164	Oryctolagus_cuniculus
ENSPCOP00000013961	ENSPCOG00000018640	Propithecus_coquereli
ENSPSMP00000005957	ENSPSMG00000004509	Prolemur_simus
ENSMICP00000048186	ENSMICG00000005245	Microcebus_murinus
ENSOGAP00000012835	ENSOGAG00000014325	Otolemur_garnettii
ENSTSYP00000008598	ENSTSYG00000009374	Carlito_syrichta
ENSMMMP00000019406	ENSMMMG00000017142	Marmota_marmota_marmota
ENSSTOP00000000244	ENSSTOG00000000273	Ictidomys_tridecemlineatus
ENSSDAP00000003217	ENSSDAG00000003072	Spermophilus_dauricus
ENSNGAP00000021116	ENSNGAG00000020398	Nannospalax_galili
ENSPTRP00000088901	ENSPTRG00000005923	Pan_troglodytes
ENSPPAP00000023130	ENSPPAG00000034739	Pan_paniscus
ENSGGOP00000014781	ENSGGOG00000015147	Gorilla_gorilla
ENSP00000367075	ENSG00000150361	Homo_sapiens
ENSPPYP00000006159	ENSPPYG00000005408	Pongo_abelii
ENSNLEP00000019377	ENSNLEG00000015965	Nomascus_leucogenys
ENSMMUP00000026256	ENSMMUG00000019967	Macaca_mulatta
ENSMFAP00000027700	ENSMFAG00000045236	Macaca_fascicularis
ENSMNEP00000016751	ENSMNEG00000032380	Macaca_nemestrina
ENSCSAP00000013658	ENSCSAG00000017632	Chlorocebus_sabaeus
ENSCATP00000029566	ENSCATG00000038019	Cercocebus_atys
ENSTGEP00000007582	ENSTGEG00000006214	Theropithecus_gelada
ENSPANP00000044066	ENSPANG00000034699	Papio_anubis
ENSMLEP00000005648	ENSMLEG00000024614	Mandrillus_leucophaeus
ENSCANP00000007553	ENSCANG00000024784	Colobus_angolensis_palliatus
ENSPTEP00000014577	ENSPTEG00000016262	Piliocolobus_tephrosceles
ENSSBOP00000006047	ENSSBOG00000019967	Saimiri_boliviensis_boliviensis
ENSCCAP00000024969	ENSCCAG00000030286	Cebus_capucinus_imitator
ENSCJAP00000001374	ENSCJAG00000016532	Callithrix_jacchus
ENSANAP00000002426	ENSANAG00000018250	Aotus_nancymaae
ENSTBEP00000009803	ENSTBEG00000011341	Tupaia_belangeri
ENSSARP00000001316	ENSSARG00000001444	Sorex_araneus
ENSEEUP00000012702	ENSEEUG00000013921	Erinaceus_europaeus
ENSUMAP00000012696	ENSUMAG00000009418	Ursus_maritimus
ENSAMEP00000005424	ENSAMEG00000005121	Ailuropoda_melanoleuca
ENSVVUP00000033870	ENSVVUG00000024476	Vulpes_vulpes
ENSCAFP00000007394	ENSCAFG00000004969	Canis_lupus_familiaris
ENSNVIP00000011365	ENSNVIG00000008974	Neovison_vison
ENSMPUP00000000352	ENSMPUG00000000355	Mustela_putorius_furo
ENSPPRP00000017006	ENSPPRG00000009120	Panthera_pardus
ENSPTIP00000020256	ENSPTIG00000017788	Panthera_tigris_altaica
ENSFCAP00000004464	ENSFCAG00000004830	Felis_catus
ENSSSCP00000065371	ENSSSCG00000009456	Sus_scrofa_strain_reference
ENSVPAP00000002975	ENSVPAG00000003216	Vicugna_pacos
ENSBIXP00005000796	ENSBIXG00005029819	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000038106	ENSBIXG00000021849	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000011402	ENSBTAG00000008647	Bos_taurus
ENSBBBP00000006697	ENSBBBG00000014959	Bison_bison_bison
ENSOARP00000016241	ENSOARG00000015136	Ovis_aries
ENSTTRP00000015373	ENSTTRG00000016216	Tursiops_truncatus
ENSEASP00005022823	ENSEASG00005015558	Equus_asinus_asinus
ENSECAP00000016789	ENSECAG00000018938	Equus_caballus
ENSMLUP00000001361	ENSMLUG00000001481	Myotis_lucifugus
ENSLAFP00000009709	ENSLAFG00000011623	Loxodonta_africana
ENSPCAP00000007043	ENSPCAG00000007506	Procavia_capensis
