ENSAHAP00000014412	ENSAHAG00000010360	Apteryx_haastii
ENSAOWP00000004480	ENSAOWG00000003131	Apteryx_owenii
ENSARWP00000011473	ENSARWG00000007925	Apteryx_rowi
ENSDNVP00000006952	ENSDNVG00000004974	Dromaius_novaehollandiae
ENSNPEP00000000645	ENSNPEG00000000492	Nothoprocta_perdicaria
ENSJHYP00000020304	ENSJHYG00000015410	Junco_hyemalis
ENSZALP00000019526	ENSZALG00000015462	Zonotrichia_albicollis
ENSSCAP00000015756	ENSSCAG00000011535	Serinus_canaria
ENSTGUP00000001437	ENSTGUG00000001390	Taeniopygia_guttata
ENSTGUP00000014198	ENSTGUG00000013780	Taeniopygia_guttata
ENSLSDP00000006545	ENSLSDG00000004976	Lonchura_striata_domestica
ENSPMJP00000008935	ENSPMJG00000007208	Parus_major
ENSCCEP00000018091	ENSCCEG00000016655	Cyanistes_caeruleus
ENSFALP00000008144	ENSFALG00000007808	Ficedula_albicollis
ENSMVIP00005005964	ENSMVIG00005004547	Manacus_vitellinus
ENSLCOP00000012970	ENSLCOG00000009352	Lepidothrix_coronata
ENSMUNP00000005358	ENSMUNG00000004408	Melopsittacus_undulatus
ENSABRP00000018889	ENSABRG00000016201	Anser_brachyrhynchus
ENSAPLP00000023156	ENSAPLG00000029327	Anas_platyrhynchos_platyrhynchos
ENSGALP00000030590	ENSGALG00000019662	Gallus_gallus
ENSMGAP00000008514	ENSMGAG00000008299	Meleagris_gallopavo
ENSCJPP00005006334	ENSCJPG00005005950	Coturnix_japonica
ENSNMEP00000014960	ENSNMEG00000013298	Numida_meleagris
ENSCPRP00005017454	ENSCPRG00005012157	Crocodylus_porosus
ENSGAGP00000023535	ENSGAGG00000017253	Gopherus_agassizii
ENSCABP00000030677	ENSCABG00000022430	Chelonoidis_abingdonii
ENSCPBP00000030141	ENSCPBG00000021230	Chrysemys_picta_bellii
ENSPSIP00000007246	ENSPSIG00000006687	Pelodiscus_sinensis
ENSPVIP00000002327	ENSPVIG00000001994	Pogona_vitticeps
ENSACAP00000022117	ENSACAG00000028482	Anolis_carolinensis
ENSNSUP00000012917	ENSNSUG00000009673	Notechis_scutatus
ENSSMRP00000017791	ENSSMRG00000013878	Salvator_merianae
ENSSPUP00000015108	ENSSPUG00000011637	Sphenodon_punctatus
ENSPTRP00000071194	ENSPTRG00000050572	Pan_troglodytes
ENSPTRP00000033136	ENSPTRG00000019371	Pan_troglodytes
ENSPPAP00000041720	ENSPPAG00000043466	Pan_paniscus
ENSGGOP00000004581	ENSGGOG00000004674	Gorilla_gorilla
ENSP00000344831	ENSG00000075303	Homo_sapiens
ENSPPYP00000019995	ENSPPYG00000017841	Pongo_abelii
ENSNLEP00000018256	ENSNLEG00000015011	Nomascus_leucogenys
ENSCATP00000013093	ENSCATG00000030682	Cercocebus_atys
ENSMLEP00000018255	ENSMLEG00000033325	Mandrillus_leucophaeus
ENSTGEP00000005824	ENSTGEG00000004806	Theropithecus_gelada
ENSMMUP00000069686	ENSMMUG00000006767	Macaca_mulatta
ENSMNEP00000016902	ENSMNEG00000032469	Macaca_nemestrina
ENSMFAP00000036280	ENSMFAG00000034495	Macaca_fascicularis
ENSPANP00000018648	ENSPANG00000025953	Papio_anubis
ENSCSAP00000008598	ENSCSAG00000012410	Chlorocebus_sabaeus
ENSRROP00000035243	ENSRROG00000041129	Rhinopithecus_roxellana
ENSRBIP00000009742	ENSRBIG00000028716	Rhinopithecus_bieti
ENSCANP00000015222	ENSCANG00000031061	Colobus_angolensis_palliatus
ENSPTEP00000026561	ENSPTEG00000026601	Piliocolobus_tephrosceles
ENSCCAP00000037664	ENSCCAG00000036682	Cebus_capucinus_imitator
ENSSBOP00000035220	ENSSBOG00000033766	Saimiri_boliviensis_boliviensis
ENSCJAP00000026629	ENSCJAG00000014451	Callithrix_jacchus
ENSANAP00000030952	ENSANAG00000033214	Aotus_nancymaae
ENSTSYP00000001453	ENSTSYG00000001561	Carlito_syrichta
ENSPCOP00000030897	ENSPCOG00000028200	Propithecus_coquereli
ENSMICP00000022280	ENSMICG00000028155	Microcebus_murinus
ENSPSMP00000022719	ENSPSMG00000016060	Prolemur_simus
ENSOGAP00000005098	ENSOGAG00000005706	Otolemur_garnettii
ENSMUSP00000067611	ENSMUSG00000054099	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0069255	MGP_SPRETEiJ_G0027952	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000012453	ENSMSIG00000010794	Mus_spicilegus
MGP_CAROLIEiJ_P0066648	MGP_CAROLIEiJ_G0026957	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0048092	MGP_PahariEiJ_G0021729	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0048088
ENSRNOP00000058058	ENSRNOG00000022837	Rattus_norvegicus
ENSMUGP00000004360	ENSMUGG00000003977	Meriones_unguiculatus
ENSMOCP00000009277	ENSMOCG00000009413	Microtus_ochrogaster
ENSMOCP00000008704	ENSMOCG00000008734	Microtus_ochrogaster
ENSPEMP00000028855	ENSPEMG00000024272	Peromyscus_maniculatus_bairdii
ENSCGRP00000013661	ENSCGRG00000009908	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001000179	ENSCGRG00001000177	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015001097	ENSCGRG00015000932	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000018799	ENSMAUG00000017261	Mesocricetus_auratus
ENSNGAP00000007632	ENSNGAG00000010840	Nannospalax_galili
ENSJJAP00000016966	ENSJJAG00000018652	Jaculus_jaculus
ENSCCNP00000020172	ENSCCNG00000020183	Castor_canadensis
ENSHGLP00000007640	ENSHGLG00000005541	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003127	ENSHGLG00100002391	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020313	ENSFDAG00000008531	Fukomys_damarensis
ENSCLAP00000008279	ENSCLAG00000005807	Chinchilla_lanigera
ENSODEP00000001481	ENSODEG00000001164	Octodon_degus
ENSCPOP00000022050	ENSCPOG00000037087	Cavia_porcellus
ENSCAPP00000001249	ENSCAPG00000002266	Cavia_aperea
ENSDORP00000008635	ENSDORG00000009193	Dipodomys_ordii
ENSUPAP00010021542	ENSUPAG00010017131	Urocitellus_parryii
ENSSTOP00000003847	ENSSTOG00000004292	Ictidomys_tridecemlineatus
ENSMMMP00000024259	ENSMMMG00000021226	Marmota_marmota_marmota
ENSSDAP00000026621	ENSSDAG00000024145	Spermophilus_dauricus
ENSOCUP00000012895	ENSOCUG00000015008	Oryctolagus_cuniculus
ENSOPRP00000004107	ENSOPRG00000004466	Ochotona_princeps
ENSTBEP00000007227	ENSTBEG00000008347	Tupaia_belangeri
ENSUAMP00000003788	ENSUAMG00000003487	Ursus_americanus
ENSUMAP00000023929	ENSUMAG00000017422	Ursus_maritimus
ENSAMEP00000001247	ENSAMEG00000001175	Ailuropoda_melanoleuca
ENSMPUP00000018193	ENSMPUG00000018311	Mustela_putorius_furo
ENSNVIP00000003747	ENSNVIG00000002983	Neovison_vison
ENSCAFP00000002690	ENSCAFG00000001841	Canis_lupus_familiaris
ENSCAFP00020026120	ENSCAFG00020020508	Canis_lupus_dingo
ENSVVUP00000001300	ENSVVUG00000001076	Vulpes_vulpes
ENSPPRP00000004058	ENSPPRG00000000287	Panthera_pardus
ENSPTIP00000009688	ENSPTIG00000010701	Panthera_tigris_altaica
ENSFCAP00000030740	ENSFCAG00000015123	Felis_catus
ENSECAP00000007663	ENSECAG00000009554	Equus_caballus
ENSEASP00005001589	ENSEASG00005001287	Equus_asinus_asinus
ENSBTAP00000073043	ENSBTAG00000054987	Bos_taurus
ENSBMUP00000029460	ENSBMUG00000022045	Bos_mutus
ENSBBBP00000007944	ENSBBBG00000015956	Bison_bison_bison
ENSCHIP00000013121	ENSCHIG00000014661	Capra_hircus
ENSBIXP00005038647	ENSBIXG00005020760	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000023802	ENSBIXG00000007540	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000063512	ENSBTAG00000033449	Bos_taurus
ENSOARP00000014797	ENSOARG00000013799	Ovis_aries
ENSCHIP00000010888	ENSCHIG00000013250	Capra_hircus
ENSTTRP00000006027	ENSTTRG00000006373	Tursiops_truncatus
ENSSSCP00000032685	ENSSSCG00000026177	Sus_scrofa_strain_reference
ENSVPAP00000009211	ENSVPAG00000009896	Vicugna_pacos
ENSPVAP00000007005	ENSPVAG00000007425	Pteropus_vampyrus
ENSMLUP00000015481	ENSMLUG00000016981	Myotis_lucifugus
ENSSARP00000011536	ENSSARG00000012750	Sorex_araneus
ENSEEUP00000001235	ENSEEUG00000001374	Erinaceus_europaeus
ENSLAFP00000009161	ENSLAFG00000010955	Loxodonta_africana
ENSPCAP00000010713	ENSPCAG00000011488	Procavia_capensis
ENSDNOP00000023095	ENSDNOG00000043956	Dasypus_novemcinctus
ENSPCIP00000019647	ENSPCIG00000014993	Phascolarctos_cinereus
ENSVURP00010029933	ENSVURG00010022874	Vombatus_ursinus
ENSMEUP00000013053	ENSMEUG00000014310	Notamacropus_eugenii
ENSSHAP00000007438	ENSSHAG00000006465	Sarcophilus_harrisii
ENSMODP00000012897	ENSMODG00000010290	Monodelphis_domestica
ENSOANP00000006995	ENSOANG00000004418	Ornithorhynchus_anatinus
ENSXETP00000033277	ENSXETG00000016238	Xenopus_tropicalis
ENSLACP00000014615	ENSLACG00000012865	Latimeria_chalumnae
ENSECRP00000021669	ENSECRG00000014572	Erpetoichthys_calabaricus
ENSECRP00000021869	ENSECRG00000014779	Erpetoichthys_calabaricus
ENSCMIP00000039180	ENSCMIG00000016394	Callorhinchus_milii
ENSZALP00000022463	ENSZALG00000017446	Zonotrichia_albicollis
ENSPMAP00000007224	ENSPMAG00000006542	Petromyzon_marinus
ENSEBUP00000011007	ENSEBUG00000007070	Eptatretus_burgeri
