ENSPMAP00000003006	ENSPMAG00000002752	Petromyzon_marinus	ENSPMAT00000003021
ENSEBUP00000006859	ENSEBUG00000004513	Eptatretus_burgeri	ENSEBUT00000007323
ENSCLAP00000015109	ENSCLAG00000010414	Chinchilla_lanigera
ENSODEP00000020868	ENSODEG00000015387	Octodon_degus
ENSCPOP00000009244	ENSCPOG00000010294	Cavia_porcellus
ENSCAPP00000016708	ENSCAPG00000016536	Cavia_aperea
ENSHGLP00000016876	ENSHGLG00000012066	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013615	ENSHGLG00100010068	Heterocephalus_glaber_HetGla_1.0
ENSUPAP00010024472	ENSUPAG00010019404	Urocitellus_parryii
ENSSTOP00000002956	ENSSTOG00000003309	Ictidomys_tridecemlineatus
ENSSDAP00000014696	ENSSDAG00000013245	Spermophilus_dauricus
ENSMMMP00000003896	ENSMMMG00000003543	Marmota_marmota_marmota
ENSMSIP00000028993	ENSMSIG00000024345	Mus_spicilegus	ENSMSIT00000036542
MGP_SPRETEiJ_P0086033	MGP_SPRETEiJ_G0031656	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000040568	ENSMUSG00000042178	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0082619	MGP_CAROLIEiJ_G0030542	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0019413	MGP_PahariEiJ_G0013749	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000027032	ENSRNOG00000019935	Rattus_norvegicus
ENSMUGP00000015835	ENSMUGG00000013601	Meriones_unguiculatus
ENSCGRP00001020065	ENSCGRG00001019321	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015030906	ENSCGRG00015023292	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000009846	ENSCGRG00000007211	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000004627	ENSMAUG00000006134	Mesocricetus_auratus
ENSMOCP00000022621	ENSMOCG00000019608	Microtus_ochrogaster
ENSPEMP00000006472	ENSPEMG00000008687	Peromyscus_maniculatus_bairdii
ENSNGAP00000010085	ENSNGAG00000012603	Nannospalax_galili
ENSJJAP00000023310	ENSJJAG00000023121	Jaculus_jaculus
ENSCCNP00000021556	ENSCCNG00000021327	Castor_canadensis
ENSDORP00000010927	ENSDORG00000011627	Dipodomys_ordii	ENSDORT00000011628
ENSOPRP00000001291	ENSOPRG00000001411	Ochotona_princeps
ENSTBEP00000012035	ENSTBEG00000013893	Tupaia_belangeri	ENSTBET00000013891
ENSTGEP00000011885	ENSTGEG00000009681	Theropithecus_gelada
ENSPANP00000012590	ENSPANG00000009715	Papio_anubis
ENSCATP00000029109	ENSCATG00000037817	Cercocebus_atys
ENSMLEP00000038762	ENSMLEG00000043434	Mandrillus_leucophaeus
ENSMNEP00000014769	ENSMNEG00000031517	Macaca_nemestrina
ENSMMUP00000054329	ENSMMUG00000000895	Macaca_mulatta
ENSMFAP00000024675	ENSMFAG00000043898	Macaca_fascicularis
ENSCSAP00000001929	ENSCSAG00000005617	Chlorocebus_sabaeus
ENSCANP00000038918	ENSCANG00000043133	Colobus_angolensis_palliatus
ENSPTEP00000028786	ENSPTEG00000028328	Piliocolobus_tephrosceles
ENSRROP00000030017	ENSRROG00000038782	Rhinopithecus_roxellana
ENSRBIP00000033691	ENSRBIG00000040581	Rhinopithecus_bieti
ENSPPAP00000016767	ENSPPAG00000031477	Pan_paniscus
ENSPTRP00000053587	ENSPTRG00000031215	Pan_troglodytes
ENSP00000386125	ENSG00000140691	Homo_sapiens
ENSGGOP00000007166	ENSGGOG00000007323	Gorilla_gorilla
ENSPPYP00000008705	ENSPPYG00000007722	Pongo_abelii
ENSNLEP00000019815	ENSNLEG00000016338	Nomascus_leucogenys
ENSCCAP00000003492	ENSCCAG00000018311	Cebus_capucinus_imitator
ENSSBOP00000029661	ENSSBOG00000031129	Saimiri_boliviensis_boliviensis
ENSCJAP00000001468	ENSCJAG00000000862	Callithrix_jacchus
ENSANAP00000036755	ENSANAG00000035888	Aotus_nancymaae
ENSTSYP00000015369	ENSTSYG00000034503	Carlito_syrichta
ENSPCOP00000022103	ENSPCOG00000023127	Propithecus_coquereli
ENSPSMP00000021757	ENSPSMG00000015353	Prolemur_simus
ENSMICP00000005516	ENSMICG00000006051	Microcebus_murinus
ENSOGAP00000017113	ENSOGAG00000028780	Otolemur_garnettii
ENSUAMP00000017624	ENSUAMG00000013978	Ursus_americanus
ENSUMAP00000019841	ENSUMAG00000014511	Ursus_maritimus
ENSAMEP00000017183	ENSAMEG00000016272	Ailuropoda_melanoleuca
ENSNVIP00000032308	ENSNVIG00000024907	Neovison_vison
ENSMPUP00000011263	ENSMPUG00000011355	Mustela_putorius_furo
ENSCAFP00000064591	ENSCAFG00000016892	Canis_lupus_familiaris
ENSCAFP00020025997	ENSCAFG00020020429	Canis_lupus_dingo
ENSVVUP00000040506	ENSVVUG00000028881	Vulpes_vulpes
ENSPTIP00000003511	ENSPTIG00000006231	Panthera_tigris_altaica
ENSPPRP00000028155	ENSPPRG00000020218	Panthera_pardus
ENSFCAP00000031683	ENSFCAG00000006342	Felis_catus
ENSECAP00000007828	ENSECAG00000009891	Equus_caballus
ENSEASP00005012804	ENSEASG00005008948	Equus_asinus_asinus
ENSMLUP00000010419	ENSMLUG00000011438	Myotis_lucifugus
ENSMLUP00000003107	ENSMLUG00000003424	Myotis_lucifugus
ENSPVAP00000011812	ENSPVAG00000012529	Pteropus_vampyrus	ENSPVAT00000012529
ENSCHIP00000032821	ENSCHIG00000026632	Capra_hircus
ENSOARP00000010178	ENSOARG00000009484	Ovis_aries
ENSBIXP00005025024	ENSBIXG00005005326	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000001482	ENSBIXG00000028519	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000003076	ENSBTAG00000002374	Bos_taurus
ENSBBBP00000007198	ENSBBBG00000001274	Bison_bison_bison
ENSBMUP00000033968	ENSBMUG00000025318	Bos_mutus
ENSTTRP00000011843	ENSTTRG00000012482	Tursiops_truncatus
ENSSSCP00000051239	ENSSSCG00000025245	Sus_scrofa_strain_reference
ENSSARP00000001789	ENSSARG00000001976	Sorex_araneus	ENSSART00000001970
ENSLAFP00000021299	ENSLAFG00000025634	Loxodonta_africana	ENSLAFT00000028210
ENSPCAP00000001396	ENSPCAG00000001518	Procavia_capensis	ENSPCAT00000001483
ENSETEP00000004834	ENSETEG00000005953	Echinops_telfairi	ENSETET00000005953
ENSDNOP00000034044	ENSDNOG00000007588	Dasypus_novemcinctus
ENSEEUP00000011723	ENSEEUG00000012830	Erinaceus_europaeus
ENSPCIP00000039632	ENSPCIG00000029080	Phascolarctos_cinereus
ENSVURP00010012244	ENSVURG00010009449	Vombatus_ursinus
ENSMEUP00000008162	ENSMEUG00000008926	Notamacropus_eugenii
ENSSHAP00000016567	ENSSHAG00000014092	Sarcophilus_harrisii
ENSMODP00000039212	ENSMODG00000001517	Monodelphis_domestica
ENSOANP00000003565	ENSOANG00000002251	Ornithorhynchus_anatinus
ENSCPGP00000027570	ENSCPGG00000019010	Calidris_pygmaea
ENSCPUP00000023347	ENSCPUG00000015859	Calidris_pugnax
ENSGALP00000068995	ENSGALG00000048865	Gallus_gallus
ENSPVIP00000006064	ENSPVIG00000005042	Pogona_vitticeps
ENSACAP00000005954	ENSACAG00000006107	Anolis_carolinensis
ENSNSUP00000014960	ENSNSUG00000011065	Notechis_scutatus
ENSSMRP00000009053	ENSSMRG00000007241	Salvator_merianae
ENSSPUP00000011185	ENSSPUG00000008590	Sphenodon_punctatus
ENSCABP00000004581	ENSCABG00000003448	Chelonoidis_abingdonii
ENSGAGP00000020611	ENSGAGG00000015180	Gopherus_agassizii
ENSXETP00000008768	ENSXETG00000006776	Xenopus_tropicalis
ENSLACP00000003773	ENSLACG00000003361	Latimeria_chalumnae
ENSAMXP00000040340	ENSAMXG00000008691	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005033941	ENSAMXG00005016374	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000013377	ENSPNAG00000019220	Pygocentrus_nattereri
ENSEEEP00000028902	ENSEEEG00000013873	Electrophorus_electricus
ENSIPUP00000012485	ENSIPUG00000008095	Ictalurus_punctatus
ENSDARP00000127109	ENSDARG00000078083	Danio_rerio
ENSCHAP00000000041	ENSCHAG00000000017	Clupea_harengus
ENSGACP00000017958	ENSGACG00000013584	Gasterosteus_aculeatus
ENSMMOP00000022648	ENSMMOG00000017220	Mola_mola
