ENSSFOP00015034497	ENSSFOG00015021982	Scleropages_formosus	ENSSFOT00015034875
ENSPKIP00000029041	ENSPKIG00000010445	Paramormyrops_kingsleyae	ENSPKIT00000009832
ENSLCAP00010047935	ENSLCAG00010022269	Lates_calcarifer
ENSCGOP00000030194	ENSCGOG00000014020	Cottoperca_gobio
ENSXCOP00000026441	ENSXCOG00000019742	Xiphophorus_couchianus
ENSXMAP00000041740	ENSXMAG00000029139	Xiphophorus_maculatus
ENSGAFP00000006184	ENSGAFG00000004209	Gambusia_affinis
ENSPLAP00000015475	ENSPLAG00000019397	Poecilia_latipinna
ENSPFOP00000008654	ENSPFOG00000008722	Poecilia_formosa
ENSPMEP00000011802	ENSPMEG00000013907	Poecilia_mexicana
ENSPREP00000028092	ENSPREG00000019017	Poecilia_reticulata
ENSCVAP00000015223	ENSCVAG00000017982	Cyprinodon_variegatus
ENSFHEP00000011053	ENSFHEG00000012430	Fundulus_heteroclitus
ENSKMAP00000016004	ENSKMAG00000011957	Kryptolebias_marmoratus
ENSORLP00020007008	ENSORLG00020007891	Oryzias_latipes_ASM223471v1
ENSORLP00000044045	ENSORLG00000028898	Oryzias_latipes_ASM223467v1
ENSOMEP00000005921	ENSOMEG00000006950	Oryzias_melastigma
ENSMAMP00000001940	ENSMAMG00000001380	Mastacembelus_armatus
ENSSMAP00000004196	ENSSMAG00000002544	Scophthalmus_maximus
ENSCSEP00000012219	ENSCSEG00000007889	Cynoglossus_semilaevis
ENSSLDP00000017750	ENSSLDG00000014000	Seriola_lalandi_dorsalis
ENSSDUP00000025700	ENSSDUG00000018643	Seriola_dumerili
ENSATEP00000012784	ENSATEG00000008938	Anabas_testudineus
ENSBSLP00000033543	ENSBSLG00000016301	Betta_splendens
ENSMALP00000016679	ENSMALG00000011695	Monopterus_albus
ENSLCRP00005050589	ENSLCRG00005019077	Larimichthys_crocea
ENSGACP00000004307	ENSGACG00000003294	Gasterosteus_aculeatus
ENSLBEP00000035883	ENSLBEG00000026904	Labrus_bergylta
ENSAPEP00000012751	ENSAPEG00000009088	Amphiprion_percula
ENSAPEP00000012366	ENSAPEG00000008831	Amphiprion_percula
ENSAOCP00000026155	ENSAOCG00000014214	Amphiprion_ocellaris
ENSAPOP00000004293	ENSAPOG00000005886	Acanthochromis_polyacanthus
ENSSPAP00000004571	ENSSPAG00000003551	Stegastes_partitus
ENSPRNP00000038544	ENSPRNG00000019085	Parambassis_ranga
ENSACLP00000014148	ENSACLG00000009659	Astatotilapia_calliptera
ENSMZEP00005035480	ENSMZEG00005026509	Maylandia_zebra
ENSHBUP00000018121	ENSHBUG00000020177	Haplochromis_burtoni
ENSPNYP00000015128	ENSPNYG00000011464	Pundamilia_nyererei
ENSONIP00000024807	ENSONIG00000019708	Oreochromis_niloticus
ENSACIP00000014149	ENSACIG00000011012	Amphilophus_citrinellus
ENSNBRP00000022850	ENSNBRG00000017499	Neolamprologus_brichardi
ENSMMOP00000020819	ENSMMOG00000015825	Mola_mola
ENSTRUP00000050951	ENSTRUG00000022345	Takifugu_rubripes
ENSHCOP00000020028	ENSHCOG00000005818	Hippocampus_comes
ENSHCOP00000020060	ENSHCOG00000005872	Hippocampus_comes
ENSPMGP00000001000	ENSPMGG00000000916	Periophthalmus_magnuspinnatus
ENSGWIP00000002968	ENSGWIG00000001643	Gouania_willdenowi
ENSGMOP00000003233	ENSGMOG00000003085	Gadus_morhua
ENSDARP00000095428	ENSDARG00000070985	Danio_rerio
ENSEEEP00000013608	ENSEEEG00000006801	Electrophorus_electricus
ENSIPUP00000011964	ENSIPUG00000008123	Ictalurus_punctatus
ENSAMXP00000032572	ENSAMXG00000032876	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000054513
ENSAMXP00005057766	ENSAMXG00005025486	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000011410	ENSPNAG00000017115	Pygocentrus_nattereri
ENSDCDP00000043533	ENSDCDG00000027816	Denticeps_clupeoides
ENSCHAP00000026668	ENSCHAG00000012972	Clupea_harengus
ENSELUP00000006874	ENSELUG00000007710	Esox_lucius
ENSHHUP00000056707	ENSHHUG00000033835	Hucho_hucho
ENSABRP00000025395	ENSABRG00000021303	Anser_brachyrhynchus
ENSAPLP00000021684	ENSAPLG00000025206	Anas_platyrhynchos_platyrhynchos
ENSGALP00000068217	ENSGALG00000052471	Gallus_gallus
ENSMGAP00000000077	ENSMGAG00000000705	Meleagris_gallopavo
ENSCJPP00005018631	ENSCJPG00005015156	Coturnix_japonica
ENSNMEP00000006863	ENSNMEG00000006990	Numida_meleagris
ENSLSDP00000016708	ENSLSDG00000012024	Lonchura_striata_domestica
ENSSCAP00000016333	ENSSCAG00000011951	Serinus_canaria
ENSCCEP00000002588	ENSCCEG00000002859	Cyanistes_caeruleus
ENSPMJP00000002101	ENSPMJG00000001710	Parus_major
ENSCPGP00000004476	ENSCPGG00000003280	Calidris_pygmaea
ENSARWP00000012379	ENSARWG00000008557	Apteryx_rowi
ENSAHAP00000003288	ENSAHAG00000002587	Apteryx_haastii
ENSNPEP00000004954	ENSNPEG00000003770	Nothoprocta_perdicaria
ENSEBUP00000011686	ENSEBUG00000007487	Eptatretus_burgeri
ENSEBUP00000010813	ENSEBUG00000006949	Eptatretus_burgeri
