F35D6.1a.1	WBGene00001411	Caenorhabditis_elegans_strain_N2	F35D6.1a.1
FBpp0082855	FBgn0038488	Drosophila_melanogaster	FBtr0083414
ENSPMAP00000009553	ENSPMAG00000008675	Petromyzon_marinus	ENSPMAT00000009593
ENSEBUP00000000895	ENSEBUG00000000907	Eptatretus_burgeri	ENSEBUT00000001205
ENSGALP00000042401	ENSGALG00000028906	Gallus_gallus
ENSCJPP00005027037	ENSCJPG00005020997	Coturnix_japonica
ENSNMEP00000000321	ENSNMEG00000000458	Numida_meleagris
ENSAPLP00000003064	ENSAPLG00000003592	Anas_platyrhynchos_platyrhynchos
ENSLCOP00000006399	ENSLCOG00000004748	Lepidothrix_coronata
ENSMVIP00005013531	ENSMVIG00005009795	Manacus_vitellinus
ENSLSDP00000015315	ENSLSDG00000011038	Lonchura_striata_domestica
ENSTGUP00000009903	ENSTGUG00000009612	Taeniopygia_guttata
ENSJHYP00000018676	ENSJHYG00000014205	Junco_hyemalis
ENSFALP00000010585	ENSFALG00000010149	Ficedula_albicollis
ENSPMJP00000013103	ENSPMJG00000010022	Parus_major
ENSNPEP00000011644	ENSNPEG00000008749	Nothoprocta_perdicaria
ENSCPGP00000027804	ENSCPGG00000019175	Calidris_pygmaea
ENSCPUP00000009343	ENSCPUG00000006651	Calidris_pugnax
ENSARWP00000019226	ENSARWG00000013188	Apteryx_rowi
ENSAOWP00000009197	ENSAOWG00000006312	Apteryx_owenii
ENSDNVP00000004498	ENSDNVG00000003189	Dromaius_novaehollandiae
ENSACAP00000001259	ENSACAG00000001361	Anolis_carolinensis
ENSCABP00000009366	ENSCABG00000007048	Chelonoidis_abingdonii
ENSGAGP00000013893	ENSGAGG00000010582	Gopherus_agassizii
ENSCPBP00000036801	ENSCPBG00000025536	Chrysemys_picta_bellii
ENSPSIP00000014390	ENSPSIG00000012891	Pelodiscus_sinensis
ENSMODP00000051046	ENSMODG00000051021	Monodelphis_domestica
ENSVURP00010023226	ENSVURG00010017788	Vombatus_ursinus
ENSHGLP00000025192	ENSHGLG00000017948	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005587	ENSFDAG00000014559	Fukomys_damarensis
ENSMICP00000047470	ENSMICG00000028605	Microcebus_murinus
ENSMLUP00000008178	ENSMLUG00000008987	Myotis_lucifugus
ENSCAFP00000025753	ENSCAFG00000017476	Canis_lupus_familiaris
ENSPPAP00000014713	ENSPPAG00000030523	Pan_paniscus
ENSPTRP00000081740	ENSPTRG00000007214	Pan_troglodytes
ENSGGOP00000042813	ENSGGOG00000028408	Gorilla_gorilla
