ENSCCNP00000032969	ENSCCNG00000031240	Castor_canadensis
ENSDORP00000014182	ENSDORG00000015064	Dipodomys_ordii
ENSCGRP00001022169	ENSCGRG00001020773	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015006673	ENSCGRG00015005107	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000016990	ENSCGRG00000012354	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000010492	ENSMAUG00000011362	Mesocricetus_auratus
ENSMOCP00000004926	ENSMOCG00000004286	Microtus_ochrogaster
ENSPEMP00000012920	ENSPEMG00000013097	Peromyscus_maniculatus_bairdii
ENSMUSP00000102382	ENSMUSG00000047502	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0065773	MGP_SPRETEiJ_G0027207	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000034634	ENSMSIG00000028891	Mus_spicilegus
MGP_CAROLIEiJ_P0063290	MGP_CAROLIEiJ_G0026238	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0078405	MGP_PahariEiJ_G0028572	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000072770	ENSRNOG00000058870	Rattus_norvegicus
ENSMUGP00000032405	ENSMUGG00000026945	Meriones_unguiculatus
ENSNGAP00000024834	ENSNGAG00000022964	Nannospalax_galili
ENSCLAP00000022418	ENSCLAG00000015377	Chinchilla_lanigera
ENSODEP00000015983	ENSODEG00000011770	Octodon_degus
ENSCPOP00000006282	ENSCPOG00000020970	Cavia_porcellus
ENSCAPP00000002770	ENSCAPG00000005697	Cavia_aperea
ENSFDAP00000011070	ENSFDAG00000018711	Fukomys_damarensis
ENSUPAP00010026935	ENSUPAG00010021298	Urocitellus_parryii
ENSSTOP00000010944	ENSSTOG00000012202	Ictidomys_tridecemlineatus
ENSMMMP00000017235	ENSMMMG00000015298	Marmota_marmota_marmota
ENSSDAP00000003316	ENSSDAG00000003139	Spermophilus_dauricus
ENSOCUP00000007018	ENSOCUG00000008107	Oryctolagus_cuniculus
ENSPTRP00000001342	ENSPTRG00000000773	Pan_troglodytes
ENSPPAP00000031877	ENSPPAG00000038810	Pan_paniscus
ENSP00000396622	ENSG00000184313	Homo_sapiens
ENSP00000410192	ENSG00000271723	Homo_sapiens
ENSGGOP00000027927	ENSGGOG00000010364	Gorilla_gorilla
ENSPPYP00000001530	ENSPPYG00000001313	Pongo_abelii
ENSNLEP00000003919	ENSNLEG00000003148	Nomascus_leucogenys
ENSPANP00000011052	ENSPANG00000029768	Papio_anubis
ENSTGEP00000009796	ENSTGEG00000008052	Theropithecus_gelada
ENSMLEP00000030931	ENSMLEG00000039632	Mandrillus_leucophaeus
