ENSMALP00000004900	ENSMALG00000003537	Monopterus_albus
ENSMAMP00000014783	ENSMAMG00000010036	Mastacembelus_armatus
ENSLCAP00010003209	ENSLCAG00010001682	Lates_calcarifer
ENSATEP00000009137	ENSATEG00000006426	Anabas_testudineus
ENSTRUP00000014625	ENSTRUG00000006012	Takifugu_rubripes
ENSMMOP00000022448	ENSMMOG00000017058	Mola_mola
ENSHCOP00000005303	ENSHCOG00000000206	Hippocampus_comes
ENSPMGP00000010317	ENSPMGG00000008551	Periophthalmus_magnuspinnatus
ENSAPEP00000031477	ENSAPEG00000022349	Amphiprion_percula
ENSAOCP00000032010	ENSAOCG00000001758	Amphiprion_ocellaris
ENSAPOP00000006713	ENSAPOG00000008580	Acanthochromis_polyacanthus
ENSSPAP00000016736	ENSSPAG00000012635	Stegastes_partitus
ENSPRNP00000046335	ENSPRNG00000022360	Parambassis_ranga
ENSFHEP00000019775	ENSFHEG00000021679	Fundulus_heteroclitus
ENSCVAP00000031100	ENSCVAG00000020120	Cyprinodon_variegatus
ENSXMAP00000021889	ENSXMAG00000026917	Xiphophorus_maculatus
ENSXCOP00000004951	ENSXCOG00000003880	Xiphophorus_couchianus
ENSGAFP00000021294	ENSGAFG00000014356	Gambusia_affinis
ENSPMEP00000024583	ENSPMEG00000006828	Poecilia_mexicana
ENSPREP00000005151	ENSPREG00000003598	Poecilia_reticulata
ENSPLAP00000013960	ENSPLAG00000017540	Poecilia_latipinna
ENSKMAP00000003347	ENSKMAG00000002548	Kryptolebias_marmoratus
ENSORLP00015018975	ENSORLG00015000561	Oryzias_latipes_ASM223469v1
ENSORLP00000044994	ENSORLG00000030356	Oryzias_latipes_ASM223467v1
ENSOMEP00000018053	ENSOMEG00000019740	Oryzias_melastigma
ENSACLP00000015565	ENSACLG00000010614	Astatotilapia_calliptera
ENSMZEP00005023231	ENSMZEG00005017394	Maylandia_zebra
ENSPNYP00000024667	ENSPNYG00000018635	Pundamilia_nyererei
ENSHBUP00000008278	ENSHBUG00000009763	Haplochromis_burtoni
ENSNBRP00000006978	ENSNBRG00000005466	Neolamprologus_brichardi
ENSONIP00000002811	ENSONIG00000002252	Oreochromis_niloticus
ENSACIP00000028305	ENSACIG00000021940	Amphilophus_citrinellus
ENSLBEP00000022046	ENSLBEG00000016944	Labrus_bergylta
ENSLCRP00005001528	ENSLCRG00005000756	Larimichthys_crocea
ENSCGOP00000008225	ENSCGOG00000004238	Cottoperca_gobio
ENSSDUP00000009178	ENSSDUG00000006743	Seriola_dumerili
ENSSLDP00000015858	ENSSLDG00000012591	Seriola_lalandi_dorsalis
ENSSMAP00000027078	ENSSMAG00000016548	Scophthalmus_maximus
ENSBSLP00000037707	ENSBSLG00000018408	Betta_splendens
