ENSAHAP00000000590	ENSAHAG00000000538	Apteryx_haastii
ENSARWP00000007238	ENSARWG00000005078	Apteryx_rowi
ENSAOWP00000026801	ENSAOWG00000018064	Apteryx_owenii
ENSDNVP00000025663	ENSDNVG00000017846	Dromaius_novaehollandiae
ENSNPEP00000003976	ENSNPEG00000003049	Nothoprocta_perdicaria
ENSABRP00000022003	ENSABRG00000018627	Anser_brachyrhynchus
ENSAPLP00000011922	ENSAPLG00000012150	Anas_platyrhynchos_platyrhynchos
ENSGALP00000004806	ENSGALG00000003045	Gallus_gallus
ENSCJPP00005026590	ENSCJPG00005020685	Coturnix_japonica
ENSMGAP00000001972	ENSMGAG00000002385	Meleagris_gallopavo
ENSNMEP00000016041	ENSNMEG00000014240	Numida_meleagris
ENSCCEP00000000504	ENSCCEG00000000639	Cyanistes_caeruleus
ENSFALP00000006172	ENSFALG00000005914	Ficedula_albicollis
ENSLSDP00000014585	ENSLSDG00000010534	Lonchura_striata_domestica
ENSZALP00000021034	ENSZALG00000016520	Zonotrichia_albicollis
ENSCCEP00000000473	ENSCCEG00000000632	Cyanistes_caeruleus
ENSJHYP00000006057	ENSJHYG00000004914	Junco_hyemalis
ENSPMJP00000002715	ENSPMJG00000002326	Parus_major
ENSSCAP00000011093	ENSSCAG00000008365	Serinus_canaria
ENSLCOP00000002098	ENSLCOG00000001657	Lepidothrix_coronata
ENSMVIP00005016659	ENSMVIG00005011949	Manacus_vitellinus
ENSCPGP00000009643	ENSCPGG00000006850	Calidris_pygmaea
ENSCPUP00000014410	ENSCPUG00000010134	Calidris_pugnax
ENSMUNP00000014398	ENSMUNG00000011195	Melopsittacus_undulatus
ENSCPRP00005018277	ENSCPRG00005012754	Crocodylus_porosus
ENSGAGP00000013195	ENSGAGG00000010105	Gopherus_agassizii
ENSCABP00000030604	ENSCABG00000022372	Chelonoidis_abingdonii
ENSCPBP00000027065	ENSCPBG00000019177	Chrysemys_picta_bellii
ENSPSIP00000017305	ENSPSIG00000015377	Pelodiscus_sinensis
ENSPVIP00000026430	ENSPVIG00000019737	Pogona_vitticeps
ENSACAP00000008599	ENSACAG00000008761	Anolis_carolinensis
ENSNSUP00000008859	ENSNSUG00000006810	Notechis_scutatus
ENSSMRP00000001670	ENSSMRG00000001456	Salvator_merianae
ENSSPUP00000016375	ENSSPUG00000012675	Sphenodon_punctatus
