ENSPMAP00000005096	ENSPMAG00000004626	Petromyzon_marinus	ENSPMAT00000005115
ENSEBUP00000000013	ENSEBUG00000000315	Eptatretus_burgeri	ENSEBUT00000000302
ENSARWP00000014115	ENSARWG00000009763	Apteryx_rowi
ENSAOWP00000003306	ENSAOWG00000002313	Apteryx_owenii
ENSAHAP00000014029	ENSAHAG00000010089	Apteryx_haastii
ENSDNVP00000005388	ENSDNVG00000003851	Dromaius_novaehollandiae	ENSDNVT00000006494
ENSNPEP00000010695	ENSNPEG00000008049	Nothoprocta_perdicaria
ENSCPGP00000027021	ENSCPGG00000018623	Calidris_pygmaea
ENSCPUP00000008843	ENSCPUG00000006311	Calidris_pugnax
ENSLCOP00000019791	ENSLCOG00000014020	Lepidothrix_coronata
ENSMVIP00005007620	ENSMVIG00005005701	Manacus_vitellinus
ENSTGUP00000007083	ENSTGUG00000006876	Taeniopygia_guttata
ENSLSDP00000008864	ENSLSDG00000006623	Lonchura_striata_domestica
ENSJHYP00000017892	ENSJHYG00000013640	Junco_hyemalis
ENSSCAP00000019924	ENSSCAG00000014382	Serinus_canaria
ENSZALP00000003791	ENSZALG00000003682	Zonotrichia_albicollis
ENSCCEP00000000097	ENSCCEG00000000147	Cyanistes_caeruleus
ENSPMJP00000008663	ENSPMJG00000007017	Parus_major
ENSFALP00000006009	ENSFALG00000005760	Ficedula_albicollis
ENSABRP00000004726	ENSABRG00000004340	Anser_brachyrhynchus
ENSAPLP00000009368	ENSAPLG00000009663	Anas_platyrhynchos_platyrhynchos
ENSGALP00000000338	ENSGALG00000000259	Gallus_gallus
ENSCJPP00005006220	ENSCJPG00005005836	Coturnix_japonica
ENSMGAP00000008174	ENSMGAG00000008001	Meleagris_gallopavo
ENSNMEP00000018602	ENSNMEG00000016156	Numida_meleagris
ENSMUNP00000004200	ENSMUNG00000003499	Melopsittacus_undulatus
ENSMUNP00000009876	ENSMUNG00000007818	Melopsittacus_undulatus
ENSCPRP00005010654	ENSCPRG00005007530	Crocodylus_porosus
ENSGAGP00000012119	ENSGAGG00000009327	Gopherus_agassizii
ENSCABP00000023072	ENSCABG00000016987	Chelonoidis_abingdonii
ENSCPBP00000040181	ENSCPBG00000027631	Chrysemys_picta_bellii
ENSPVIP00000008278	ENSPVIG00000006691	Pogona_vitticeps
ENSACAP00000008295	ENSACAG00000008422	Anolis_carolinensis
ENSSMRP00000025201	ENSSMRG00000019499	Salvator_merianae
ENSSPUP00000024365	ENSSPUG00000018670	Sphenodon_punctatus
ENSPCOP00000015520	ENSPCOG00000019499	Propithecus_coquereli
ENSMICP00000038089	ENSMICG00000014341	Microcebus_murinus
ENSOGAP00000013065	ENSOGAG00000014583	Otolemur_garnettii
ENSTSYP00000004782	ENSTSYG00000005256	Carlito_syrichta
ENSCANP00000027588	ENSCANG00000037195	Colobus_angolensis_palliatus
ENSPTEP00000036231	ENSPTEG00000034071	Piliocolobus_tephrosceles
ENSRROP00000029879	ENSRROG00000038722	Rhinopithecus_roxellana
ENSRBIP00000025725	ENSRBIG00000036741	Rhinopithecus_bieti
ENSMFAP00000006066	ENSMFAG00000002683	Macaca_fascicularis
ENSMMUP00000006258	ENSMMUG00000004709	Macaca_mulatta
ENSMNEP00000036299	ENSMNEG00000041278	Macaca_nemestrina
ENSMLEP00000019301	ENSMLEG00000033877	Mandrillus_leucophaeus
ENSTGEP00000012196	ENSTGEG00000009944	Theropithecus_gelada
ENSCATP00000004933	ENSCATG00000016707	Cercocebus_atys
ENSCSAP00000006766	ENSCSAG00000010544	Chlorocebus_sabaeus
ENSPTRP00000022517	ENSPTRG00000013155	Pan_troglodytes
ENSPPAP00000025717	ENSPPAG00000035980	Pan_paniscus
ENSP00000338039	ENSG00000125818	Homo_sapiens
ENSPPYP00000012129	ENSPPYG00000010859	Pongo_abelii
