ENSBSLP00000033058	ENSBSLG00000016119	Betta_splendens
ENSONIP00000003368	ENSONIG00000002689	Oreochromis_niloticus
ENSPLAP00000023982	ENSPLAG00000009796	Poecilia_latipinna
ENSDCDP00000039877	ENSDCDG00000026378	Denticeps_clupeoides	ENSDCDT00000050764
ENSCSEP00000008292	ENSCSEG00000005310	Cynoglossus_semilaevis
ENSDARP00000098917	ENSDARG00000079333	Danio_rerio
ENSHCOP00000017368	ENSHCOG00000001095	Hippocampus_comes
ENSKMAP00000002051	ENSKMAG00000001603	Kryptolebias_marmoratus
ENSIPUP00000032919	ENSIPUG00000022129	Ictalurus_punctatus	ENSIPUT00000034215
ENSACLP00000000379	ENSACLG00000000288	Astatotilapia_calliptera
ENSTNIP00000000039	ENSTNIG00000001027	Tetraodon_nigroviridis
ENSGMOP00000004838	ENSGMOG00000004557	Gadus_morhua
ENSCGOP00000044932	ENSCGOG00000020162	Cottoperca_gobio
ENSPKIP00000009978	ENSPKIG00000024874	Paramormyrops_kingsleyae
ENSSFOP00015018625	ENSSFOG00015011971	Scleropages_formosus
ENSPMGP00000022126	ENSPMGG00000017912	Periophthalmus_magnuspinnatus
ENSGWIP00000031010	ENSGWIG00000016073	Gouania_willdenowi
ENSHBUP00000013627	ENSHBUG00000015422	Haplochromis_burtoni
ENSFHEP00000015192	ENSFHEG00000016794	Fundulus_heteroclitus
ENSLBEP00000013321	ENSLBEG00000010265	Labrus_bergylta
ENSOMEP00000031883	ENSOMEG00000016991	Oryzias_melastigma
ENSSLDP00000027488	ENSSLDG00000021322	Seriola_lalandi_dorsalis
ENSELUP00000027452	ENSELUG00000003682	Esox_lucius
ENSMZEP00005008619	ENSMZEG00005006566	Maylandia_zebra
ENSLCRP00005021559	ENSLCRG00005008737	Larimichthys_crocea
ENSAPEP00000009958	ENSAPEG00000007155	Amphiprion_percula
ENSAOCP00000030042	ENSAOCG00000020735	Amphiprion_ocellaris
ENSPMEP00000005486	ENSPMEG00000006861	Poecilia_mexicana
ENSHHUP00000059951	ENSHHUG00000035582	Hucho_hucho
ENSATEP00000025221	ENSATEG00000017506	Anabas_testudineus
ENSPRNP00000021291	ENSPRNG00000011027	Parambassis_ranga
ENSORLP00020020012	ENSORLG00020020996	Oryzias_latipes_ASM223471v1
ENSPREP00000015614	ENSPREG00000010544	Poecilia_reticulata
ENSNBRP00000028966	ENSNBRG00000022073	Neolamprologus_brichardi
ENSGAFP00000029620	ENSGAFG00000019973	Gambusia_affinis
ENSMALP00000013543	ENSMALG00000009577	Monopterus_albus
ENSSDUP00000000465	ENSSDUG00000000418	Seriola_dumerili
ENSEEEP00000051965	ENSEEEG00000024389	Electrophorus_electricus	ENSEEET00000052528
ENSORLP00000002171	ENSORLG00000001744	Oryzias_latipes_ASM223467v1
ENSXMAP00000038872	ENSXMAG00000025432	Xiphophorus_maculatus
ENSPFOP00000013508	ENSPFOG00000013500	Poecilia_formosa
ENSTRUP00000049751	ENSTRUG00000021595	Takifugu_rubripes
ENSCVAP00000007364	ENSCVAG00000009012	Cyprinodon_variegatus
ENSAMXP00000054006	ENSAMXG00000036925	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000054416
ENSGACP00000022786	ENSGACG00000017257	Gasterosteus_aculeatus
ENSMMOP00000001190	ENSMMOG00000001009	Mola_mola
ENSHHUP00000075757	ENSHHUG00000044364	Hucho_hucho
ENSSMAP00000023783	ENSSMAG00000014515	Scophthalmus_maximus
ENSORLP00015028121	ENSORLG00015010548	Oryzias_latipes_ASM223469v1
ENSPNYP00000016286	ENSPNYG00000012330	Pundamilia_nyererei
ENSAPOP00000004936	ENSAPOG00000006556	Acanthochromis_polyacanthus
ENSPNAP00000032062	ENSPNAG00000019780	Pygocentrus_nattereri
ENSSPAP00000011384	ENSSPAG00000008666	Stegastes_partitus
ENSLCAP00010035390	ENSLCAG00010016599	Lates_calcarifer
ENSAMXP00005009665	ENSAMXG00005005472	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCHAP00000029236	ENSCHAG00000014075	Clupea_harengus	ENSCHAT00000031774
ENSACIP00000015060	ENSACIG00000011701	Amphilophus_citrinellus
ENSMAMP00000030513	ENSMAMG00000020578	Mastacembelus_armatus
