ENSLAFP00000002611	ENSLAFG00000003139	Loxodonta_africana
ENSPCAP00000013691	ENSPCAG00000014696	Procavia_capensis
ENSETEP00000001333	ENSETEG00000001652	Echinops_telfairi
ENSDNOP00000031750	ENSDNOG00000047105	Dasypus_novemcinctus
ENSDNOP00000007424	ENSDNOG00000009594	Dasypus_novemcinctus
ENSDNOP00000018346	ENSDNOG00000041184	Dasypus_novemcinctus
ENSCHOP00000005759	ENSCHOG00000006510	Choloepus_hoffmanni
ENSBIXP00000010238	ENSBIXG00000015756	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005003068	ENSBIXG00005009287	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000000013	ENSBTAG00000000012	Bos_taurus
ENSBMUP00000035261	ENSBMUG00000026229	Bos_mutus
ENSBBBP00000016836	ENSBBBG00000006615	Bison_bison_bison
ENSCHIP00000022807	ENSCHIG00000020642	Capra_hircus
ENSOARP00000010039	ENSOARG00000009358	Ovis_aries
ENSTTRP00000010325	ENSTTRG00000010903	Tursiops_truncatus
ENSSSCP00000032794	ENSSSCG00000034966	Sus_scrofa_strain_reference
ENSMLUP00000010953	ENSMLUG00000012023	Myotis_lucifugus
ENSSARP00000001298	ENSSARG00000001439	Sorex_araneus
ENSEEUP00000003226	ENSEEUG00000003564	Erinaceus_europaeus
ENSVPAP00000002344	ENSVPAG00000002541	Vicugna_pacos
ENSPVAP00000010726	ENSPVAG00000011374	Pteropus_vampyrus
ENSEASP00005020232	ENSEASG00005013930	Equus_asinus_asinus
ENSECAP00000007840	ENSECAG00000009947	Equus_caballus
ENSUAMP00000010024	ENSUAMG00000008279	Ursus_americanus
ENSCAFP00000049820	ENSCAFG00000030661	Canis_lupus_familiaris
ENSUMAP00000010034	ENSUMAG00000007549	Ursus_maritimus
ENSAMEP00000016300	ENSAMEG00000015444	Ailuropoda_melanoleuca
ENSMPUP00000014677	ENSMPUG00000014786	Mustela_putorius_furo
ENSNVIP00000000711	ENSNVIG00000000624	Neovison_vison
ENSCAFP00020015161	ENSCAFG00020012202	Canis_lupus_dingo
ENSVVUP00000002734	ENSVVUG00000002174	Vulpes_vulpes
ENSPTIP00000019852	ENSPTIG00000017527	Panthera_tigris_altaica
ENSPPRP00000015820	ENSPPRG00000008311	Panthera_pardus
ENSFCAP00000013517	ENSFCAG00000014572	Felis_catus
ENSCCAP00000027166	ENSCCAG00000031390	Cebus_capucinus_imitator
ENSCJAP00000013767	ENSCJAG00000047411	Callithrix_jacchus
ENSSBOP00000019111	ENSSBOG00000026154	Saimiri_boliviensis_boliviensis
ENSANAP00000013110	ENSANAG00000024466	Aotus_nancymaae
ENSANAP00000036328	ENSANAG00000035677	Aotus_nancymaae
ENSCATP00000029600	ENSCATG00000038033	Cercocebus_atys
ENSPANP00000014767	ENSPANG00000008956	Papio_anubis
ENSMLEP00000013507	ENSMLEG00000030933	Mandrillus_leucophaeus
ENSMFAP00000001659	ENSMFAG00000045707	Macaca_fascicularis
ENSMNEP00000026542	ENSMNEG00000036709	Macaca_nemestrina
ENSRROP00000003868	ENSRROG00000015483	Rhinopithecus_roxellana
ENSRBIP00000031979	ENSRBIG00000039796	Rhinopithecus_bieti
ENSCANP00000022973	ENSCANG00000034906	Colobus_angolensis_palliatus
ENSPTRP00000028839	ENSPTRG00000016820	Pan_troglodytes
ENSPPAP00000022252	ENSPPAG00000034323	Pan_paniscus
ENSP00000338533	ENSG00000113638	Homo_sapiens
ENSPPYP00000017226	ENSPPYG00000015420	Pongo_abelii
ENSNLEP00000019979	ENSNLEG00000016461	Nomascus_leucogenys
ENSTSYP00000027772	ENSTSYG00000030893	Carlito_syrichta
ENSPCOP00000024917	ENSPCOG00000024676	Propithecus_coquereli
ENSPSMP00000010998	ENSPSMG00000007937	Prolemur_simus
ENSMICP00000039192	ENSMICG00000038292	Microcebus_murinus
ENSOGAP00000010689	ENSOGAG00000011946	Otolemur_garnettii
ENSTBEP00000006151	ENSTBEG00000007134	Tupaia_belangeri
ENSMICP00000043537	ENSMICG00000047886	Microcebus_murinus
ENSCCNP00000023604	ENSCCNG00000023177	Castor_canadensis
ENSDORP00000013332	ENSDORG00000014182	Dipodomys_ordii
ENSMUSP00000022751	ENSMUSG00000022151	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000038174	ENSMSIG00000031825	Mus_spicilegus
MGP_SPRETEiJ_P0039508	MGP_SPRETEiJ_G0020534	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0027260	MGP_PahariEiJ_G0016018	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000017666	ENSRNOG00000013217	Rattus_norvegicus
ENSMUGP00000026599	ENSMUGG00000022168	Meriones_unguiculatus
ENSCGRP00000015797	ENSCGRG00000011459	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015025115	ENSCGRG00015019071	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001020763	ENSCGRG00001019815	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000000178	ENSMAUG00000000173	Mesocricetus_auratus
ENSMOCP00000018138	ENSMOCG00000016527	Microtus_ochrogaster
ENSPEMP00000031350	ENSPEMG00000026792	Peromyscus_maniculatus_bairdii
ENSNGAP00000004343	ENSNGAG00000005682	Nannospalax_galili
ENSHGLP00000014855	ENSHGLG00000010606	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011416	ENSHGLG00100008479	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020497	ENSFDAG00000008399	Fukomys_damarensis
ENSCAPP00000015553	ENSCAPG00000015649	Cavia_aperea
ENSCPOP00000030936	ENSCPOG00000039296	Cavia_porcellus
ENSCLAP00000013044	ENSCLAG00000009002	Chinchilla_lanigera
ENSODEP00000003934	ENSODEG00000003010	Octodon_degus
ENSSDAP00000006158	ENSSDAG00000005710	Spermophilus_dauricus
ENSUPAP00010008067	ENSUPAG00010006499	Urocitellus_parryii
ENSSTOP00000022584	ENSSTOG00000025089	Ictidomys_tridecemlineatus
ENSMMMP00000020178	ENSMMMG00000017819	Marmota_marmota_marmota
ENSOCUP00000000774	ENSOCUG00000000896	Oryctolagus_cuniculus
ENSOPRP00000003333	ENSOPRG00000003634	Ochotona_princeps
ENSVURP00010002044	ENSVURG00010001701	Vombatus_ursinus
ENSPCIP00000045363	ENSPCIG00000032953	Phascolarctos_cinereus
ENSMEUP00000012438	ENSMEUG00000013641	Notamacropus_eugenii
ENSSHAP00000017057	ENSSHAG00000014498	Sarcophilus_harrisii
ENSMODP00000047582	ENSMODG00000049452	Monodelphis_domestica
ENSOANP00000008391	ENSOANG00000005276	Ornithorhynchus_anatinus
ENSCPGP00000016535	ENSCPGG00000011610	Calidris_pygmaea
ENSCPUP00000008178	ENSCPUG00000005893	Calidris_pugnax
ENSMUNP00000018113	ENSMUNG00000013860	Melopsittacus_undulatus
ENSLSDP00000012752	ENSLSDG00000009306	Lonchura_striata_domestica
ENSTGUP00000002239	ENSTGUG00000002171	Taeniopygia_guttata
ENSSCAP00000011111	ENSSCAG00000008384	Serinus_canaria
ENSPMJP00000021345	ENSPMJG00000015845	Parus_major
ENSCCEP00000017063	ENSCCEG00000015844	Cyanistes_caeruleus
ENSZALP00000009671	ENSZALG00000008277	Zonotrichia_albicollis
ENSFALP00000002095	ENSFALG00000002015	Ficedula_albicollis
ENSMVIP00005012279	ENSMVIG00005008960	Manacus_vitellinus
ENSLCOP00000015897	ENSLCOG00000011352	Lepidothrix_coronata
ENSGALP00000069099	ENSGALG00000014826	Gallus_gallus
ENSCJPP00005008938	ENSCJPG00005007920	Coturnix_japonica
ENSMGAP00000016323	ENSMGAG00000015382	Meleagris_gallopavo
ENSNMEP00000005919	ENSNMEG00000006099	Numida_meleagris
ENSAPLP00000012510	ENSAPLG00000012734	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000026342	ENSAHAG00000018342	Apteryx_haastii
ENSAOWP00000012430	ENSAOWG00000008509	Apteryx_owenii
ENSARWP00000011361	ENSARWG00000007888	Apteryx_rowi
ENSDNVP00000018795	ENSDNVG00000013140	Dromaius_novaehollandiae
ENSNPEP00000001787	ENSNPEG00000001356	Nothoprocta_perdicaria
ENSGAGP00000010501	ENSGAGG00000008217	Gopherus_agassizii
ENSCPBP00000009357	ENSCPBG00000007242	Chrysemys_picta_bellii
ENSPSIP00000014704	ENSPSIG00000013178	Pelodiscus_sinensis
ENSACAP00000010025	ENSACAG00000010230	Anolis_carolinensis
ENSPVIP00000014950	ENSPVIG00000011515	Pogona_vitticeps
ENSNSUP00000023033	ENSNSUG00000016691	Notechis_scutatus
ENSSMRP00000024348	ENSSMRG00000018876	Salvator_merianae
ENSSPUP00000019882	ENSSPUG00000015305	Sphenodon_punctatus
ENSSPUP00000019877	ENSSPUG00000015300	Sphenodon_punctatus
ENSNSUP00000023034	ENSNSUG00000016692	Notechis_scutatus
ENSCABP00000010872	ENSCABG00000008151	Chelonoidis_abingdonii
ENSXETP00000037093	ENSXETG00000013089	Xenopus_tropicalis
ENSCVAP00000004841	ENSCVAG00000006154	Cyprinodon_variegatus
ENSCHAP00000021533	ENSCHAG00000010820	Clupea_harengus
ENSFHEP00000001305	ENSFHEG00000002055	Fundulus_heteroclitus
ENSCVAP00000000388	ENSCVAG00000001292	Cyprinodon_variegatus
ENSXMAP00000034370	ENSXMAG00000025269	Xiphophorus_maculatus
ENSXCOP00000012841	ENSXCOG00000009707	Xiphophorus_couchianus
ENSGAFP00000020511	ENSGAFG00000013850	Gambusia_affinis
ENSPFOP00000015410	ENSPFOG00000015356	Poecilia_formosa
ENSPLAP00000008047	ENSPLAG00000010503	Poecilia_latipinna
ENSPMEP00000022456	ENSPMEG00000003373	Poecilia_mexicana
ENSPREP00000032119	ENSPREG00000021766	Poecilia_reticulata
ENSKMAP00000012350	ENSKMAG00000009290	Kryptolebias_marmoratus
ENSORLP00000033838	ENSORLG00000028324	Oryzias_latipes_ASM223467v1
ENSORLP00020027075	ENSORLG00020009875	Oryzias_latipes_ASM223471v1
ENSORLP00015032176	ENSORLG00015016844	Oryzias_latipes_ASM223469v1
ENSOMEP00000029073	ENSOMEG00000012491	Oryzias_melastigma
ENSPRNP00000004777	ENSPRNG00000002664	Parambassis_ranga
ENSGWIP00000023086	ENSGWIG00000012345	Gouania_willdenowi
ENSCSEP00000023373	ENSCSEG00000014913	Cynoglossus_semilaevis
ENSTRUP00000047209	ENSTRUG00000018440	Takifugu_rubripes
ENSTNIP00000010301	ENSTNIG00000007492	Tetraodon_nigroviridis
ENSMMOP00000005926	ENSMMOG00000004647	Mola_mola
ENSLCRP00005010007	ENSLCRG00005004619	Larimichthys_crocea
ENSLBEP00000033072	ENSLBEG00000024922	Labrus_bergylta
ENSCGOP00000019413	ENSCGOG00000009309	Cottoperca_gobio
ENSGACP00000021023	ENSGACG00000015928	Gasterosteus_aculeatus
ENSSDUP00000011445	ENSSDUG00000008348	Seriola_dumerili
ENSSLDP00000019621	ENSSLDG00000015394	Seriola_lalandi_dorsalis
ENSLCAP00010001561	ENSLCAG00010000909	Lates_calcarifer
ENSSMAP00000016941	ENSSMAG00000010404	Scophthalmus_maximus
ENSMALP00000016522	ENSMALG00000011588	Monopterus_albus
ENSMAMP00000027578	ENSMAMG00000018553	Mastacembelus_armatus
ENSATEP00000017447	ENSATEG00000012148	Anabas_testudineus
ENSATEP00000017515	ENSATEG00000012191	Anabas_testudineus
ENSBSLP00000015992	ENSBSLG00000008456	Betta_splendens
ENSAPEP00000032338	ENSAPEG00000022974	Amphiprion_percula
