ENSOPRP00000002235	ENSOPRG00000002392	Ochotona_princeps
ENSSPAP00000025546	ENSSPAG00000019292	Stegastes_partitus
ENSLCOP00000016271	ENSLCOG00000011601	Lepidothrix_coronata
ENSPNYP00000019382	ENSPNYG00000014624	Pundamilia_nyererei
ENSORLP00015028664	ENSORLG00015011382	Oryzias_latipes_ASM223469v1
ENSPPAP00000039414	ENSPPAG00000042414	Pan_paniscus
ENSHCOP00000000463	ENSHCOG00000001290	Hippocampus_comes
ENSPTRP00000082237	ENSPTRG00000019053	Pan_troglodytes
ENSCSAP00000010937	ENSCSAG00000014827	Chlorocebus_sabaeus
ENSMUGP00000029446	ENSMUGG00000023855	Meriones_unguiculatus
ENSPSMP00000024213	ENSPSMG00000016937	Prolemur_simus
ENSIPUP00000013241	ENSIPUG00000009033	Ictalurus_punctatus
ENSMUSP00000046601	ENSMUSG00000004347	Mus_musculus_strain_reference_(CL57BL6)
ENSXMAP00000024449	ENSXMAG00000017675	Xiphophorus_maculatus
ENSPNYP00000021757	ENSPNYG00000016423	Pundamilia_nyererei
ENSCHAP00000022064	ENSCHAG00000009694	Clupea_harengus
ENSLCAP00010020013	ENSLCAG00010009432	Lates_calcarifer
ENSLCAP00010037284	ENSLCAG00010017445	Lates_calcarifer
ENSABRP00000003408	ENSABRG00000003222	Anser_brachyrhynchus
ENSPMGP00000004012	ENSPMGG00000003429	Periophthalmus_magnuspinnatus
ENSPNYP00000005403	ENSPNYG00000004175	Pundamilia_nyererei
ENSBBBP00000010010	ENSBBBG00000004483	Bison_bison_bison
ENSAMXP00000050187	ENSAMXG00000001277	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000031282
ENSTRUP00000056864	ENSTRUG00000009342	Takifugu_rubripes
ENSCSEP00000014063	ENSCSEG00000009044	Cynoglossus_semilaevis
ENSLCAP00010003133	ENSLCAG00010001638	Lates_calcarifer
ENSCANP00000023764	ENSCANG00000035294	Colobus_angolensis_palliatus
ENSSFOP00015011274	ENSSFOG00015007283	Scleropages_formosus
ENSCPOP00000029278	ENSCPOG00000001982	Cavia_porcellus
ENSHBUP00000031989	ENSHBUG00000018006	Haplochromis_burtoni
ENSMMOP00000012876	ENSMMOG00000009901	Mola_mola
ENSSMAP00000027648	ENSSMAG00000016898	Scophthalmus_maximus
ENSTNIP00000017864	ENSTNIG00000014823	Tetraodon_nigroviridis
ENSGACP00000020708	ENSGACG00000015690	Gasterosteus_aculeatus
ENSAPLP00000018722	ENSAPLG00000008225	Anas_platyrhynchos_platyrhynchos
ENSCHAP00000046401	ENSCHAG00000021426	Clupea_harengus
ENSJJAP00000023673	ENSJJAG00000023334	Jaculus_jaculus
ENSMLEP00000024265	ENSMLEG00000036226	Mandrillus_leucophaeus
ENSSPAP00000027186	ENSSPAG00000020505	Stegastes_partitus
ENSORLP00015013242	ENSORLG00015014128	Oryzias_latipes_ASM223469v1
ENSXMAP00000039069	ENSXMAG00000016894	Xiphophorus_maculatus
ENSHCOP00000015576	ENSHCOG00000000634	Hippocampus_comes
ENSELUP00000015587	ENSELUG00000000573	Esox_lucius
