ENSGAGP00000001847	ENSGAGG00000001477	Gopherus_agassizii	ENSGAGT00000002100
ENSCABP00000030736	ENSCABG00000022472	Chelonoidis_abingdonii	ENSCABT00000033690
ENSCPBP00000036457	ENSCPBG00000025317	Chrysemys_picta_bellii
ENSPSIP00000012182	ENSPSIG00000010992	Pelodiscus_sinensis
ENSCPRP00005007852	ENSCPRG00005005588	Crocodylus_porosus
ENSPVIP00000026182	ENSPVIG00000019552	Pogona_vitticeps
ENSACAP00000001073	ENSACAG00000001040	Anolis_carolinensis
ENSNSUP00000024713	ENSNSUG00000017853	Notechis_scutatus
ENSSMRP00000020652	ENSSMRG00000016065	Salvator_merianae
ENSSPUP00000009578	ENSSPUG00000007427	Sphenodon_punctatus
ENSLSDP00000016211	ENSLSDG00000011687	Lonchura_striata_domestica
ENSTGUP00000001101	ENSTGUG00000001066	Taeniopygia_guttata
ENSSCAP00000000237	ENSSCAG00000000222	Serinus_canaria
ENSZALP00000013201	ENSZALG00000011016	Zonotrichia_albicollis
ENSPMJP00000011849	ENSPMJG00000009141	Parus_major
ENSCCEP00000009530	ENSCCEG00000009653	Cyanistes_caeruleus
ENSFALP00000004957	ENSFALG00000004766	Ficedula_albicollis
ENSMVIP00005028163	ENSMVIG00005019621	Manacus_vitellinus
ENSLCOP00000007098	ENSLCOG00000005231	Lepidothrix_coronata
ENSMUNP00000017105	ENSMUNG00000013149	Melopsittacus_undulatus
ENSCPGP00000019726	ENSCPGG00000013813	Calidris_pygmaea
ENSCPUP00000007147	ENSCPUG00000005151	Calidris_pugnax
ENSABRP00000001909	ENSABRG00000001931	Anser_brachyrhynchus
ENSAPLP00000008593	ENSAPLG00000008905	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005008659	ENSCJPG00005007725	Coturnix_japonica
ENSMGAP00000005706	ENSMGAG00000005770	Meleagris_gallopavo
ENSGALP00000067473	ENSGALG00000015111	Gallus_gallus
ENSNMEP00000012684	ENSNMEG00000011702	Numida_meleagris
ENSAOWP00000003633	ENSAOWG00000002570	Apteryx_owenii
ENSARWP00000012689	ENSARWG00000008783	Apteryx_rowi
ENSAHAP00000012485	ENSAHAG00000008991	Apteryx_haastii
ENSDNVP00000005696	ENSDNVG00000004092	Dromaius_novaehollandiae
