ENSSSCP00000019687	ENSSSCG00000021337	Sus_scrofa_strain_reference
ENSNVIP00000028198	ENSNVIG00000021776	Neovison_vison
ENSCCAP00000023712	ENSCCAG00000029651	Cebus_capucinus_imitator
ENSSBOP00000016839	ENSSBOG00000025088	Saimiri_boliviensis_boliviensis
ENSANAP00000013560	ENSANAG00000024692	Aotus_nancymaae
ENSTGEP00000032362	ENSTGEG00000025859	Theropithecus_gelada
ENSPANP00000000444	ENSPANG00000021343	Papio_anubis
ENSPTEP00000022582	ENSPTEG00000023493	Piliocolobus_tephrosceles
ENSNLEP00000032629	ENSNLEG00000031466	Nomascus_leucogenys
ENSP00000310515	ENSG00000175646	Homo_sapiens
ENSMICP00000045848	ENSMICG00000042651	Microcebus_murinus
ENSPSMP00000005742	ENSPSMG00000004371	Prolemur_simus
ENSOCUP00000016607	ENSOCUG00000021894	Oryctolagus_cuniculus
