ENSVVUP00000003765	ENSVVUG00000002954	Vulpes_vulpes
ENSUMAP00000018571	ENSUMAG00000013634	Ursus_maritimus
ENSNVIP00000030168	ENSNVIG00000023250	Neovison_vison
ENSMPUP00000003812	ENSMPUG00000003842	Mustela_putorius_furo
ENSPVIP00000022556	ENSPVIG00000017021	Pogona_vitticeps
ENSCLAP00000008837	ENSCLAG00000006175	Chinchilla_lanigera
ENSMODP00000056064	ENSMODG00000046351	Monodelphis_domestica
ENSNGAP00000021862	ENSNGAG00000020932	Nannospalax_galili
ENSMUNP00000008176	ENSMUNG00000006531	Melopsittacus_undulatus	ENSMUNT00000009448
ENSOARP00000020897	ENSOARG00000019456	Ovis_aries
ENSMUGP00000028559	ENSMUGG00000023668	Meriones_unguiculatus
ENSTSYP00000007117	ENSTSYG00000007773	Carlito_syrichta
ENSCGRP00015034476	ENSCGRG00015025955	Cricetulus_griseus_CriGri-PICR
ENSSPUP00000013113	ENSSPUG00000010101	Sphenodon_punctatus
ENSMMMP00000023758	ENSMMMG00000020809	Marmota_marmota_marmota
ENSANAP00000021044	ENSANAG00000028317	Aotus_nancymaae
ENSCMIP00000015023	ENSCMIG00000007375	Callorhinchus_milii
ENSCCAP00000026970	ENSCCAG00000031307	Cebus_capucinus_imitator
ENSP00000271331	ENSG00000143125	Homo_sapiens
ENSFCAP00000051226	ENSFCAG00000039739	Felis_catus
ENSPPRP00000017484	ENSPPRG00000009436	Panthera_pardus
ENSAOWP00000010189	ENSAOWG00000007019	Apteryx_owenii
ENSMLEP00000032300	ENSMLEG00000040384	Mandrillus_leucophaeus
ENSCMIP00000033211	ENSCMIG00000014181	Callorhinchus_milii
ENSPVAP00000002243	ENSPVAG00000002375	Pteropus_vampyrus
ENSHGLP00000014836	ENSHGLG00000010590	Heterocephalus_glaber_HetGla_female_1.0
ENSOGAP00000008240	ENSOGAG00000009197	Otolemur_garnettii
ENSOCUP00000010843	ENSOCUG00000012596	Oryctolagus_cuniculus
MGP_CAROLIEiJ_P0059830	MGP_CAROLIEiJ_G0025498	Mus_caroli_strain_CAROLI_EIJ
ENSMGAP00000001920	ENSMGAG00000002367	Meleagris_gallopavo
ENSSDAP00000013192	ENSSDAG00000011923	Spermophilus_dauricus
ENSBTAP00000013959	ENSBTAG00000010560	Bos_taurus
ENSCPBP00000002111	ENSCPBG00000001697	Chrysemys_picta_bellii
ENSSBOP00000025244	ENSSBOG00000029096	Saimiri_boliviensis_boliviensis
ENSAMEP00000012085	ENSAMEG00000011499	Ailuropoda_melanoleuca
ENSUAMP00000034961	ENSUAMG00000026564	Ursus_americanus
ENSLAFP00000026524	ENSLAFG00000028865	Loxodonta_africana
ENSNSUP00000021149	ENSNSUG00000015363	Notechis_scutatus
ENSCCNP00000009079	ENSCCNG00000009590	Castor_canadensis
ENSNPEP00000010740	ENSNPEG00000008083	Nothoprocta_perdicaria
ENSETEP00000014192	ENSETEG00000017477	Echinops_telfairi
ENSMVIP00005015721	ENSMVIG00005011299	Manacus_vitellinus	ENSMVIT00005017794
ENSBBBP00000000362	ENSBBBG00000009503	Bison_bison_bison
ENSCHIP00000003747	ENSCHIG00000007934	Capra_hircus
ENSPCIP00000048327	ENSPCIG00000035325	Phascolarctos_cinereus
ENSSSCP00000007257	ENSSSCG00000006805	Sus_scrofa_strain_reference
ENSCPOP00000031652	ENSCPOG00000039143	Cavia_porcellus
ENSVURP00010017045	ENSVURG00010013037	Vombatus_ursinus
ENSODEP00000007410	ENSODEG00000005529	Octodon_degus
ENSFDAP00000014706	ENSFDAG00000002109	Fukomys_damarensis
ENSGGOP00000008225	ENSGGOG00000008418	Gorilla_gorilla
ENSTTRP00000014904	ENSTTRG00000015729	Tursiops_truncatus
ENSMFAP00000013578	ENSMFAG00000029321	Macaca_fascicularis
