ENSOANP00000011726	ENSOANG00000007366	Ornithorhynchus_anatinus	ENSOANT00000011728
ENSOANP00000029800	ENSOANG00000029220	Ornithorhynchus_anatinus	ENSOANT00000039044
ENSVURP00010005446	ENSVURG00010004250	Vombatus_ursinus	ENSVURT00010006164
ENSPCIP00000021845	ENSPCIG00000016545	Phascolarctos_cinereus	ENSPCIT00000026940
ENSMEUP00000006584	ENSMEUG00000007207	Notamacropus_eugenii	ENSMEUT00000007231
ENSSHAP00000003489	ENSSHAG00000003066	Sarcophilus_harrisii	ENSSHAT00000003525
ENSMODP00000016082	ENSMODG00000012850	Monodelphis_domestica	ENSMODT00000016379
ENSCHOP00000008545	ENSCHOG00000009645	Choloepus_hoffmanni
ENSDNOP00000011052	ENSDNOG00000014223	Dasypus_novemcinctus
ENSLAFP00000024623	ENSLAFG00000009124	Loxodonta_africana
ENSPCAP00000015513	ENSPCAG00000016516	Procavia_capensis
ENSETEP00000002836	ENSETEG00000003461	Echinops_telfairi
ENSUMAP00000033576	ENSUMAG00000024186	Ursus_maritimus	ENSUMAT00000039722
ENSUAMP00000031672	ENSUAMG00000024251	Ursus_americanus	ENSUAMT00000035325
ENSAMEP00000010991	ENSAMEG00000010347	Ailuropoda_melanoleuca	ENSAMET00000011459
ENSNVIP00000010120	ENSNVIG00000007795	Neovison_vison	ENSNVIT00000011838
ENSMPUP00000000298	ENSMPUG00000000300	Mustela_putorius_furo
ENSCAFP00020012936	ENSCAFG00020010419	Canis_lupus_dingo
ENSCAFP00000014533	ENSCAFG00000009872	Canis_lupus_familiaris
ENSVVUP00000022748	ENSVVUG00000016676	Vulpes_vulpes
ENSPTIP00000005906	ENSPTIG00000007852	Panthera_tigris_altaica
ENSPPRP00000022828	ENSPPRG00000013262	Panthera_pardus
ENSFCAP00000034548	ENSFCAG00000030194	Felis_catus
ENSSSCP00000052817	ENSSSCG00000000789	Sus_scrofa_strain_reference
ENSVPAP00000008543	ENSVPAG00000009178	Vicugna_pacos
ENSCHIP00000016020	ENSCHIG00000016370	Capra_hircus
ENSOARP00000021350	ENSOARG00000019884	Ovis_aries
ENSBIXP00000017009	ENSBIXG00000021080	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005022744	ENSBIXG00005026041	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000042896	ENSBTAG00000020679	Bos_taurus
ENSBMUP00000027393	ENSBMUG00000020522	Bos_mutus
ENSBBBP00000021664	ENSBBBG00000015379	Bison_bison_bison
ENSTTRP00000007045	ENSTTRG00000007445	Tursiops_truncatus
ENSPVAP00000010483	ENSPVAG00000011120	Pteropus_vampyrus
ENSMLUP00000008357	ENSMLUG00000009145	Myotis_lucifugus
ENSEASP00005034411	ENSEASG00005023486	Equus_asinus_asinus
ENSECAP00000023369	ENSECAG00000011240	Equus_caballus
ENSSARP00000007850	ENSSARG00000008668	Sorex_araneus
