ENSCCAP00000017485	ENSCCAG00000026559	Cebus_capucinus_imitator	ENSCCAT00000034947
ENSCJAP00000021603	ENSCJAG00000011765	Callithrix_jacchus	ENSCJAT00000022836
ENSANAP00000023814	ENSANAG00000029658	Aotus_nancymaae	ENSANAT00000041729
ENSPTRP00000003713	ENSPTRG00000023216	Pan_troglodytes	ENSPTRT00000004025
ENSPPAP00000020433	ENSPPAG00000033440	Pan_paniscus	ENSPPAT00000043227
ENSP00000440365	ENSG00000196418	Homo_sapiens
ENSGGOP00000013498	ENSGGOG00000013838	Gorilla_gorilla
ENSPPYP00000000037	ENSPPYG00000000039	Pongo_abelii
ENSNLEP00000034043	ENSNLEG00000030331	Nomascus_leucogenys
ENSMFAP00000007180	ENSMFAG00000041032	Macaca_fascicularis
ENSMNEP00000041659	ENSMNEG00000043642	Macaca_nemestrina
ENSMMUP00000075154	ENSMMUG00000004566	Macaca_mulatta
ENSMLEP00000013554	ENSMLEG00000030951	Mandrillus_leucophaeus
ENSCATP00000023511	ENSCATG00000035310	Cercocebus_atys
ENSPANP00000031424	ENSPANG00000001152	Papio_anubis
ENSTGEP00000023226	ENSTGEG00000018805	Theropithecus_gelada
ENSPTEP00000002741	ENSPTEG00000003232	Piliocolobus_tephrosceles
ENSCANP00000022865	ENSCANG00000034866	Colobus_angolensis_palliatus
ENSRROP00000021215	ENSRROG00000034533	Rhinopithecus_roxellana
ENSRBIP00000039769	ENSRBIG00000043346	Rhinopithecus_bieti
