ENSFCAP00000056200	ENSFCAG00000006770	Felis_catus
ENSSARP00000003340	ENSSARG00000003714	Sorex_araneus
ENSANAP00000022216	ENSANAG00000028882	Aotus_nancymaae
ENSRROP00000013864	ENSRROG00000031155	Rhinopithecus_roxellana
ENSBMUP00000026172	ENSBMUG00000019638	Bos_mutus
ENSMUSP00000034737	ENSMUSG00000092622	Mus_musculus_strain_reference_(CL57BL6)
ENSPPAP00000042539	ENSPPAG00000043830	Pan_paniscus
ENSPCAP00000012881	ENSPCAG00000013829	Procavia_capensis	ENSPCAT00000013779
ENSBTAP00000070542	ENSBTAG00000034925	Bos_taurus
ENSSARP00000011058	ENSSARG00000012250	Sorex_araneus
ENSSDAP00000007777	ENSSDAG00000007118	Spermophilus_dauricus	ENSSDAT00000008858
ENSMNEP00000030939	ENSMNEG00000038910	Macaca_nemestrina
ENSDNOP00000022901	ENSDNOG00000037910	Dasypus_novemcinctus
ENSSBOP00000019790	ENSSBOG00000026496	Saimiri_boliviensis_boliviensis
ENSPEMP00000035728	ENSPEMG00000024522	Peromyscus_maniculatus_bairdii
MGP_PahariEiJ_P0024308	MGP_PahariEiJ_G0015293	Mus_pahari_strain_PAHARI_EIJ
MGP_PahariEiJ_P0024309	MGP_PahariEiJ_G0015294	Mus_pahari_strain_PAHARI_EIJ
ENSCJAP00000077645	ENSCJAG00000063524	Callithrix_jacchus
ENSLAFP00000010659	ENSLAFG00000012747	Loxodonta_africana	ENSLAFT00000012748
ENSNLEP00000001416	ENSNLEG00000001200	Nomascus_leucogenys
ENSDNOP00000032680	ENSDNOG00000048618	Dasypus_novemcinctus
ENSOGAP00000014939	ENSOGAG00000016691	Otolemur_garnettii
ENSBIXP00005011217	ENSBIXG00005015694	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCATP00000019005	ENSCATG00000033310	Cercocebus_atys
ENSTTRP00000001402	ENSTTRG00000001486	Tursiops_truncatus
ENSPCOP00000000438	ENSPCOG00000001262	Propithecus_coquereli
ENSANAP00000036359	ENSANAG00000035691	Aotus_nancymaae
ENSMUGP00000014203	ENSMUGG00000012304	Meriones_unguiculatus
ENSPTRP00000049914	ENSPTRG00000029546	Pan_troglodytes
ENSRNOP00000074731	ENSRNOG00000054460	Rattus_norvegicus
ENSAMEP00000008299	ENSAMEG00000007887	Ailuropoda_melanoleuca
ENSOARP00000011792	ENSOARG00000010996	Ovis_aries
ENSLAFP00000023098	ENSLAFG00000029192	Loxodonta_africana	ENSLAFT00000036946
ENSCCNP00000004623	ENSCCNG00000004940	Castor_canadensis
ENSMLUP00000004069	ENSMLUG00000004469	Myotis_lucifugus
ENSMMMP00000003210	ENSMMMG00000002931	Marmota_marmota_marmota
ENSP00000359392	ENSG00000203908	Homo_sapiens
ENSVVUP00000042523	ENSVVUG00000030193	Vulpes_vulpes
ENSCANP00000023811	ENSCANG00000035315	Colobus_angolensis_palliatus
ENSOCUP00000012453	ENSOCUG00000014488	Oryctolagus_cuniculus
ENSBIXP00000032411	ENSBIXG00000014982	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCJAP00000018291	ENSCJAG00000009947	Callithrix_jacchus
ENSMPUP00000004330	ENSMPUG00000004363	Mustela_putorius_furo
ENSPTEP00000025545	ENSPTEG00000025829	Piliocolobus_tephrosceles
ENSTGEP00000015843	ENSTGEG00000012797	Theropithecus_gelada
ENSRBIP00000025688	ENSRBIG00000036722	Rhinopithecus_bieti
ENSPTEP00000028794	ENSPTEG00000028338	Piliocolobus_tephrosceles
ENSMSIP00000036005	ENSMSIG00000029967	Mus_spicilegus
ENSPANP00000015996	ENSPANG00000020317	Papio_anubis
ENSCSAP00000010065	ENSCSAG00000013920	Chlorocebus_sabaeus
ENSNVIP00000019453	ENSNVIG00000015247	Neovison_vison
ENSPTIP00000019146	ENSPTIG00000017035	Panthera_tigris_altaica
ENSPTEP00000013745	ENSPTEG00000015367	Piliocolobus_tephrosceles
MGP_CAROLIEiJ_P0088677	MGP_CAROLIEiJ_G0032429	Mus_caroli_strain_CAROLI_EIJ
MGP_CAROLIEiJ_P0088678	MGP_CAROLIEiJ_G0032430	Mus_caroli_strain_CAROLI_EIJ
ENSVPAP00000007520	ENSVPAG00000008082	Vicugna_pacos
ENSPPRP00000027100	ENSPPRG00000018331	Panthera_pardus
ENSUAMP00000016190	ENSUAMG00000012905	Ursus_americanus
ENSMICP00000043153	ENSMICG00000045560	Microcebus_murinus
MGP_SPRETEiJ_P0092312	MGP_SPRETEiJ_G0033568	Mus_spretus_strain_SPRET/EiJ
MGP_SPRETEiJ_P0092310	MGP_SPRETEiJ_G0033567	Mus_spretus_strain_SPRET/EiJ
ENSPPYP00000018770	ENSPPYG00000016772	Pongo_abelii
ENSOCUP00000044444	ENSOCUG00000035410	Oryctolagus_cuniculus
ENSCAFP00000042815	ENSCAFG00000029827	Canis_lupus_familiaris
ENSPEMP00000034664	ENSPEMG00000030185	Peromyscus_maniculatus_bairdii
ENSPTRP00000074020	ENSPTRG00000050983	Pan_troglodytes
ENSSSCP00000004627	ENSSSCG00000004284	Sus_scrofa_strain_reference
ENSUPAP00010016170	ENSUPAG00010012908	Urocitellus_parryii
ENSPSMP00000005651	ENSPSMG00000004291	Prolemur_simus
ENSOPRP00000012363	ENSOPRG00000013565	Ochotona_princeps
ENSBBBP00000019028	ENSBBBG00000012203	Bison_bison_bison
ENSUMAP00000016716	ENSUMAG00000012278	Ursus_maritimus
ENSVVUP00000015176	ENSVVUG00000011137	Vulpes_vulpes
ENSCCAP00000034870	ENSCCAG00000035374	Cebus_capucinus_imitator
ENSGGOP00000007606	ENSGGOG00000007778	Gorilla_gorilla
ENSMMUP00000013185	ENSMMUG00000010084	Macaca_mulatta
ENSCAFP00020012443	ENSCAFG00020010020	Canis_lupus_dingo
ENSMFAP00000035276	ENSMFAG00000041622	Macaca_fascicularis
ENSMLEP00000000929	ENSMLEG00000003534	Mandrillus_leucophaeus
ENSPVAP00000011990	ENSPVAG00000012714	Pteropus_vampyrus
ENSCHIP00000023442	ENSCHIG00000021014	Capra_hircus
ENSCANP00000017346	ENSCANG00000032135	Colobus_angolensis_palliatus
ENSVVUP00000018875	ENSVVUG00000013898	Vulpes_vulpes
ENSMOCP00000006368	ENSMOCG00000006005	Microtus_ochrogaster
ENSCCAP00000015623	ENSCCAG00000025605	Cebus_capucinus_imitator
ENSMUSP00000134473	ENSMUSG00000092310	Mus_musculus_strain_reference_(CL57BL6)
