ENSEBUP00000023148	ENSEBUG00000014260	Eptatretus_burgeri
ENSPMAP00000008395	ENSPMAG00000007611	Petromyzon_marinus
ENSGALP00000043879	ENSGALG00000035478	Gallus_gallus
ENSCJPP00005006318	ENSCJPG00005005939	Coturnix_japonica
ENSMGAP00000013325	ENSMGAG00000012639	Meleagris_gallopavo
ENSNMEP00000008647	ENSNMEG00000008424	Numida_meleagris
ENSAPLP00000026040	ENSAPLG00000005727	Anas_platyrhynchos_platyrhynchos
ENSABRP00000010859	ENSABRG00000009772	Anser_brachyrhynchus
ENSMVIP00005017520	ENSMVIG00005012506	Manacus_vitellinus
ENSLCOP00000014292	ENSLCOG00000010257	Lepidothrix_coronata
ENSJHYP00000011494	ENSJHYG00000008968	Junco_hyemalis
ENSZALP00000018020	ENSZALG00000014488	Zonotrichia_albicollis
ENSFALP00000002592	ENSFALG00000002488	Ficedula_albicollis
ENSPMJP00000014867	ENSPMJG00000011278	Parus_major
ENSCCEP00000008218	ENSCCEG00000008530	Cyanistes_caeruleus
ENSLSDP00000004315	ENSLSDG00000003371	Lonchura_striata_domestica
ENSTGUP00000012824	ENSTGUG00000012458	Taeniopygia_guttata
ENSSCAP00000009765	ENSSCAG00000007432	Serinus_canaria
ENSMUNP00000022239	ENSMUNG00000016724	Melopsittacus_undulatus
ENSCPGP00000011787	ENSCPGG00000008414	Calidris_pygmaea
ENSCPUP00000012077	ENSCPUG00000007807	Calidris_pugnax
ENSAHAP00000014613	ENSAHAG00000010532	Apteryx_haastii
ENSAOWP00000010919	ENSAOWG00000007523	Apteryx_owenii
ENSARWP00000021012	ENSARWG00000014364	Apteryx_rowi
ENSDNVP00000011650	ENSDNVG00000008210	Dromaius_novaehollandiae
ENSNPEP00000010289	ENSNPEG00000007720	Nothoprocta_perdicaria
ENSCPRP00005012535	ENSCPRG00005008894	Crocodylus_porosus
ENSGAGP00000034918	ENSGAGG00000024826	Gopherus_agassizii
ENSCABP00000006405	ENSCABG00000004556	Chelonoidis_abingdonii
ENSCPBP00000029275	ENSCPBG00000020634	Chrysemys_picta_bellii
ENSPSIP00000005049	ENSPSIG00000004677	Pelodiscus_sinensis
ENSPVIP00000024365	ENSPVIG00000018340	Pogona_vitticeps
ENSACAP00000009742	ENSACAG00000009912	Anolis_carolinensis
ENSNSUP00000003863	ENSNSUG00000001952	Notechis_scutatus
ENSSMRP00000027914	ENSSMRG00000021493	Salvator_merianae
ENSSPUP00000002180	ENSSPUG00000001630	Sphenodon_punctatus
ENSUMAP00000030813	ENSUMAG00000022261	Ursus_maritimus
ENSUAMP00000028065	ENSUAMG00000021687	Ursus_americanus
ENSAMEP00000011891	ENSAMEG00000011245	Ailuropoda_melanoleuca
ENSNVIP00000002524	ENSNVIG00000001917	Neovison_vison
ENSMPUP00000001177	ENSMPUG00000001188	Mustela_putorius_furo
ENSCAFP00000001461	ENSCAFG00000001027	Canis_lupus_familiaris
ENSCAFP00020007922	ENSCAFG00020006361	Canis_lupus_dingo
ENSVVUP00000022217	ENSVVUG00000016295	Vulpes_vulpes
ENSPPRP00000000933	ENSPPRG00000024483	Panthera_pardus
ENSPTIP00000009750	ENSPTIG00000010710	Panthera_tigris_altaica
ENSFCAP00000009721	ENSFCAG00000010472	Felis_catus
ENSECAP00000009509	ENSECAG00000011491	Equus_caballus
ENSEASP00005032856	ENSEASG00005022462	Equus_asinus_asinus
ENSPVAP00000012491	ENSPVAG00000013245	Pteropus_vampyrus
ENSMLUP00000001326	ENSMLUG00000001436	Myotis_lucifugus
ENSBIXP00000011707	ENSBIXG00000016916	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005043747	ENSBIXG00005027516	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000006615	ENSBTAG00000005025	Bos_taurus
ENSBMUP00000013506	ENSBMUG00000010299	Bos_mutus
ENSBBBP00000011707	ENSBBBG00000005182	Bison_bison_bison
ENSCHIP00000004877	ENSCHIG00000009014	Capra_hircus
ENSOARP00000010341	ENSOARG00000009635	Ovis_aries
ENSTTRP00000005193	ENSTTRG00000005498	Tursiops_truncatus
ENSSSCP00000032614	ENSSSCG00000024424	Sus_scrofa_strain_reference
ENSVPAP00000009346	ENSVPAG00000010044	Vicugna_pacos
ENSEEUP00000001862	ENSEEUG00000002038	Erinaceus_europaeus
ENSSARP00000009037	ENSSARG00000009990	Sorex_araneus
ENSCLAP00000000949	ENSCLAG00000000735	Chinchilla_lanigera
ENSODEP00000005195	ENSODEG00000003936	Octodon_degus
ENSCPOP00000008972	ENSCPOG00000009997	Cavia_porcellus
ENSCAPP00000000070	ENSCAPG00000000059	Cavia_aperea
ENSHGLP00000011098	ENSHGLG00000007964	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007065	ENSHGLG00100005300	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000024993	ENSHGLG00000017811	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010491	ENSHGLG00100007799	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100002241	ENSHGLG00100001747	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000001532	ENSHGLG00000001173	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000000256	ENSHGLG00000000260	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003238	ENSHGLG00100002470	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000000252	ENSFDAG00000010565	Fukomys_damarensis
ENSUPAP00010011228	ENSUPAG00010009049	Urocitellus_parryii
ENSSDAP00000022516	ENSSDAG00000020461	Spermophilus_dauricus
ENSSTOP00000001631	ENSSTOG00000001827	Ictidomys_tridecemlineatus
ENSMMMP00000001764	ENSMMMG00000001596	Marmota_marmota_marmota
ENSCCNP00000018392	ENSCCNG00000018628	Castor_canadensis
ENSDORP00000020447	ENSDORG00000002866	Dipodomys_ordii
ENSMUSP00000036524	ENSMUSG00000037119	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000018285	ENSMSIG00000015533	Mus_spicilegus
MGP_SPRETEiJ_P0040066	MGP_SPRETEiJ_G0020713	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0038275	MGP_CAROLIEiJ_G0019816	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0041649	MGP_PahariEiJ_G0019826	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000011797	ENSRNOG00000008271	Rattus_norvegicus
ENSMUGP00000022670	ENSMUGG00000018923	Meriones_unguiculatus
ENSCGRP00015008958	ENSCGRG00015006863	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001006631	ENSCGRG00001008983	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000011601	ENSPEMG00000012197	Peromyscus_maniculatus_bairdii
ENSMOCP00000019775	ENSMOCG00000017662	Microtus_ochrogaster
ENSNGAP00000020306	ENSNGAG00000019826	Nannospalax_galili
ENSJJAP00000015693	ENSJJAG00000017783	Jaculus_jaculus
ENSMICP00000038481	ENSMICG00000016546	Microcebus_murinus
ENSPSMP00000031714	ENSPSMG00000021996	Prolemur_simus
ENSPCOP00000007955	ENSPCOG00000015240	Propithecus_coquereli
ENSOGAP00000014188	ENSOGAG00000015837	Otolemur_garnettii
ENSPTRP00000035166	ENSPTRG00000020560	Pan_troglodytes
ENSPPAP00000016524	ENSPPAG00000031358	Pan_paniscus
ENSP00000335082	ENSG00000176853	Homo_sapiens
ENSGGOP00000011001	ENSGGOG00000011268	Gorilla_gorilla
ENSNLEP00000006555	ENSNLEG00000005385	Nomascus_leucogenys
ENSPTRP00000073149	ENSPTRG00000051930	Pan_troglodytes
ENSPPAP00000020759	ENSPPAG00000033589	Pan_paniscus
ENSPPYP00000021161	ENSPPYG00000018860	Pongo_abelii
ENSPTRP00000086147	ENSPTRG00000046494	Pan_troglodytes
ENSPPAP00000023401	ENSPPAG00000034850	Pan_paniscus
ENSGGOP00000030839	ENSGGOG00000041997	Gorilla_gorilla
ENSNLEP00000043459	ENSNLEG00000033645	Nomascus_leucogenys
ENSRROP00000029751	ENSRROG00000038666	Rhinopithecus_roxellana
ENSRBIP00000030813	ENSRBIG00000039235	Rhinopithecus_bieti
ENSPTEP00000033665	ENSPTEG00000032097	Piliocolobus_tephrosceles
ENSMLEP00000003027	ENSMLEG00000012725	Mandrillus_leucophaeus
ENSCATP00000045196	ENSCATG00000045013	Cercocebus_atys
ENSTGEP00000011774	ENSTGEG00000009583	Theropithecus_gelada
ENSMMUP00000050734	ENSMMUG00000019646	Macaca_mulatta
ENSCSAP00000006637	ENSCSAG00000010470	Chlorocebus_sabaeus
ENSMNEP00000014920	ENSMNEG00000031470	Macaca_nemestrina
ENSMFAP00000045051	ENSMFAG00000000206	Macaca_fascicularis
ENSPANP00000033796	ENSPANG00000024994	Papio_anubis
ENSCANP00000028910	ENSCANG00000037878	Colobus_angolensis_palliatus
ENSNLEP00000036867	ENSNLEG00000034663	Nomascus_leucogenys
ENSNLEP00000047828	ENSNLEG00000033202	Nomascus_leucogenys
ENSMFAP00000020973	ENSMFAG00000033357	Macaca_fascicularis
ENSMNEP00000021068	ENSMNEG00000034285	Macaca_nemestrina
ENSMLEP00000011770	ENSMLEG00000030019	Mandrillus_leucophaeus
ENSCATP00000034570	ENSCATG00000040171	Cercocebus_atys
ENSPANP00000034689	ENSPANG00000032126	Papio_anubis
ENSCCAP00000027916	ENSCCAG00000031680	Cebus_capucinus_imitator
ENSCCAP00000040282	ENSCCAG00000037949	Cebus_capucinus_imitator
ENSCJAP00000050723	ENSCJAG00000000803	Callithrix_jacchus
ENSSBOP00000027989	ENSSBOG00000030311	Saimiri_boliviensis_boliviensis
ENSANAP00000029440	ENSANAG00000032395	Aotus_nancymaae
ENSOCUP00000010150	ENSOCUG00000011804	Oryctolagus_cuniculus
ENSOPRP00000007365	ENSOPRG00000008039	Ochotona_princeps
ENSTSYP00000034785	ENSTSYG00000031973	Carlito_syrichta
ENSTSYP00000021300	ENSTSYG00000034323	Carlito_syrichta
ENSTSYP00000004088	ENSTSYG00000004376	Carlito_syrichta
ENSTBEP00000003530	ENSTBEG00000004066	Tupaia_belangeri
ENSDNOP00000032697	ENSDNOG00000031614	Dasypus_novemcinctus
ENSCHOP00000001618	ENSCHOG00000001834	Choloepus_hoffmanni
ENSLAFP00000007020	ENSLAFG00000008368	Loxodonta_africana
ENSPCAP00000015364	ENSPCAG00000016367	Procavia_capensis
ENSETEP00000015659	ENSETEG00000019275	Echinops_telfairi
ENSPCIP00000018351	ENSPCIG00000014043	Phascolarctos_cinereus
ENSVURP00010021381	ENSVURG00010016363	Vombatus_ursinus
ENSMEUP00000001122	ENSMEUG00000001200	Notamacropus_eugenii
ENSSHAP00000018214	ENSSHAG00000015463	Sarcophilus_harrisii
ENSMODP00000002346	ENSMODG00000001919	Monodelphis_domestica
ENSOANP00000022218	ENSOANG00000014085	Ornithorhynchus_anatinus
ENSXETP00000031053	ENSXETG00000011874	Xenopus_tropicalis
ENSLACP00000010019	ENSLACG00000008831	Latimeria_chalumnae
ENSSFOP00015005861	ENSSFOG00015003774	Scleropages_formosus
ENSPKIP00000022059	ENSPKIG00000006126	Paramormyrops_kingsleyae
ENSAMXP00000033406	ENSAMXG00000011430	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005030684	ENSAMXG00005014958	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000026547	ENSPNAG00000011907	Pygocentrus_nattereri
ENSIPUP00000018822	ENSIPUG00000012746	Ictalurus_punctatus
ENSEEEP00000017991	ENSEEEG00000008865	Electrophorus_electricus
ENSDARP00000008437	ENSDARG00000003320	Danio_rerio
ENSCHAP00000014714	ENSCHAG00000007774	Clupea_harengus
ENSDCDP00000035684	ENSDCDG00000023896	Denticeps_clupeoides
ENSGACP00000006764	ENSGACG00000005113	Gasterosteus_aculeatus
ENSGWIP00000009033	ENSGWIG00000005400	Gouania_willdenowi
ENSCSEP00000028567	ENSCSEG00000018287	Cynoglossus_semilaevis
ENSLCAP00010013344	ENSLCAG00010006280	Lates_calcarifer
ENSSMAP00000014689	ENSSMAG00000008966	Scophthalmus_maximus
ENSSDUP00000013887	ENSSDUG00000010053	Seriola_dumerili
ENSSLDP00000014334	ENSSLDG00000011415	Seriola_lalandi_dorsalis
ENSMAMP00000018937	ENSMAMG00000012723	Mastacembelus_armatus
ENSMALP00000021023	ENSMALG00000014667	Monopterus_albus
ENSATEP00000021019	ENSATEG00000014575	Anabas_testudineus
ENSBSLP00000023334	ENSBSLG00000010874	Betta_splendens
ENSCGOP00000054363	ENSCGOG00000023633	Cottoperca_gobio
ENSLBEP00000004959	ENSLBEG00000003780	Labrus_bergylta
ENSLCRP00005048611	ENSLCRG00005018352	Larimichthys_crocea
ENSMMOP00000025161	ENSMMOG00000019113	Mola_mola
ENSAPEP00000018303	ENSAPEG00000013030	Amphiprion_percula
ENSAOCP00000022382	ENSAOCG00000007865	Amphiprion_ocellaris
ENSAPOP00000016650	ENSAPOG00000019873	Acanthochromis_polyacanthus
