ENSBSLP00000029840	ENSBSLG00000014855	Betta_splendens
ENSGWIP00000026958	ENSGWIG00000014140	Gouania_willdenowi
ENSMALP00000015757	ENSMALG00000011058	Monopterus_albus	ENSMALT00000016071
ENSATEP00000010474	ENSATEG00000007388	Anabas_testudineus	ENSATET00000010657
ENSAOCP00000004840	ENSAOCG00000008267	Amphiprion_ocellaris
ENSAPEP00000027096	ENSAPEG00000019262	Amphiprion_percula
ENSHBUP00000018071	ENSHBUG00000020145	Haplochromis_burtoni
ENSMZEP00005008002	ENSMZEG00005006102	Maylandia_zebra
ENSACLP00000028807	ENSACLG00000019541	Astatotilapia_calliptera
ENSPNYP00000008928	ENSPNYG00000006795	Pundamilia_nyererei
ENSACIP00000029098	ENSACIG00000022534	Amphilophus_citrinellus
ENSXMAP00000040711	ENSXMAG00000029913	Xiphophorus_maculatus
ENSXCOP00000017513	ENSXCOG00000013201	Xiphophorus_couchianus
ENSPREP00000002075	ENSPREG00000001537	Poecilia_reticulata
ENSOMEP00000013057	ENSOMEG00000014507	Oryzias_melastigma
ENSSLDP00000016507	ENSSLDG00000013096	Seriola_lalandi_dorsalis
ENSPMGP00000013620	ENSPMGG00000011191	Periophthalmus_magnuspinnatus
ENSTRUP00000032018	ENSTRUG00000021785	Takifugu_rubripes
ENSAMXP00005038349	ENSAMXG00005018184	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPKIP00000030502	ENSPKIG00000011345	Paramormyrops_kingsleyae
