ENSHGLP00100003260	ENSHGLG00100002489	Heterocephalus_glaber_HetGla_1.0
ENSVPAP00000010361	ENSVPAG00000011128	Vicugna_pacos
ENSPANP00000005716	ENSPANG00000012834	Papio_anubis
ENSTSYP00000010884	ENSTSYG00000011895	Carlito_syrichta
ENSHGLP00000026231	ENSHGLG00000018668	Heterocephalus_glaber_HetGla_female_1.0
ENSPSMP00000024103	ENSPSMG00000017001	Prolemur_simus
ENSANAP00000016142	ENSANAG00000025941	Aotus_nancymaae
ENSCAFP00020004236	ENSCAFG00020003499	Canis_lupus_dingo
ENSMEUP00000011519	ENSMEUG00000012638	Notamacropus_eugenii
ENSMNEP00000002266	ENSMNEG00000010449	Macaca_nemestrina
ENSCATP00000024802	ENSCATG00000035914	Cercocebus_atys
ENSPTEP00000041286	ENSPTEG00000037858	Piliocolobus_tephrosceles
ENSCSAP00000011136	ENSCSAG00000015030	Chlorocebus_sabaeus
ENSMAUP00000014277	ENSMAUG00000014089	Mesocricetus_auratus
ENSSBOP00000013774	ENSSBOG00000023656	Saimiri_boliviensis_boliviensis
ENSPTIP00000014672	ENSPTIG00000014023	Panthera_tigris_altaica
ENSSTOP00000005249	ENSSTOG00000005875	Ictidomys_tridecemlineatus
ENSBBBP00000003164	ENSBBBG00000012236	Bison_bison_bison
ENSRNOP00000026067	ENSRNOG00000019267	Rattus_norvegicus
ENSETEP00000002160	ENSETEG00000002649	Echinops_telfairi
ENSGGOP00000015396	ENSGGOG00000015784	Gorilla_gorilla
ENSJJAP00000010697	ENSJJAG00000014214	Jaculus_jaculus
ENSP00000220812	ENSG00000104371	Homo_sapiens
ENSBIXP00000003782	ENSBIXG00000010170	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNVIP00000011000	ENSNVIG00000008723	Neovison_vison
ENSCMIP00000030146	ENSCMIG00000012997	Callorhinchus_milii
ENSLAFP00000002238	ENSLAFG00000002675	Loxodonta_africana
ENSPCOP00000019461	ENSPCOG00000021679	Propithecus_coquereli
ENSRBIP00000023209	ENSRBIG00000035528	Rhinopithecus_bieti
ENSMODP00000012746	ENSMODG00000010183	Monodelphis_domestica
ENSCGRP00001019584	ENSCGRG00001018975	Cricetulus_griseus_CHOK1GS_HDv1
ENSTGEP00000015376	ENSTGEG00000012450	Theropithecus_gelada
ENSCPOP00000016888	ENSCPOG00000021700	Cavia_porcellus
ENSODEP00000008464	ENSODEG00000006319	Octodon_degus
ENSEEUP00000012502	ENSEEUG00000013724	Erinaceus_europaeus
ENSMPUP00000012620	ENSMPUG00000012714	Mustela_putorius_furo
ENSECAP00000022979	ENSECAG00000026855	Equus_caballus
ENSUMAP00000035565	ENSUMAG00000025563	Ursus_maritimus
ENSDORP00000002279	ENSDORG00000002426	Dipodomys_ordii
ENSMLEP00000015033	ENSMLEG00000031688	Mandrillus_leucophaeus
ENSLACP00000016408	ENSLACG00000014455	Latimeria_chalumnae
ENSSPUP00000005649	ENSSPUG00000004357	Sphenodon_punctatus	ENSSPUT00000006007
ENSSSCP00000007491	ENSSSCG00000007029	Sus_scrofa_strain_reference
ENSMSIP00000026387	ENSMSIG00000022292	Mus_spicilegus
ENSCPRP00005000593	ENSCPRG00005000482	Crocodylus_porosus
ENSNLEP00000015645	ENSNLEG00000012886	Nomascus_leucogenys
ENSGAGP00000012495	ENSGAGG00000009604	Gopherus_agassizii	ENSGAGT00000014321
MGP_CAROLIEiJ_P0083948	MGP_CAROLIEiJ_G0030900	Mus_caroli_strain_CAROLI_EIJ
ENSCANP00000008029	ENSCANG00000026443	Colobus_angolensis_palliatus
ENSPEMP00000000723	ENSPEMG00000000525	Peromyscus_maniculatus_bairdii
ENSFDAP00000005629	ENSFDAG00000014587	Fukomys_damarensis
ENSPVAP00000013967	ENSPVAG00000014820	Pteropus_vampyrus
ENSEASP00005018197	ENSEASG00005012559	Equus_asinus_asinus
ENSPSIP00000005190	ENSPSIG00000004849	Pelodiscus_sinensis
ENSTBEP00000005954	ENSTBEG00000006910	Tupaia_belangeri
ENSPPYP00000020807	ENSPPYG00000018553	Pongo_abelii
ENSDNOP00000005521	ENSDNOG00000007141	Dasypus_novemcinctus
ENSMUSP00000033936	ENSMUSG00000031535	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0046839	MGP_PahariEiJ_G0021368	Mus_pahari_strain_PAHARI_EIJ
ENSOGAP00000014466	ENSOGAG00000016159	Otolemur_garnettii
ENSAMEP00000005416	ENSAMEG00000005128	Ailuropoda_melanoleuca
ENSMMMP00000005021	ENSMMMG00000004584	Marmota_marmota_marmota
ENSOARP00000003573	ENSOARG00000003350	Ovis_aries
ENSMFAP00000002706	ENSMFAG00000034088	Macaca_fascicularis
ENSPTRP00000034605	ENSPTRG00000020204	Pan_troglodytes
ENSVURP00010011648	ENSVURG00010009013	Vombatus_ursinus
