ENSPCAP00000005682	ENSPCAG00000006055	Procavia_capensis
ENSLAFP00000025146	ENSLAFG00000022913	Loxodonta_africana
ENSETEP00000005577	ENSETEG00000006872	Echinops_telfairi
ENSDNOP00000009233	ENSDNOG00000011897	Dasypus_novemcinctus
ENSPSMP00000026490	ENSPSMG00000018601	Prolemur_simus	ENSPSMT00000030678
ENSMICP00000026545	ENSMICG00000000926	Microcebus_murinus	ENSMICT00000055021
ENSPCOP00000030578	ENSPCOG00000028012	Propithecus_coquereli	ENSPCOT00000041526
ENSOGAP00000003560	ENSOGAG00000003996	Otolemur_garnettii	ENSOGAT00000004000
ENSPPAP00000015165	ENSPPAG00000030717	Pan_paniscus	ENSPPAT00000037854
ENSPTRP00000030814	ENSPTRG00000018042	Pan_troglodytes	ENSPTRT00000033351
ENSP00000420211	ENSG00000237441	Homo_sapiens
ENSGGOP00000025458	ENSGGOG00000006585	Gorilla_gorilla
ENSPPYP00000019335	ENSPPYG00000017247	Pongo_abelii
ENSNLEP00000040039	ENSNLEG00000006847	Nomascus_leucogenys
ENSCANP00000039898	ENSCANG00000043626	Colobus_angolensis_palliatus
ENSPTEP00000022792	ENSPTEG00000023652	Piliocolobus_tephrosceles
ENSRROP00000001459	ENSRROG00000005813	Rhinopithecus_roxellana
ENSCATP00000014320	ENSCATG00000031205	Cercocebus_atys
ENSMLEP00000029440	ENSMLEG00000038903	Mandrillus_leucophaeus
ENSPANP00000012422	ENSPANG00000023572	Papio_anubis
ENSMFAP00000044516	ENSMFAG00000039597	Macaca_fascicularis
ENSMNEP00000031274	ENSMNEG00000039053	Macaca_nemestrina
ENSMMUP00000033858	ENSMMUG00000003872	Macaca_mulatta
ENSTGEP00000037018	ENSTGEG00000029469	Theropithecus_gelada
ENSCSAP00000005820	ENSCSAG00000009562	Chlorocebus_sabaeus
ENSCCAP00000037183	ENSCCAG00000036457	Cebus_capucinus_imitator
ENSSBOP00000030773	ENSSBOG00000031644	Saimiri_boliviensis_boliviensis
ENSCJAP00000071021	ENSCJAG00000021668	Callithrix_jacchus
ENSANAP00000026271	ENSANAG00000030840	Aotus_nancymaae
