F46C5.8.1	WBGene00009783	Caenorhabditis_elegans_strain_N2	F46C5.8.1
FBpp0312547	FBgn0039303	Drosophila_melanogaster	FBtr0347395
ENSLACP00000011182	ENSLACG00000009839	Latimeria_chalumnae	ENSLACT00000011266
ENSECRP00000028906	ENSECRG00000019581	Erpetoichthys_calabaricus	ENSECRT00000029519
ENSSFOP00015013174	ENSSFOG00015008467	Scleropages_formosus	ENSSFOT00015013339
ENSPKIP00000031945	ENSPKIG00000012231	Paramormyrops_kingsleyae	ENSPKIT00000012803
ENSSFOP00015016608	ENSSFOG00015010714	Scleropages_formosus	ENSSFOT00015016797
ENSPKIP00000034161	ENSPKIG00000013532	Paramormyrops_kingsleyae	ENSPKIT00000015063
ENSDCDP00000031427	ENSDCDG00000021860	Denticeps_clupeoides	ENSDCDT00000040762
ENSCHAP00000048693	ENSCHAG00000022408	Clupea_harengus	ENSCHAT00000052604
ENSPNAP00000036158	ENSPNAG00000026747	Pygocentrus_nattereri	ENSPNAT00000030245
ENSAMXP00000035137	ENSAMXG00000040315	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000036924
ENSIPUP00000030757	ENSIPUG00000020737	Ictalurus_punctatus	ENSIPUT00000031990
ENSEEEP00000001977	ENSEEEG00000001229	Electrophorus_electricus	ENSEEET00000002016
ENSDARP00000007832	ENSDARG00000012747	Danio_rerio
ENSORLP00015006300	ENSORLG00015007134	Oryzias_latipes_ASM223469v1
ENSORLP00000032502	ENSORLG00000029746	Oryzias_latipes_ASM223467v1
ENSORLP00020014366	ENSORLG00020015382	Oryzias_latipes_ASM223471v1
ENSOMEP00000024050	ENSOMEG00000004462	Oryzias_melastigma
ENSHCOP00000017050	ENSHCOG00000000621	Hippocampus_comes
ENSCSEP00000029893	ENSCSEG00000019161	Cynoglossus_semilaevis
ENSTNIP00000003459	ENSTNIG00000001745	Tetraodon_nigroviridis
ENSTNIP00000014940	ENSTNIG00000011980	Tetraodon_nigroviridis
ENSTRUP00000038371	ENSTRUG00000015012	Takifugu_rubripes
ENSMMOP00000018697	ENSMMOG00000014162	Mola_mola
ENSBSLP00000005628	ENSBSLG00000003021	Betta_splendens
ENSGACP00000008650	ENSGACG00000006541	Gasterosteus_aculeatus
ENSPNYP00000012598	ENSPNYG00000009414	Pundamilia_nyererei
ENSPNYP00000012238	ENSPNYG00000009289	Pundamilia_nyererei
ENSMZEP00005027273	ENSMZEG00005020344	Maylandia_zebra
ENSACLP00000034316	ENSACLG00000023248	Astatotilapia_calliptera
ENSHBUP00000008645	ENSHBUG00000010150	Haplochromis_burtoni
ENSNBRP00000004540	ENSNBRG00000003625	Neolamprologus_brichardi
ENSONIP00000002617	ENSONIG00000002100	Oreochromis_niloticus
ENSACIP00000028571	ENSACIG00000022115	Amphilophus_citrinellus
ENSCGOP00000001489	ENSCGOG00000000876	Cottoperca_gobio
ENSGWIP00000037618	ENSGWIG00000019337	Gouania_willdenowi
ENSMAMP00000027507	ENSMAMG00000018498	Mastacembelus_armatus
ENSLCRP00005050658	ENSLCRG00005019104	Larimichthys_crocea
ENSFHEP00000022153	ENSFHEG00000002333	Fundulus_heteroclitus
ENSCVAP00000020835	ENSCVAG00000002505	Cyprinodon_variegatus
ENSXMAP00000017404	ENSXMAG00000017376	Xiphophorus_maculatus
ENSGAFP00000028351	ENSGAFG00000019177	Gambusia_affinis
ENSPMEP00000005854	ENSPMEG00000007326	Poecilia_mexicana
ENSPLAP00000013532	ENSPLAG00000017051	Poecilia_latipinna
ENSPREP00000033957	ENSPREG00000023002	Poecilia_reticulata
ENSKMAP00000018253	ENSKMAG00000013585	Kryptolebias_marmoratus
ENSPRNP00000019219	ENSPRNG00000010034	Parambassis_ranga
ENSATEP00000018928	ENSATEG00000013178	Anabas_testudineus
ENSMALP00000000926	ENSMALG00000000715	Monopterus_albus
ENSSDUP00000001940	ENSSDUG00000001522	Seriola_dumerili
ENSSLDP00000032338	ENSSLDG00000024832	Seriola_lalandi_dorsalis
ENSSMAP00000025899	ENSSMAG00000015845	Scophthalmus_maximus
ENSLCAP00010059001	ENSLCAG00010027508	Lates_calcarifer
ENSAOCP00000022878	ENSAOCG00000008610	Amphiprion_ocellaris
ENSAPEP00000021392	ENSAPEG00000015269	Amphiprion_percula
ENSAPOP00000030567	ENSAPOG00000017244	Acanthochromis_polyacanthus
ENSSPAP00000026231	ENSSPAG00000019788	Stegastes_partitus
ENSLBEP00000026035	ENSLBEG00000019828	Labrus_bergylta
ENSPMGP00000012113	ENSPMGG00000010013	Periophthalmus_magnuspinnatus
ENSGMOP00000016635	ENSGMOG00000015529	Gadus_morhua
ENSHHUP00000045588	ENSHHUG00000027702	Hucho_hucho
ENSHHUP00000060993	ENSHHUG00000036131	Hucho_hucho
ENSELUP00000004494	ENSELUG00000005707	Esox_lucius
