ENSARWP00000022604	ENSARWG00000015405	Apteryx_rowi
ENSCJPP00005009472	ENSCJPG00005008310	Coturnix_japonica
ENSSPAP00000000991	ENSSPAG00000000778	Stegastes_partitus	ENSSPAT00000001004
ENSEEUP00000008717	ENSEEUG00000009573	Erinaceus_europaeus
ENSHHUP00000044336	ENSHHUG00000027145	Hucho_hucho
ENSMALP00000008105	ENSMALG00000005783	Monopterus_albus	ENSMALT00000008279
ENSPNAP00000034528	ENSPNAG00000023906	Pygocentrus_nattereri
ENSPNYP00000022124	ENSPNYG00000016727	Pundamilia_nyererei
ENSDARP00000141127	ENSDARG00000099985	Danio_rerio
ENSPCIP00000007983	ENSPCIG00000006652	Phascolarctos_cinereus
ENSCJAP00000023363	ENSCJAG00000012726	Callithrix_jacchus
ENSMALP00000030450	ENSMALG00000021007	Monopterus_albus
ENSGAFP00000031926	ENSGAFG00000021486	Gambusia_affinis
ENSTBEP00000007806	ENSTBEG00000009008	Tupaia_belangeri
ENSDNVP00000018677	ENSDNVG00000013052	Dromaius_novaehollandiae
ENSLCOP00000005093	ENSLCOG00000003829	Lepidothrix_coronata
ENSMAUP00000004609	ENSMAUG00000006075	Mesocricetus_auratus
ENSHHUP00000015653	ENSHHUG00000009760	Hucho_hucho
ENSLACP00000019670	ENSLACG00000017295	Latimeria_chalumnae
ENSIPUP00000003505	ENSIPUG00000002490	Ictalurus_punctatus
ENSLCAP00010001850	ENSLCAG00010001035	Lates_calcarifer
ENSBIXP00005026610	ENSBIXG00005028896	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMSIP00000007703	ENSMSIG00000006855	Mus_spicilegus
ENSNVIP00000012168	ENSNVIG00000009667	Neovison_vison
ENSLBEP00000017948	ENSLBEG00000013824	Labrus_bergylta
ENSMICP00000046829	ENSMICG00000015764	Microcebus_murinus
ENSTTRP00000001250	ENSTTRG00000001330	Tursiops_truncatus
ENSRBIP00000029718	ENSRBIG00000038743	Rhinopithecus_bieti
ENSSPAP00000021128	ENSSPAG00000015924	Stegastes_partitus
ENSBMUP00000024081	ENSBMUG00000018082	Bos_mutus
ENSXETP00000008158	ENSXETG00000007339	Xenopus_tropicalis
ENSLACP00000013208	ENSLACG00000011630	Latimeria_chalumnae
ENSPKIP00000013986	ENSPKIG00000001209	Paramormyrops_kingsleyae
ENSNGAP00000001783	ENSNGAG00000001335	Nannospalax_galili
ENSPKIP00000016298	ENSPKIG00000002680	Paramormyrops_kingsleyae
ENSCAPP00000012453	ENSCAPG00000013316	Cavia_aperea
ENSUMAP00000002835	ENSUMAG00000002488	Ursus_maritimus
ENSLCAP00010052358	ENSLCAG00010024367	Lates_calcarifer
ENSPTRP00000001581	ENSPTRG00000000916	Pan_troglodytes
ENSPMGP00000002747	ENSPMGG00000000860	Periophthalmus_magnuspinnatus
ENSPEMP00000000526	ENSPEMG00000000386	Peromyscus_maniculatus_bairdii
ENSHHUP00000066261	ENSHHUG00000039065	Hucho_hucho
ENSNLEP00000012236	ENSNLEG00000010037	Nomascus_leucogenys
ENSAMEP00000018213	ENSAMEG00000017235	Ailuropoda_melanoleuca
ENSUPAP00010014689	ENSUPAG00010011774	Urocitellus_parryii
ENSAPEP00000020939	ENSAPEG00000014948	Amphiprion_percula	ENSAPET00000021496
ENSCMIP00000017325	ENSCMIG00000008269	Callorhinchus_milii
ENSBTAP00000059865	ENSBTAG00000009844	Bos_taurus
ENSCPBP00000000886	ENSCPBG00000000725	Chrysemys_picta_bellii
ENSVPAP00000006619	ENSVPAG00000007113	Vicugna_pacos
ENSJHYP00000003893	ENSJHYG00000003216	Junco_hyemalis
ENSBSLP00000035697	ENSBSLG00000017470	Betta_splendens
ENSNMEP00000024901	ENSNMEG00000021111	Numida_meleagris
ENSCCNP00000016619	ENSCCNG00000016929	Castor_canadensis
ENSGMOP00000006741	ENSGMOG00000006341	Gadus_morhua
ENSCPUP00000004659	ENSCPUG00000003454	Calidris_pugnax
ENSMOCP00000013825	ENSMOCG00000013502	Microtus_ochrogaster
ENSSLDP00000001484	ENSSLDG00000001228	Seriola_lalandi_dorsalis
ENSVURP00010012706	ENSVURG00010009801	Vombatus_ursinus
ENSSARP00000002270	ENSSARG00000002526	Sorex_araneus
ENSHGLP00100025057	ENSHGLG00100018386	Heterocephalus_glaber_HetGla_1.0
ENSMMMP00000009868	ENSMMMG00000008796	Marmota_marmota_marmota
ENSEBUP00000023522	ENSEBUG00000014495	Eptatretus_burgeri
ENSCHIP00000033908	ENSCHIG00000027269	Capra_hircus
ENSPMJP00000026609	ENSPMJG00000019429	Parus_major
ENSPVIP00000025529	ENSPVIG00000019113	Pogona_vitticeps
ENSTSYP00000004506	ENSTSYG00000004929	Carlito_syrichta
ENSPMGP00000023204	ENSPMGG00000018752	Periophthalmus_magnuspinnatus
ENSAMXP00005015443	ENSAMXG00005008150	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGWIP00000045245	ENSGWIG00000022424	Gouania_willdenowi	ENSGWIT00000049008
ENSMMOP00000002214	ENSMMOG00000001816	Mola_mola
ENSTGEP00000025953	ENSTGEG00000020905	Theropithecus_gelada
ENSCAFP00000030073	ENSCAFG00000020276	Canis_lupus_familiaris
ENSPSIP00000016845	ENSPSIG00000014961	Pelodiscus_sinensis
ENSMZEP00005009166	ENSMZEG00005006957	Maylandia_zebra
ENSFDAP00000009666	ENSFDAG00000017625	Fukomys_damarensis
ENSSFOP00015024162	ENSSFOG00015015529	Scleropages_formosus
ENSAPEP00000016851	ENSAPEG00000012042	Amphiprion_percula
ENSDNOP00000002279	ENSDNOG00000002945	Dasypus_novemcinctus
ENSXETP00000024433	ENSXETG00000004437	Xenopus_tropicalis
ENSFHEP00000021661	ENSFHEG00000001561	Fundulus_heteroclitus
ENSLACP00000001383	ENSLACG00000001240	Latimeria_chalumnae
ENSJJAP00000016256	ENSJJAG00000018163	Jaculus_jaculus
ENSMZEP00005032923	ENSMZEG00005024522	Maylandia_zebra
ENSCVAP00000003124	ENSCVAG00000004303	Cyprinodon_variegatus
ENSPKIP00000011674	ENSPKIG00000018660	Paramormyrops_kingsleyae	ENSPKIT00000023623
MGP_PahariEiJ_P0071839	MGP_PahariEiJ_G0027164	Mus_pahari_strain_PAHARI_EIJ
ENSECAP00000022550	ENSECAG00000024993	Equus_caballus
