ENSSBOP00000006549	ENSSBOG00000020255	Saimiri_boliviensis_boliviensis
ENSCJAP00000063573	ENSCJAG00000022698	Callithrix_jacchus
ENSANAP00000003923	ENSANAG00000020019	Aotus_nancymaae
ENSPPAP00000018894	ENSPPAG00000032609	Pan_paniscus
ENSPTRP00000023818	ENSPTRG00000013828	Pan_troglodytes
ENSP00000286808	ENSG00000156282	Homo_sapiens
ENSGGOP00000001009	ENSGGOG00000001025	Gorilla_gorilla
ENSNLEP00000022386	ENSNLEG00000018494	Nomascus_leucogenys
ENSRBIP00000012558	ENSRBIG00000030248	Rhinopithecus_bieti
ENSRROP00000006666	ENSRROG00000026036	Rhinopithecus_roxellana
ENSCANP00000001956	ENSCANG00000007362	Colobus_angolensis_palliatus
ENSPTEP00000027086	ENSPTEG00000027001	Piliocolobus_tephrosceles
ENSMNEP00000000539	ENSMNEG00000002574	Macaca_nemestrina
ENSMFAP00000011938	ENSMFAG00000020091	Macaca_fascicularis
ENSCSAP00000018227	ENSCSAG00000018705	Chlorocebus_sabaeus
ENSTGEP00000034955	ENSTGEG00000027854	Theropithecus_gelada
ENSMLEP00000006641	ENSMLEG00000027051	Mandrillus_leucophaeus
ENSPSMP00000009717	ENSPSMG00000007099	Prolemur_simus
ENSOGAP00000003238	ENSOGAG00000003639	Otolemur_garnettii
ENSTBEP00000003559	ENSTBEG00000004124	Tupaia_belangeri
ENSCHOP00000003430	ENSCHOG00000003881	Choloepus_hoffmanni
ENSDNOP00000031786	ENSDNOG00000007126	Dasypus_novemcinctus
ENSLAFP00000022916	ENSLAFG00000018369	Loxodonta_africana
ENSUAMP00000011577	ENSUAMG00000009427	Ursus_americanus
ENSUMAP00000022744	ENSUMAG00000016609	Ursus_maritimus
ENSNVIP00000005621	ENSNVIG00000004520	Neovison_vison
ENSCAFP00020033722	ENSCAFG00020026176	Canis_lupus_dingo
ENSCAFP00000012936	ENSCAFG00000008803	Canis_lupus_familiaris
ENSVVUP00000027871	ENSVVUG00000020429	Vulpes_vulpes
ENSPTIP00000001921	ENSPTIG00000004898	Panthera_tigris_altaica
ENSPPRP00000021191	ENSPPRG00000012065	Panthera_pardus
ENSFCAP00000019174	ENSFCAG00000026978	Felis_catus
ENSMLUP00000012402	ENSMLUG00000013631	Myotis_lucifugus
ENSPVAP00000002552	ENSPVAG00000002703	Pteropus_vampyrus
ENSEASP00005011105	ENSEASG00005007813	Equus_asinus_asinus
ENSECAP00000001030	ENSECAG00000001503	Equus_caballus
ENSVPAP00000011551	ENSVPAG00000012424	Vicugna_pacos
ENSTTRP00000012596	ENSTTRG00000013281	Tursiops_truncatus
ENSBIXP00000042472	ENSBIXG00000026503	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005044580	ENSBIXG00005028417	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000052742	ENSBTAG00000039255	Bos_taurus
ENSBMUP00000008840	ENSBMUG00000006881	Bos_mutus
ENSBBBP00000019370	ENSBBBG00000012722	Bison_bison_bison
ENSOARP00000001101	ENSOARG00000001063	Ovis_aries
ENSCHIP00000004704	ENSCHIG00000008873	Capra_hircus
ENSSSCP00000012813	ENSSSCG00000012031	Sus_scrofa_strain_reference
ENSEEUP00000002308	ENSEEUG00000002533	Erinaceus_europaeus
ENSSARP00000008589	ENSSARG00000009510	Sorex_araneus
ENSCLAP00000025683	ENSCLAG00000017804	Chinchilla_lanigera
ENSODEP00000025545	ENSODEG00000018815	Octodon_degus
ENSCPOP00000002150	ENSCPOG00000002365	Cavia_porcellus
ENSCAPP00000004132	ENSCAPG00000006744	Cavia_aperea
