ENSCGOP00000047539	ENSCGOG00000021308	Cottoperca_gobio
ENSGACP00000007026	ENSGACG00000005313	Gasterosteus_aculeatus
ENSLBEP00000005522	ENSLBEG00000004251	Labrus_bergylta
ENSTRUP00000049921	ENSTRUG00000022522	Takifugu_rubripes
ENSTNIP00000000884	ENSTNIG00000011156	Tetraodon_nigroviridis
ENSMMOP00000008662	ENSMMOG00000006699	Mola_mola
ENSLCRP00005036236	ENSLCRG00005014123	Larimichthys_crocea
ENSSLDP00000016948	ENSSLDG00000013406	Seriola_lalandi_dorsalis
ENSSDUP00000008903	ENSSDUG00000006557	Seriola_dumerili
ENSLCAP00010029741	ENSLCAG00010013984	Lates_calcarifer
ENSMAMP00000007188	ENSMAMG00000004900	Mastacembelus_armatus
ENSMALP00000016383	ENSMALG00000011490	Monopterus_albus
ENSATEP00000015535	ENSATEG00000010781	Anabas_testudineus
ENSAPEP00000028903	ENSAPEG00000020542	Amphiprion_percula
ENSAPOP00000007765	ENSAPOG00000009783	Acanthochromis_polyacanthus
ENSSPAP00000023474	ENSSPAG00000017724	Stegastes_partitus
ENSHCOP00000005600	ENSHCOG00000007280	Hippocampus_comes
ENSMZEP00005037272	ENSMZEG00005027779	Maylandia_zebra
ENSMZEP00005001813	ENSMZEG00005001479	Maylandia_zebra
ENSACLP00000007828	ENSACLG00000005326	Astatotilapia_calliptera
ENSPNYP00000016020	ENSPNYG00000012139	Pundamilia_nyererei
ENSHBUP00000008629	ENSHBUG00000010135	Haplochromis_burtoni
ENSNBRP00000013146	ENSNBRG00000010230	Neolamprologus_brichardi
ENSONIP00000007955	ENSONIG00000006308	Oreochromis_niloticus
ENSACIP00000025526	ENSACIG00000019784	Amphilophus_citrinellus
ENSGWIP00000001236	ENSGWIG00000000728	Gouania_willdenowi
ENSPRNP00000019221	ENSPRNG00000010036	Parambassis_ranga
ENSSMAP00000027956	ENSSMAG00000017112	Scophthalmus_maximus
ENSCSEP00000021029	ENSCSEG00000013433	Cynoglossus_semilaevis
ENSPMGP00000011835	ENSPMGG00000009796	Periophthalmus_magnuspinnatus
ENSELUP00000013778	ENSELUG00000013852	Esox_lucius
ENSCHAP00000010899	ENSCHAG00000006209	Clupea_harengus
