ENSACAP00000011908	ENSACAG00000011619	Anolis_carolinensis	ENSACAT00000012152
ENSPVIP00000001595	ENSPVIG00000001426	Pogona_vitticeps	ENSPVIT00000002081
ENSNSUP00000005709	ENSNSUG00000004562	Notechis_scutatus
ENSSMRP00000023007	ENSSMRG00000017857	Salvator_merianae
ENSSPUP00000012869	ENSSPUG00000009821	Sphenodon_punctatus
ENSCPGP00000019026	ENSCPGG00000013315	Calidris_pygmaea
ENSCPUP00000006869	ENSCPUG00000004981	Calidris_pugnax
ENSMUNP00000003817	ENSMUNG00000003224	Melopsittacus_undulatus
ENSPMJP00000012670	ENSPMJG00000009725	Parus_major
ENSCCEP00000011103	ENSCCEG00000010918	Cyanistes_caeruleus
ENSFALP00000001073	ENSFALG00000001033	Ficedula_albicollis
ENSTGUP00000001352	ENSTGUG00000001310	Taeniopygia_guttata
ENSTGUP00000016568	ENSTGUG00000016246	Taeniopygia_guttata
ENSLSDP00000010264	ENSLSDG00000007565	Lonchura_striata_domestica
ENSSCAP00000014736	ENSSCAG00000010822	Serinus_canaria
ENSJHYP00000017589	ENSJHYG00000013434	Junco_hyemalis
ENSZALP00000011260	ENSZALG00000009531	Zonotrichia_albicollis
ENSMVIP00005014425	ENSMVIG00005010427	Manacus_vitellinus
ENSLCOP00000002308	ENSLCOG00000000593	Lepidothrix_coronata
ENSAPLP00000020302	ENSAPLG00000015846	Anas_platyrhynchos_platyrhynchos
ENSABRP00000013518	ENSABRG00000012009	Anser_brachyrhynchus
ENSMGAP00000008866	ENSMGAG00000008561	Meleagris_gallopavo
ENSCJPP00005004779	ENSCJPG00005001231	Coturnix_japonica
ENSGALP00000055716	ENSGALG00000029896	Gallus_gallus
ENSNMEP00000024082	ENSNMEG00000020483	Numida_meleagris
ENSAOWP00000012935	ENSAOWG00000008836	Apteryx_owenii
ENSAHAP00000010808	ENSAHAG00000007820	Apteryx_haastii
ENSARWP00000002589	ENSARWG00000001939	Apteryx_rowi
ENSDNVP00000014200	ENSDNVG00000009973	Dromaius_novaehollandiae
ENSNPEP00000002833	ENSNPEG00000002161	Nothoprocta_perdicaria
ENSCPRP00005014631	ENSCPRG00005010295	Crocodylus_porosus
ENSGAGP00000029997	ENSGAGG00000021645	Gopherus_agassizii
ENSCABP00000016252	ENSCABG00000012084	Chelonoidis_abingdonii
ENSCPBP00000036168	ENSCPBG00000025142	Chrysemys_picta_bellii
ENSPSIP00000005657	ENSPSIG00000005204	Pelodiscus_sinensis
ENSPCIP00000001319	ENSPCIG00000001038	Phascolarctos_cinereus
ENSVURP00010008950	ENSVURG00010006926	Vombatus_ursinus
ENSMEUP00000008466	ENSMEUG00000009252	Notamacropus_eugenii
ENSSHAP00000007195	ENSSHAG00000006253	Sarcophilus_harrisii
ENSMODP00000058990	ENSMODG00000014131	Monodelphis_domestica
ENSLAFP00000000396	ENSLAFG00000000461	Loxodonta_africana
ENSPCAP00000008374	ENSPCAG00000008896	Procavia_capensis
ENSETEP00000008963	ENSETEG00000011051	Echinops_telfairi
ENSCHOP00000008868	ENSCHOG00000009992	Choloepus_hoffmanni
ENSDNOP00000031378	ENSDNOG00000014913	Dasypus_novemcinctus
ENSCLAP00000021641	ENSCLAG00000014812	Chinchilla_lanigera
ENSODEP00000010481	ENSODEG00000007824	Octodon_degus
ENSCPOP00000009197	ENSCPOG00000010242	Cavia_porcellus
ENSCAPP00000010613	ENSCAPG00000011807	Cavia_aperea
ENSHGLP00000013041	ENSHGLG00000009326	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100008525	ENSHGLG00100006352	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000001622	ENSFDAG00000011579	Fukomys_damarensis
ENSUPAP00010021477	ENSUPAG00010016857	Urocitellus_parryii
ENSSTOP00000018641	ENSSTOG00000015798	Ictidomys_tridecemlineatus
ENSSDAP00000021082	ENSSDAG00000018789	Spermophilus_dauricus
ENSMMMP00000016430	ENSMMMG00000014369	Marmota_marmota_marmota
ENSCCNP00000024529	ENSCCNG00000023999	Castor_canadensis
ENSCCNP00000010957	ENSCCNG00000010654	Castor_canadensis
MGP_SPRETEiJ_P0028087	MGP_SPRETEiJ_G0017201	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000008703	ENSMSIG00000005696	Mus_spicilegus
ENSMUSP00000147135	ENSMUSG00000037533	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0026716	MGP_CAROLIEiJ_G0016359	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0033488	MGP_PahariEiJ_G0017494	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000013481	ENSRNOG00000009995	Rattus_norvegicus
ENSMUGP00000009647	ENSMUGG00000008580	Meriones_unguiculatus
ENSPEMP00000020196	ENSPEMG00000018231	Peromyscus_maniculatus_bairdii
ENSMOCP00000003282	ENSMOCG00000002583	Microtus_ochrogaster
ENSCGRP00015028037	ENSCGRG00015020964	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001017987	ENSCGRG00001017839	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000018381	ENSCGRG00000013378	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000009374	ENSMAUG00000010508	Mesocricetus_auratus
ENSNGAP00000014040	ENSNGAG00000015457	Nannospalax_galili
ENSJJAP00000021028	ENSJJAG00000021502	Jaculus_jaculus
ENSDORP00000011946	ENSDORG00000012701	Dipodomys_ordii
ENSOPRP00000002630	ENSOPRG00000002809	Ochotona_princeps
ENSTBEP00000008027	ENSTBEG00000009247	Tupaia_belangeri
ENSOCUP00000031733	ENSOCUG00000003847	Oryctolagus_cuniculus
ENSP00000296859	ENSG00000158987	Homo_sapiens
ENSP00000426948	ENSG00000273217	Homo_sapiens
ENSPPAP00000006205	ENSPPAG00000024354	Pan_paniscus
ENSPTRP00000076228	ENSPTRG00000017209	Pan_troglodytes
ENSGGOP00000005824	ENSGGOG00000005941	Gorilla_gorilla
ENSPPYP00000017613	ENSPPYG00000015750	Pongo_abelii
ENSNLEP00000015230	ENSNLEG00000012441	Nomascus_leucogenys
ENSCATP00000035171	ENSCATG00000040471	Cercocebus_atys
ENSMLEP00000004998	ENSMLEG00000021456	Mandrillus_leucophaeus
ENSTGEP00000021469	ENSTGEG00000017179	Theropithecus_gelada
ENSPANP00000003674	ENSPANG00000023266	Papio_anubis
ENSMFAP00000021353	ENSMFAG00000033294	Macaca_fascicularis
ENSMMUP00000008110	ENSMMUG00000006165	Macaca_mulatta
ENSMNEP00000031263	ENSMNEG00000038679	Macaca_nemestrina
ENSCSAP00000010128	ENSCSAG00000013985	Chlorocebus_sabaeus
ENSCANP00000034237	ENSCANG00000040763	Colobus_angolensis_palliatus
ENSPTEP00000005188	ENSPTEG00000005983	Piliocolobus_tephrosceles
ENSRROP00000033023	ENSRROG00000040103	Rhinopithecus_roxellana
ENSRBIP00000028657	ENSRBIG00000038190	Rhinopithecus_bieti
ENSCCAP00000020076	ENSCCAG00000027485	Cebus_capucinus_imitator
ENSSBOP00000029251	ENSSBOG00000030625	Saimiri_boliviensis_boliviensis
ENSCJAP00000060186	ENSCJAG00000014433	Callithrix_jacchus
ENSANAP00000011106	ENSANAG00000023321	Aotus_nancymaae
ENSTSYP00000034176	ENSTSYG00000006733	Carlito_syrichta
ENSPCOP00000030439	ENSPCOG00000027922	Propithecus_coquereli
ENSMICP00000010161	ENSMICG00000011120	Microcebus_murinus
ENSPSMP00000032556	ENSPSMG00000022413	Prolemur_simus
ENSOGAP00000014039	ENSOGAG00000015668	Otolemur_garnettii
ENSMLUP00000011050	ENSMLUG00000012113	Myotis_lucifugus
ENSPVAP00000010533	ENSPVAG00000011174	Pteropus_vampyrus
ENSEEUP00000003830	ENSEEUG00000004152	Erinaceus_europaeus
ENSSARP00000002385	ENSSARG00000002587	Sorex_araneus
ENSUMAP00000012758	ENSUMAG00000007718	Ursus_maritimus
ENSUAMP00000031589	ENSUAMG00000023950	Ursus_americanus
ENSAMEP00000018820	ENSAMEG00000017779	Ailuropoda_melanoleuca
ENSMPUP00000011519	ENSMPUG00000011611	Mustela_putorius_furo
ENSNVIP00000024539	ENSNVIG00000018626	Neovison_vison
ENSCAFP00020017282	ENSCAFG00020013619	Canis_lupus_dingo
ENSCAFP00000001071	ENSCAFG00000024183	Canis_lupus_familiaris
ENSVVUP00000040943	ENSVVUG00000028832	Vulpes_vulpes
ENSPTIP00000026267	ENSPTIG00000021720	Panthera_tigris_altaica
ENSPPRP00000015760	ENSPPRG00000008552	Panthera_pardus
ENSFCAP00000056086	ENSFCAG00000001479	Felis_catus
ENSECAP00000022922	ENSECAG00000021067	Equus_caballus
ENSEASP00005023980	ENSEASG00005015638	Equus_asinus_asinus
ENSBIXP00000039735	ENSBIXG00000004711	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005015383	ENSBIXG00005019255	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000000910	ENSBTAG00000000682	Bos_taurus
ENSBMUP00000020987	ENSBMUG00000015684	Bos_mutus
ENSCHIP00000031143	ENSCHIG00000025607	Capra_hircus
ENSOARP00000017633	ENSOARG00000016418	Ovis_aries
ENSTTRP00000012815	ENSTTRG00000013495	Tursiops_truncatus
ENSSSCP00000040322	ENSSSCG00000014267	Sus_scrofa_strain_reference
ENSVPAP00000006127	ENSVPAG00000006593	Vicugna_pacos
ENSOANP00000011083	ENSOANG00000006961	Ornithorhynchus_anatinus
ENSXETP00000038634	ENSXETG00000002629	Xenopus_tropicalis
ENSLACP00000020816	ENSLACG00000018286	Latimeria_chalumnae
ENSCMIP00000012118	ENSCMIG00000005650	Callorhinchus_milii
ENSECRP00000012909	ENSECRG00000008624	Erpetoichthys_calabaricus
ENSLOCP00000012608	ENSLOCG00000010294	Lepisosteus_oculatus
ENSEBUP00000027430	ENSEBUG00000016811	Eptatretus_burgeri
ENSPKIP00000018794	ENSPKIG00000004226	Paramormyrops_kingsleyae
ENSSFOP00015028946	ENSSFOG00015018585	Scleropages_formosus
ENSHHUP00000040668	ENSHHUG00000025134	Hucho_hucho
ENSPMAP00000005063	ENSPMAG00000004611	Petromyzon_marinus
ENSSFOP00015002988	ENSSFOG00015001976	Scleropages_formosus
ENSAMXP00000018558	ENSAMXG00000018009	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005026176	ENSAMXG00005011717	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000054208	ENSAMXG00000035968	Astyanax_mexicanus_Astyanax_mexicanus-2.0
