ENSAMEP00000015364	ENSAMEG00000014580	Ailuropoda_melanoleuca
ENSBIXP00005013698	ENSBIXG00005017803	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSECAP00000044964	ENSECAG00000035963	Equus_caballus
ENSPPRP00000008541	ENSPPRG00000003316	Panthera_pardus
ENSTSYP00000004448	ENSTSYG00000004860	Carlito_syrichta
ENSMPUP00000011944	ENSMPUG00000012036	Mustela_putorius_furo
ENSUAMP00000004350	ENSUAMG00000003992	Ursus_americanus
ENSVVUP00000017329	ENSVVUG00000012769	Vulpes_vulpes
ENSBTAP00000064922	ENSBTAG00000053811	Bos_taurus
ENSNVIP00000011428	ENSNVIG00000009054	Neovison_vison
ENSOARP00000006776	ENSOARG00000006326	Ovis_aries
ENSPVAP00000013570	ENSPVAG00000014397	Pteropus_vampyrus
ENSECAP00000029034	ENSECAG00000034859	Equus_caballus
ENSBIXP00000005743	ENSBIXG00000011887	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCHOP00000005817	ENSCHOG00000006576	Choloepus_hoffmanni
ENSPVAP00000010912	ENSPVAG00000011577	Pteropus_vampyrus
ENSBMUP00000011283	ENSBMUG00000008685	Bos_mutus
ENSTTRP00000006482	ENSTTRG00000006856	Tursiops_truncatus
ENSTTRP00000006483	ENSTTRG00000006857	Tursiops_truncatus
ENSTTRP00000006480	ENSTTRG00000006854	Tursiops_truncatus
ENSCAFP00000042433	ENSCAFG00000031506	Canis_lupus_familiaris
ENSMICP00000045548	ENSMICG00000043266	Microcebus_murinus	ENSMICT00000061082
ENSFCAP00000035430	ENSFCAG00000036103	Felis_catus
ENSBBBP00000026006	ENSBBBG00000021578	Bison_bison_bison
ENSMLUP00000014258	ENSMLUG00000015649	Myotis_lucifugus
ENSCHOP00000000540	ENSCHOG00000000606	Choloepus_hoffmanni
ENSCHIP00000014089	ENSCHIG00000015268	Capra_hircus
ENSBIXP00005034345	ENSBIXG00005005639	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005013404	ENSBIXG00005002849	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000021313	ENSBBBG00000000851	Bison_bison_bison
ENSCHIP00000023605	ENSCHIG00000021111	Capra_hircus
ENSBBBP00000010178	ENSBBBG00000018339	Bison_bison_bison
ENSCHOP00000011600	ENSCHOG00000013100	Choloepus_hoffmanni
ENSCHOP00000000973	ENSCHOG00000001099	Choloepus_hoffmanni
ENSVPAP00000000974	ENSVPAG00000001058	Vicugna_pacos
ENSOCUP00000027009	ENSOCUG00000029361	Oryctolagus_cuniculus
ENSBIXP00000005754	ENSBIXG00000011892	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPTIP00000013669	ENSPTIG00000013323	Panthera_tigris_altaica
ENSTTRP00000010929	ENSTTRG00000011523	Tursiops_truncatus
ENSCHOP00000007638	ENSCHOG00000008629	Choloepus_hoffmanni
ENSSSCP00000036292	ENSSSCG00000036877	Sus_scrofa_strain_reference
ENSCHOP00000008354	ENSCHOG00000009439	Choloepus_hoffmanni
ENSBTAP00000054372	ENSBTAG00000046204	Bos_taurus
ENSCHOP00000002154	ENSCHOG00000002430	Choloepus_hoffmanni
ENSVPAP00000001635	ENSVPAG00000001773	Vicugna_pacos
ENSBMUP00000013331	ENSBMUG00000010176	Bos_mutus
ENSPPRP00000017660	ENSPPRG00000009545	Panthera_pardus
ENSBIXP00000030078	ENSBIXG00000011890	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSECAP00000020373	ENSECAG00000022947	Equus_caballus
ENSPTIP00000008914	ENSPTIG00000010148	Panthera_tigris_altaica
ENSSSCP00000049951	ENSSSCG00000048873	Sus_scrofa_strain_reference
