ENSLAFP00000005684	ENSLAFG00000006762	Loxodonta_africana	ENSLAFT00000006763
ENSPCAP00000005074	ENSPCAG00000005349	Procavia_capensis	ENSPCAT00000005425
ENSBIXP00000013623	ENSBIXG00000003213	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005023972	ENSBIXG00005026621	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000049054	ENSBTAG00000039453	Bos_taurus
ENSBMUP00000029283	ENSBMUG00000021915	Bos_mutus
ENSCHIP00000031333	ENSCHIG00000025732	Capra_hircus
ENSOARP00000004122	ENSOARG00000003860	Ovis_aries
ENSSSCP00000046810	ENSSSCG00000031342	Sus_scrofa_strain_reference
ENSTTRP00000001868	ENSTTRG00000001993	Tursiops_truncatus
ENSECAP00000014018	ENSECAG00000016453	Equus_caballus
ENSEASP00005029724	ENSEASG00005020205	Equus_asinus_asinus
ENSUAMP00000004705	ENSUAMG00000004284	Ursus_americanus
ENSUAMP00000004679	ENSUAMG00000004272	Ursus_americanus
ENSAMEP00000008023	ENSAMEG00000007614	Ailuropoda_melanoleuca
ENSNVIP00000016931	ENSNVIG00000013233	Neovison_vison
ENSCAFP00000003430	ENSCAFG00000002360	Canis_lupus_familiaris
ENSCAFP00020018668	ENSCAFG00020014839	Canis_lupus_dingo
ENSVVUP00000004040	ENSVVUG00000003175	Vulpes_vulpes
ENSCAFP00020018677	ENSCAFG00020014843	Canis_lupus_dingo
ENSVVUP00000003061	ENSVVUG00000002344	Vulpes_vulpes
ENSVVUP00000003092	ENSVVUG00000002414	Vulpes_vulpes
ENSPPRP00000006834	ENSPPRG00000002153	Panthera_pardus
ENSPPRP00000007651	ENSPPRG00000002719	Panthera_pardus
ENSFCAP00000058536	ENSFCAG00000050721	Felis_catus
ENSOCUP00000015299	ENSOCUG00000010118	Oryctolagus_cuniculus
ENSPEMP00000021450	ENSPEMG00000019095	Peromyscus_maniculatus_bairdii
ENSMOCP00000022332	ENSMOCG00000019412	Microtus_ochrogaster
ENSCGRP00001013143	ENSCGRG00001014364	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000019775	ENSCGRG00000014402	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015019566	ENSCGRG00015015038	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000011498	ENSMAUG00000012071	Mesocricetus_auratus
ENSMSIP00000017770	ENSMSIG00000015159	Mus_spicilegus
ENSMUSP00000041944	ENSMUSG00000004500	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0080717	MGP_SPRETEiJ_G0030270	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0077416	MGP_CAROLIEiJ_G0029194	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0045774	MGP_PahariEiJ_G0021056	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000036344	ENSRNOG00000027436	Rattus_norvegicus
ENSMUGP00000000026	ENSMUGG00000000059	Meriones_unguiculatus
ENSCCNP00000022258	ENSCCNG00000021920	Castor_canadensis
ENSDNOP00000022853	ENSDNOG00000037922	Dasypus_novemcinctus
ENSXETP00000052609	ENSXETG00000017066	Xenopus_tropicalis
