ENSAPOP00000005815	ENSAPOG00000007563	Acanthochromis_polyacanthus
ENSXETP00000035910	ENSXETG00000013868	Xenopus_tropicalis	ENSXETT00000026201
ENSCGRP00001008441	ENSCGRG00001010726	Cricetulus_griseus_CHOK1GS_HDv1
ENSEEEP00000012655	ENSEEEG00000006351	Electrophorus_electricus
ENSCGOP00000009316	ENSCGOG00000004800	Cottoperca_gobio
ENSAOCP00000028410	ENSAOCG00000017996	Amphiprion_ocellaris
ENSGGOP00000036924	ENSGGOG00000038885	Gorilla_gorilla
ENSMMUP00000047389	ENSMMUG00000038363	Macaca_mulatta
ENSPMEP00000025197	ENSPMEG00000008025	Poecilia_mexicana
ENSLAFP00000022055	ENSLAFG00000027591	Loxodonta_africana
ENSCPBP00000033477	ENSCPBG00000023410	Chrysemys_picta_bellii
ENSCANP00000034704	ENSCANG00000041046	Colobus_angolensis_palliatus
ENSGAGP00000010477	ENSGAGG00000008195	Gopherus_agassizii
ENSPNAP00000025762	ENSPNAG00000011006	Pygocentrus_nattereri
ENSJJAP00000013549	ENSJJAG00000016272	Jaculus_jaculus
ENSPCOP00000014276	ENSPCOG00000018818	Propithecus_coquereli
ENSMODP00000011922	ENSMODG00000009541	Monodelphis_domestica
ENSDORP00000020073	ENSDORG00000028410	Dipodomys_ordii
ENSANAP00000024762	ENSANAG00000030089	Aotus_nancymaae
ENSECRP00000012104	ENSECRG00000008069	Erpetoichthys_calabaricus
ENSLCRP00005008377	ENSLCRG00005004025	Larimichthys_crocea
ENSACAP00000019433	ENSACAG00000008835	Anolis_carolinensis
ENSGAFP00000011152	ENSGAFG00000007559	Gambusia_affinis
ENSMPUP00000011525	ENSMPUG00000011617	Mustela_putorius_furo
ENSRROP00000033610	ENSRROG00000040382	Rhinopithecus_roxellana
ENSVVUP00000037879	ENSVVUG00000027075	Vulpes_vulpes
ENSCABP00000024114	ENSCABG00000017764	Chelonoidis_abingdonii
ENSPREP00000030230	ENSPREG00000020478	Poecilia_reticulata
ENSFDAP00000020116	ENSFDAG00000008669	Fukomys_damarensis
ENSP00000454303	ENSG00000254470	Homo_sapiens
ENSSTOP00000017174	ENSSTOG00000025490	Ictidomys_tridecemlineatus
ENSPLAP00000029317	ENSPLAG00000019432	Poecilia_latipinna
ENSONIP00000004235	ENSONIG00000003364	Oreochromis_niloticus
MGP_CAROLIEiJ_P0047638	MGP_CAROLIEiJ_G0022559	Mus_caroli_strain_CAROLI_EIJ
ENSMMOP00000013005	ENSMMOG00000009997	Mola_mola
ENSXMAP00000031271	ENSXMAG00000029589	Xiphophorus_maculatus
ENSOCUP00000026455	ENSOCUG00000029210	Oryctolagus_cuniculus
ENSLOCP00000001151	ENSLOCG00000001028	Lepisosteus_oculatus
ENSPSMP00000033262	ENSPSMG00000022959	Prolemur_simus
ENSPPRP00000004620	ENSPPRG00000000658	Panthera_pardus
ENSFHEP00000027863	ENSFHEG00000011590	Fundulus_heteroclitus
ENSTNIP00000000754	ENSTNIG00000001487	Tetraodon_nigroviridis
ENSNGAP00000021366	ENSNGAG00000020574	Nannospalax_galili
ENSMFAP00000017014	ENSMFAG00000031665	Macaca_fascicularis
ENSORLP00000015755	ENSORLG00000012579	Oryzias_latipes_ASM223467v1
ENSMLUP00000020570	ENSMLUG00000023619	Myotis_lucifugus
ENSPSIP00000003027	ENSPSIG00000002926	Pelodiscus_sinensis
ENSGACP00000014642	ENSGACG00000011070	Gasterosteus_aculeatus
ENSOGAP00000016873	ENSOGAG00000027376	Otolemur_garnettii
ENSDARP00000128763	ENSDARG00000078805	Danio_rerio
ENSEBUP00000026454	ENSEBUG00000016290	Eptatretus_burgeri
ENSLBEP00000012187	ENSLBEG00000009386	Labrus_bergylta
MGP_SPRETEiJ_P0049600	MGP_SPRETEiJ_G0023473	Mus_spretus_strain_SPRET/EiJ
ENSNLEP00000036725	ENSNLEG00000031058	Nomascus_leucogenys
ENSDCDP00000020353	ENSDCDG00000016226	Denticeps_clupeoides	ENSDCDT00000028247
ENSPMGP00000011604	ENSPMGG00000009612	Periophthalmus_magnuspinnatus
ENSCHIP00000025732	ENSCHIG00000022385	Capra_hircus
ENSSMRP00000026365	ENSSMRG00000020362	Salvator_merianae
ENSSMAP00000004024	ENSSMAG00000002491	Scophthalmus_maximus
ENSPTRP00000088477	ENSPTRG00000042895	Pan_troglodytes
ENSHBUP00000035473	ENSHBUG00000023657	Haplochromis_burtoni
ENSAMXP00005004591	ENSAMXG00005002878	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOMEP00000000170	ENSOMEG00000023845	Oryzias_melastigma
ENSMUSP00000094042	ENSMUSG00000049562	Mus_musculus_strain_reference_(CL57BL6)
ENSSPUP00000000729	ENSSPUG00000000608	Sphenodon_punctatus
ENSATEP00000007027	ENSATEG00000004959	Anabas_testudineus
ENSUAMP00000026882	ENSUAMG00000020792	Ursus_americanus
ENSCGRP00015020623	ENSCGRG00015015777	Cricetulus_griseus_CriGri-PICR
ENSCSEP00000026527	ENSCSEG00000016947	Cynoglossus_semilaevis
ENSLACP00000001811	ENSLACG00000001616	Latimeria_chalumnae	ENSLACT00000001824
ENSDNOP00000027347	ENSDNOG00000049510	Dasypus_novemcinctus
ENSCHAP00000017980	ENSCHAG00000009370	Clupea_harengus	ENSCHAT00000019755
ENSOARP00000019127	ENSOARG00000017827	Ovis_aries
ENSMMMP00000024100	ENSMMMG00000021100	Marmota_marmota_marmota
ENSELUP00000034496	ENSELUG00000013098	Esox_lucius
ENSPPYP00000024662	ENSPPYG00000029664	Pongo_abelii
ENSAPEP00000025399	ENSAPEG00000018086	Amphiprion_percula
ENSPFOP00000010809	ENSPFOG00000010820	Poecilia_formosa
ENSMNEP00000000681	ENSMNEG00000003347	Macaca_nemestrina
ENSACIP00000000537	ENSACIG00000000491	Amphilophus_citrinellus
ENSRBIP00000011992	ENSRBIG00000029910	Rhinopithecus_bieti
ENSMAMP00000035077	ENSMAMG00000023551	Mastacembelus_armatus
ENSVURP00010001843	ENSVURG00010001540	Vombatus_ursinus
ENSPNYP00000008267	ENSPNYG00000006339	Pundamilia_nyererei
ENSCAFP00000050323	ENSCAFG00000025135	Canis_lupus_familiaris
ENSCLAP00000024433	ENSCLAG00000016777	Chinchilla_lanigera
ENSLCAP00010050906	ENSLCAG00010023726	Lates_calcarifer
ENSGWIP00000008079	ENSGWIG00000004752	Gouania_willdenowi
ENSCMIP00000003713	ENSCMIG00000002233	Callorhinchus_milii
ENSODEP00000024365	ENSODEG00000017827	Octodon_degus
ENSAOCP00000021369	ENSAOCG00000006086	Amphiprion_ocellaris
ENSCPOP00000010072	ENSCPOG00000011201	Cavia_porcellus
ENSCCAP00000002770	ENSCCAG00000016243	Cebus_capucinus_imitator
ENSCGRP00000006681	ENSCGRG00000004881	Cricetulus_griseus_CriGri_1.0
ENSHGLP00100024747	ENSHGLG00100018174	Heterocephalus_glaber_HetGla_1.0
ENSPKIP00000000555	ENSPKIG00000019180	Paramormyrops_kingsleyae
ENSORLP00015017657	ENSORLG00015018697	Oryzias_latipes_ASM223469v1
ENSMAUP00000015524	ENSMAUG00000014962	Mesocricetus_auratus
ENSSFOP00015002961	ENSSFOG00015001957	Scleropages_formosus
ENSMUGP00000001397	ENSMUGG00000001318	Meriones_unguiculatus
ENSNVIP00000019841	ENSNVIG00000015570	Neovison_vison
ENSKMAP00000027536	ENSKMAG00000020423	Kryptolebias_marmoratus
ENSRNOP00000032524	ENSRNOG00000026114	Rattus_norvegicus
ENSMALP00000008179	ENSMALG00000005817	Monopterus_albus
ENSCAFP00020018994	ENSCAFG00020015080	Canis_lupus_dingo
ENSUPAP00010011578	ENSUPAG00010009408	Urocitellus_parryii
ENSSSCP00000013800	ENSSSCG00000012978	Sus_scrofa_strain_reference
ENSEASP00005005835	ENSEASG00005004309	Equus_asinus_asinus
ENSPTEP00000025639	ENSPTEG00000025893	Piliocolobus_tephrosceles
ENSACLP00000037622	ENSACLG00000025453	Astatotilapia_calliptera
ENSPVIP00000014075	ENSPVIG00000010880	Pogona_vitticeps
ENSSDAP00000014891	ENSSDAG00000013422	Spermophilus_dauricus
ENSAMXP00000035914	ENSAMXG00000039124	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000041915
ENSFCAP00000042010	ENSFCAG00000026295	Felis_catus
ENSTGEP00000009774	ENSTGEG00000008042	Theropithecus_gelada
ENSCJAP00000062211	ENSCJAG00000045485	Callithrix_jacchus
ENSBMUP00000001245	ENSBMUG00000001015	Bos_mutus
ENSCATP00000030307	ENSCATG00000038336	Cercocebus_atys
ENSIPUP00000005011	ENSIPUG00000003497	Ictalurus_punctatus
ENSCVAP00000010419	ENSCVAG00000012552	Cyprinodon_variegatus
ENSPEMP00000020870	ENSPEMG00000018685	Peromyscus_maniculatus_bairdii
ENSSDUP00000013216	ENSSDUG00000009603	Seriola_dumerili
ENSBTAP00000054921	ENSBTAG00000046875	Bos_taurus
ENSCCNP00000025298	ENSCCNG00000024674	Castor_canadensis
ENSECAP00000040233	ENSECAG00000035192	Equus_caballus
ENSAMEP00000020288	ENSAMEG00000019238	Ailuropoda_melanoleuca
ENSHHUP00000038859	ENSHHUG00000024214	Hucho_hucho
ENSMOCP00000011393	ENSMOCG00000011642	Microtus_ochrogaster
ENSSPAP00000017490	ENSSPAG00000013202	Stegastes_partitus
ENSMZEP00005009757	ENSMZEG00005007391	Maylandia_zebra
ENSNSUP00000000989	ENSNSUG00000000920	Notechis_scutatus
ENSSLDP00000020466	ENSSLDG00000016022	Seriola_lalandi_dorsalis
ENSCSAP00000004258	ENSCSAG00000007994	Chlorocebus_sabaeus
ENSMLEP00000029304	ENSMLEG00000038856	Mandrillus_leucophaeus
ENSTRUP00000054175	ENSTRUG00000021052	Takifugu_rubripes
MGP_PahariEiJ_P0020649	MGP_PahariEiJ_G0014056	Mus_pahari_strain_PAHARI_EIJ
ENSORLP00020022069	ENSORLG00020002171	Oryzias_latipes_ASM223471v1
ENSPANP00000001972	ENSPANG00000005284	Papio_anubis
