FBpp0075964	FBgn0036125	Drosophila_melanogaster	FBtr0076235
C02C2.5.1	WBGene00015334	Caenorhabditis_elegans_strain_N2	C02C2.5.1
ENSACAP00000006555	ENSACAG00000006702	Anolis_carolinensis
ENSPVIP00000016627	ENSPVIG00000012845	Pogona_vitticeps
ENSNSUP00000014568	ENSNSUG00000010796	Notechis_scutatus	ENSNSUT00000015508
ENSSMRP00000029437	ENSSMRG00000022630	Salvator_merianae
ENSSPUP00000007666	ENSSPUG00000005921	Sphenodon_punctatus
ENSGALP00000020208	ENSGALG00000012392	Gallus_gallus
ENSCJPP00005006921	ENSCJPG00005006409	Coturnix_japonica
ENSMGAP00000013322	ENSMGAG00000012644	Meleagris_gallopavo
ENSNMEP00000025472	ENSNMEG00000021561	Numida_meleagris
ENSABRP00000010132	ENSABRG00000009070	Anser_brachyrhynchus
ENSAPLP00000023857	ENSAPLG00000009957	Anas_platyrhynchos_platyrhynchos
ENSTGUP00000011669	ENSTGUG00000011323	Taeniopygia_guttata
ENSLSDP00000021304	ENSLSDG00000015059	Lonchura_striata_domestica
ENSSCAP00000015550	ENSSCAG00000011402	Serinus_canaria
ENSJHYP00000016745	ENSJHYG00000012773	Junco_hyemalis
ENSZALP00000012825	ENSZALG00000010708	Zonotrichia_albicollis
ENSFALP00000012718	ENSFALG00000012182	Ficedula_albicollis
ENSPMJP00000011928	ENSPMJG00000009205	Parus_major
ENSCCEP00000013624	ENSCCEG00000013071	Cyanistes_caeruleus
ENSLCOP00000019759	ENSLCOG00000013993	Lepidothrix_coronata
ENSMVIP00005022637	ENSMVIG00005015884	Manacus_vitellinus
ENSMVIP00005022641	ENSMVIG00005015887	Manacus_vitellinus
ENSMUNP00000008154	ENSMUNG00000006513	Melopsittacus_undulatus
ENSCPUP00000020533	ENSCPUG00000014060	Calidris_pugnax
ENSCPGP00000026204	ENSCPGG00000018071	Calidris_pygmaea
ENSAOWP00000015231	ENSAOWG00000010367	Apteryx_owenii
ENSAHAP00000019181	ENSAHAG00000013577	Apteryx_haastii
ENSARWP00000001759	ENSARWG00000001396	Apteryx_rowi
ENSNPEP00000020966	ENSNPEG00000015570	Nothoprocta_perdicaria
ENSDNVP00000027330	ENSDNVG00000018975	Dromaius_novaehollandiae
ENSCPRP00005026278	ENSCPRG00005018228	Crocodylus_porosus
ENSCABP00000020934	ENSCABG00000015434	Chelonoidis_abingdonii
ENSGAGP00000028266	ENSGAGG00000020537	Gopherus_agassizii
ENSCPBP00000023200	ENSCPBG00000016570	Chrysemys_picta_bellii
ENSPSIP00000019731	ENSPSIG00000017499	Pelodiscus_sinensis
ENSVURP00010002215	ENSVURG00010001839	Vombatus_ursinus
ENSPCIP00000000126	ENSPCIG00000000102	Phascolarctos_cinereus
ENSMEUP00000000891	ENSMEUG00000000975	Notamacropus_eugenii
ENSSHAP00000005765	ENSSHAG00000005031	Sarcophilus_harrisii
ENSMODP00000020946	ENSMODG00000016781	Monodelphis_domestica
ENSUAMP00000037134	ENSUAMG00000028102	Ursus_americanus
ENSUMAP00000003171	ENSUMAG00000002727	Ursus_maritimus
ENSAMEP00000003452	ENSAMEG00000003274	Ailuropoda_melanoleuca
ENSNVIP00000008397	ENSNVIG00000006683	Neovison_vison
ENSMPUP00000010322	ENSMPUG00000010397	Mustela_putorius_furo
ENSCAFP00020017543	ENSCAFG00020014043	Canis_lupus_dingo
ENSCAFP00000000578	ENSCAFG00000000404	Canis_lupus_familiaris
ENSVVUP00000006779	ENSVVUG00000005224	Vulpes_vulpes
ENSPPRP00000016089	ENSPPRG00000008491	Panthera_pardus
ENSPTIP00000015757	ENSPTIG00000014751	Panthera_tigris_altaica
