ENSCJPP00005027360	ENSCJPG00005021223	Coturnix_japonica
ENSGALP00000004303	ENSGALG00000002734	Gallus_gallus
ENSMGAP00000004932	ENSMGAG00000005043	Meleagris_gallopavo
ENSNMEP00000024215	ENSNMEG00000020579	Numida_meleagris
ENSAPLP00000014656	ENSAPLG00000014799	Anas_platyrhynchos_platyrhynchos
ENSCCEP00000025286	ENSCCEG00000022329	Cyanistes_caeruleus
ENSFALP00000003696	ENSFALG00000003546	Ficedula_albicollis
ENSTGUP00000017436	ENSTGUG00000017148	Taeniopygia_guttata
ENSLSDP00000012870	ENSLSDG00000009383	Lonchura_striata_domestica
ENSSCAP00000024124	ENSSCAG00000017266	Serinus_canaria
ENSJHYP00000000934	ENSJHYG00000000833	Junco_hyemalis
ENSZALP00000019652	ENSZALG00000015540	Zonotrichia_albicollis
ENSLCOP00000014810	ENSLCOG00000010604	Lepidothrix_coronata
ENSMVIP00005021600	ENSMVIG00005015185	Manacus_vitellinus
ENSMUNP00000000567	ENSMUNG00000000548	Melopsittacus_undulatus
ENSCPUP00000001154	ENSCPUG00000000904	Calidris_pugnax
ENSABRP00000027576	ENSABRG00000022956	Anser_brachyrhynchus
ENSARWP00000005030	ENSARWG00000003622	Apteryx_rowi
ENSNPEP00000005805	ENSNPEG00000004313	Nothoprocta_perdicaria
ENSDNVP00000000119	ENSDNVG00000000081	Dromaius_novaehollandiae
ENSCPRP00005001445	ENSCPRG00005001107	Crocodylus_porosus
ENSGAGP00000022133	ENSGAGG00000016257	Gopherus_agassizii
ENSCABP00000028257	ENSCABG00000020751	Chelonoidis_abingdonii
ENSCPBP00000025245	ENSCPBG00000017971	Chrysemys_picta_bellii
ENSPSIP00000016441	ENSPSIG00000014622	Pelodiscus_sinensis
ENSACAP00000005527	ENSACAG00000005621	Anolis_carolinensis
ENSACAP00000019671	ENSACAG00000022003	Anolis_carolinensis
ENSPVIP00000015980	ENSPVIG00000012355	Pogona_vitticeps
ENSSMRP00000030696	ENSSMRG00000023525	Salvator_merianae
ENSSPUP00000007443	ENSSPUG00000005763	Sphenodon_punctatus
ENSCLAP00000006692	ENSCLAG00000004715	Chinchilla_lanigera
ENSCLAP00000019838	ENSCLAG00000013603	Chinchilla_lanigera
ENSODEP00000008540	ENSODEG00000006380	Octodon_degus
ENSCPOP00000004111	ENSCPOG00000004561	Cavia_porcellus
ENSCAPP00000007126	ENSCAPG00000009137	Cavia_aperea
ENSHGLP00100025437	ENSHGLG00100018664	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000005495	ENSHGLG00000004032	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020648	ENSHGLG00100015218	Heterocephalus_glaber_HetGla_1.0
