ENSLOCP00000001723	ENSLOCG00000001511	Lepisosteus_oculatus	ENSLOCT00000001728
ENSECRP00000028497	ENSECRG00000018849	Erpetoichthys_calabaricus	ENSECRT00000029101
ENSACAP00000013025	ENSACAG00000013262	Anolis_carolinensis
ENSPVIP00000035121	ENSPVIG00000025683	Pogona_vitticeps
ENSNSUP00000003847	ENSNSUG00000003098	Notechis_scutatus	ENSNSUT00000004142
ENSSMRP00000014828	ENSSMRG00000011538	Salvator_merianae
ENSAPLP00000025535	ENSAPLG00000020451	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000025284	ENSAHAG00000017639	Apteryx_haastii
ENSARWP00000009632	ENSARWG00000006730	Apteryx_rowi
ENSAOWP00000001369	ENSAOWG00000000998	Apteryx_owenii
ENSDNVP00000003931	ENSDNVG00000002790	Dromaius_novaehollandiae
ENSNPEP00000006737	ENSNPEG00000005074	Nothoprocta_perdicaria
ENSABRP00000021591	ENSABRG00000018296	Anser_brachyrhynchus
ENSAPLP00000006714	ENSAPLG00000007084	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000000300	ENSMGAG00000000920	Meleagris_gallopavo
ENSGALP00000066198	ENSGALG00000047814	Gallus_gallus
ENSNMEP00000027174	ENSNMEG00000022773	Numida_meleagris
ENSCPUP00000010657	ENSCPUG00000007575	Calidris_pugnax
ENSCPGP00000013254	ENSCPGG00000009400	Calidris_pygmaea
ENSCPRP00005015147	ENSCPRG00005010632	Crocodylus_porosus
ENSGAGP00000023970	ENSGAGG00000017529	Gopherus_agassizii
ENSCABP00000017306	ENSCABG00000012841	Chelonoidis_abingdonii
ENSCPBP00000014309	ENSCPBG00000010659	Chrysemys_picta_bellii
ENSPSIP00000018289	ENSPSIG00000016244	Pelodiscus_sinensis
ENSLACP00000019489	ENSLACG00000017137	Latimeria_chalumnae
ENSCMIP00000020077	ENSCMIG00000009289	Callorhinchus_milii
ENSPCIP00000047676	ENSPCIG00000035165	Phascolarctos_cinereus
ENSPMAP00000003963	ENSPMAG00000003637	Petromyzon_marinus
