ENSGAGP00000027851	ENSGAGG00000020242	Gopherus_agassizii	ENSGAGT00000031637
ENSXMAP00000039096	ENSXMAG00000012059	Xiphophorus_maculatus
ENSACLP00000007689	ENSACLG00000005193	Astatotilapia_calliptera
ENSPEMP00000024761	ENSPEMG00000021396	Peromyscus_maniculatus_bairdii
ENSCGRP00000011583	ENSCGRG00000008447	Cricetulus_griseus_CriGri_1.0
ENSRBIP00000014966	ENSRBIG00000031586	Rhinopithecus_bieti
ENSXCOP00000012169	ENSXCOG00000009205	Xiphophorus_couchianus
ENSPCAP00000000568	ENSPCAG00000000571	Procavia_capensis
ENSBBBP00000026976	ENSBBBG00000023169	Bison_bison_bison
ENSNVIP00000008720	ENSNVIG00000006858	Neovison_vison
ENSOARP00000012807	ENSOARG00000011941	Ovis_aries
ENSNLEP00000003351	ENSNLEG00000002720	Nomascus_leucogenys
ENSCGOP00000019595	ENSCGOG00000009463	Cottoperca_gobio
ENSCPRP00005018100	ENSCPRG00005012534	Crocodylus_porosus
ENSTSYP00000021758	ENSTSYG00000031052	Carlito_syrichta
ENSCGOP00000019617	ENSCGOG00000009472	Cottoperca_gobio
ENSCCNP00000031046	ENSCCNG00000029622	Castor_canadensis
ENSSDUP00000004661	ENSSDUG00000003464	Seriola_dumerili
ENSPFOP00000028212	ENSPFOG00000004984	Poecilia_formosa
ENSBIXP00000019709	ENSBIXG00000023267	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSEEEP00000047650	ENSEEEG00000022421	Electrophorus_electricus
ENSOGAP00000015359	ENSOGAG00000017146	Otolemur_garnettii
ENSEEUP00000002897	ENSEEUG00000003147	Erinaceus_europaeus
ENSARWP00000023123	ENSARWG00000015767	Apteryx_rowi
ENSAMXP00005031543	ENSAMXG00005014985	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPANP00000041588	ENSPANG00000013784	Papio_anubis
ENSCPGP00000001165	ENSCPGG00000000603	Calidris_pygmaea
ENSPVAP00000006730	ENSPVAG00000007131	Pteropus_vampyrus
ENSPCOP00000016885	ENSPCOG00000020238	Propithecus_coquereli
ENSGALP00000069018	ENSGALG00000000748	Gallus_gallus
ENSBSLP00000004002	ENSBSLG00000002071	Betta_splendens
ENSPSIP00000015901	ENSPSIG00000014202	Pelodiscus_sinensis	ENSPSIT00000015976
ENSMOCP00000013938	ENSMOCG00000013578	Microtus_ochrogaster
ENSTGEP00000018588	ENSTGEG00000014971	Theropithecus_gelada
ENSZALP00000001808	ENSZALG00000002177	Zonotrichia_albicollis
ENSCSAP00000007199	ENSCSAG00000011066	Chlorocebus_sabaeus
ENSONIP00000003139	ENSONIG00000002505	Oreochromis_niloticus
ENSPNAP00000014392	ENSPNAG00000020314	Pygocentrus_nattereri
ENSXETP00000051985	ENSXETG00000020935	Xenopus_tropicalis
ENSCGRP00015002153	ENSCGRG00015001737	Cricetulus_griseus_CriGri-PICR
ENSCHAP00000024297	ENSCHAG00000011857	Clupea_harengus
MGP_SPRETEiJ_P0025276	MGP_SPRETEiJ_G0016449	Mus_spretus_strain_SPRET/EiJ
ENSSCAP00000001300	ENSSCAG00000001080	Serinus_canaria
ENSDCDP00000054309	ENSDCDG00000032292	Denticeps_clupeoides
ENSEASP00005032622	ENSEASG00005022268	Equus_asinus_asinus
ENSSLDP00000005934	ENSSLDG00000004734	Seriola_lalandi_dorsalis
ENSCCAP00000005030	ENSCCAG00000020120	Cebus_capucinus_imitator
ENSFALP00000012149	ENSFALG00000011640	Ficedula_albicollis
ENSLACP00000015979	ENSLACG00000014070	Latimeria_chalumnae
ENSGACP00000017486	ENSGACG00000013208	Gasterosteus_aculeatus
ENSAPOP00000001705	ENSAPOG00000003035	Acanthochromis_polyacanthus
ENSLBEP00000033035	ENSLBEG00000024888	Labrus_bergylta
ENSDNOP00000017504	ENSDNOG00000024613	Dasypus_novemcinctus
ENSORLP00015015740	ENSORLG00015016699	Oryzias_latipes_ASM223469v1
ENSAPLP00000023433	ENSAPLG00000004428	Anas_platyrhynchos_platyrhynchos
ENSPRNP00000026859	ENSPRNG00000013038	Parambassis_ranga
ENSHGLP00000020192	ENSHGLG00000014455	Heterocephalus_glaber_HetGla_female_1.0
ENSRROP00000006074	ENSRROG00000024434	Rhinopithecus_roxellana
ENSNMEP00000007909	ENSNMEG00000007856	Numida_meleagris
ENSSPUP00000020124	ENSSPUG00000015413	Sphenodon_punctatus	ENSSPUT00000021428
ENSVURP00010032408	ENSVURG00010024727	Vombatus_ursinus
ENSAOWP00000021254	ENSAOWG00000014366	Apteryx_owenii
ENSPPAP00000035850	ENSPPAG00000040704	Pan_paniscus
ENSPMJP00000005324	ENSPMJG00000004633	Parus_major
ENSXCOP00000012166	ENSXCOG00000009202	Xiphophorus_couchianus
ENSMNEP00000009255	ENSMNEG00000029063	Macaca_nemestrina
ENSATEP00000034644	ENSATEG00000023807	Anabas_testudineus
ENSUAMP00000027915	ENSUAMG00000021580	Ursus_americanus
MGP_CAROLIEiJ_P0024103	MGP_CAROLIEiJ_G0015631	Mus_caroli_strain_CAROLI_EIJ
ENSLCOP00000001760	ENSLCOG00000001402	Lepidothrix_coronata
ENSJHYP00000018429	ENSJHYG00000014019	Junco_hyemalis
ENSOMEP00000001830	ENSOMEG00000000054	Oryzias_melastigma
ENSMPUP00000004028	ENSMPUG00000004062	Mustela_putorius_furo
ENSAMXP00000016399	ENSAMXG00000015916	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMMMP00000019071	ENSMMMG00000016855	Marmota_marmota_marmota
ENSSMRP00000020981	ENSSMRG00000016339	Salvator_merianae	ENSSMRT00000024600
ENSCAFP00020023211	ENSCAFG00020018326	Canis_lupus_dingo
ENSNBRP00000030114	ENSNBRG00000022899	Neolamprologus_brichardi
ENSMVIP00005028331	ENSMVIG00005019733	Manacus_vitellinus
ENSCJPP00005006608	ENSCJPG00005006163	Coturnix_japonica
ENSCJAP00000051761	ENSCJAG00000014958	Callithrix_jacchus
ENSPTRP00000017461	ENSPTRG00000010274	Pan_troglodytes
ENSSBOP00000038864	ENSSBOG00000035488	Saimiri_boliviensis_boliviensis
ENSSMAP00000020680	ENSSMAG00000012656	Scophthalmus_maximus
ENSNGAP00000001697	ENSNGAG00000001234	Nannospalax_galili
ENSPMGP00000017561	ENSPMGG00000014368	Periophthalmus_magnuspinnatus
ENSGMOP00000008105	ENSGMOG00000007562	Gadus_morhua
ENSDARP00000025259	ENSDARG00000002909	Danio_rerio
ENSPMEP00000001170	ENSPMEG00000002047	Poecilia_mexicana
ENSLOCP00000005451	ENSLOCG00000004553	Lepisosteus_oculatus
ENSLCRP00005034816	ENSLCRG00005013525	Larimichthys_crocea
ENSSPAP00000023387	ENSSPAG00000017639	Stegastes_partitus
ENSBIXP00005009979	ENSBIXG00005002143	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCATP00000030514	ENSCATG00000038428	Cercocebus_atys
ENSMLEP00000004408	ENSMLEG00000019934	Mandrillus_leucophaeus
ENSELUP00000021422	ENSELUG00000020504	Esox_lucius
ENSAPEP00000012571	ENSAPEG00000008924	Amphiprion_percula
ENSSTOP00000018253	ENSSTOG00000024962	Ictidomys_tridecemlineatus
ENSLCAP00010021346	ENSLCAG00010010039	Lates_calcarifer
ENSSFOP00015009289	ENSSFOG00015006025	Scleropages_formosus
ENSMEUP00000011850	ENSMEUG00000012978	Notamacropus_eugenii
ENSCGRP00001001644	ENSCGRG00001001459	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAMP00000027873	ENSMAMG00000018725	Mastacembelus_armatus
ENSACIP00000031544	ENSACIG00000024369	Amphilophus_citrinellus
ENSAMEP00000006189	ENSAMEG00000005786	Ailuropoda_melanoleuca
ENSFHEP00000020375	ENSFHEG00000022318	Fundulus_heteroclitus
ENSBTAP00000057374	ENSBTAG00000018342	Bos_taurus
ENSODEP00000018333	ENSODEG00000013512	Octodon_degus
ENSHHUP00000080056	ENSHHUG00000046613	Hucho_hucho
ENSPKIP00000008820	ENSPKIG00000024159	Paramormyrops_kingsleyae
ENSGGOP00000021577	ENSGGOG00000004626	Gorilla_gorilla
ENSECRP00000021898	ENSECRG00000014758	Erpetoichthys_calabaricus
ENSABRP00000006061	ENSABRG00000005619	Anser_brachyrhynchus
ENSPREP00000009851	ENSPREG00000006711	Poecilia_reticulata
ENSCHIP00000018400	ENSCHIG00000017841	Capra_hircus
ENSPNYP00000026331	ENSPNYG00000019859	Pundamilia_nyererei
ENSAHAP00000012011	ENSAHAG00000008684	Apteryx_haastii
ENSSSCP00000040763	ENSSSCG00000013491	Sus_scrofa_strain_reference
ENSORLP00000019329	ENSORLG00000015436	Oryzias_latipes_ASM223467v1
ENSMMUP00000051746	ENSMMUG00000028930	Macaca_mulatta
ENSMUGP00000012362	ENSMUGG00000010700	Meriones_unguiculatus
ENSCPUP00000018666	ENSCPUG00000012819	Calidris_pugnax
ENSPSIP00000015645	ENSPSIG00000013977	Pelodiscus_sinensis	ENSPSIT00000015719
ENSLSDP00000020656	ENSLSDG00000014619	Lonchura_striata_domestica
ENSTNIP00000016172	ENSTNIG00000013189	Tetraodon_nigroviridis
ENSPPYP00000010525	ENSPPYG00000009384	Pongo_abelii
ENSTGUP00000000155	ENSTGUG00000000147	Taeniopygia_guttata
ENSMMOP00000001318	ENSMMOG00000001101	Mola_mola
ENSOPRP00000014866	ENSOPRG00000016275	Ochotona_princeps
ENSCMIP00000005035	ENSCMIG00000002971	Callorhinchus_milii
ENSHCOP00000000133	ENSHCOG00000000890	Hippocampus_comes
ENSP00000465419	ENSG00000105289	Homo_sapiens
ENSCCEP00000025669	ENSCCEG00000022646	Cyanistes_caeruleus
ENSMGAP00000000399	ENSMGAG00000000963	Meleagris_gallopavo
ENSUPAP00010010908	ENSUPAG00010008756	Urocitellus_parryii
MGP_PahariEiJ_P0087252	MGP_PahariEiJ_G0031044	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000027847	ENSRNOG00000020501	Rattus_norvegicus
ENSSHAP00000001615	ENSSHAG00000001439	Sarcophilus_harrisii
ENSPPRP00000020880	ENSPPRG00000011837	Panthera_pardus
ENSJJAP00000020126	ENSJJAG00000020883	Jaculus_jaculus
ENSETEP00000002805	ENSETEG00000003422	Echinops_telfairi
ENSDNVP00000007852	ENSDNVG00000005591	Dromaius_novaehollandiae
ENSCAFP00000028316	ENSCAFG00000019197	Canis_lupus_familiaris
ENSOANP00000010066	ENSOANG00000006294	Ornithorhynchus_anatinus
ENSMODP00000000697	ENSMODG00000000580	Monodelphis_domestica
ENSMICP00000049230	ENSMICG00000014731	Microcebus_murinus
ENSVVUP00000005514	ENSVVUG00000003419	Vulpes_vulpes
ENSOANP00000029212	ENSOANG00000028460	Ornithorhynchus_anatinus
ENSGAFP00000007431	ENSGAFG00000005028	Gambusia_affinis
ENSVPAP00000005082	ENSVPAG00000005468	Vicugna_pacos
ENSECAP00000030637	ENSECAG00000011885	Equus_caballus
ENSAOCP00000012223	ENSAOCG00000016681	Amphiprion_ocellaris
ENSPMEP00000025230	ENSPMEG00000008082	Poecilia_mexicana
ENSFCAP00000006622	ENSFCAG00000007142	Felis_catus
ENSCHOP00000007910	ENSCHOG00000008936	Choloepus_hoffmanni
ENSMZEP00005014242	ENSMZEG00005010715	Maylandia_zebra
ENSCANP00000021642	ENSCANG00000034253	Colobus_angolensis_palliatus
ENSMALP00000031675	ENSMALG00000021853	Monopterus_albus
ENSMLUP00000009801	ENSMLUG00000010732	Myotis_lucifugus
ENSFDAP00000022114	ENSFDAG00000007216	Fukomys_damarensis
ENSPKIP00000008842	ENSPKIG00000024175	Paramormyrops_kingsleyae
ENSPVIP00000018486	ENSPVIG00000014134	Pogona_vitticeps	ENSPVIT00000022964
ENSANAP00000022184	ENSANAG00000028837	Aotus_nancymaae
ENSTRUP00000046597	ENSTRUG00000018210	Takifugu_rubripes
ENSHHUP00000046318	ENSHHUG00000028117	Hucho_hucho
ENSNPEP00000018204	ENSNPEG00000013432	Nothoprocta_perdicaria
ENSHBUP00000027520	ENSHBUG00000010809	Haplochromis_burtoni
ENSIPUP00000000712	ENSIPUG00000000521	Ictalurus_punctatus
ENSDORP00000008874	ENSDORG00000009449	Dipodomys_ordii
ENSMSIP00000028892	ENSMSIG00000024242	Mus_spicilegus
ENSCLAP00000011656	ENSCLAG00000008035	Chinchilla_lanigera
ENSCSEP00000010923	ENSCSEG00000006942	Cynoglossus_semilaevis
ENSPCIP00000034302	ENSPCIG00000025374	Phascolarctos_cinereus
