ENSIPUP00000002907	ENSIPUG00000002082	Ictalurus_punctatus
ENSEEEP00000004702	ENSEEEG00000002457	Electrophorus_electricus
ENSAMXP00005007434	ENSAMXG00005004441	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000049860	ENSAMXG00000043921	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000016764	ENSPNAG00000022942	Pygocentrus_nattereri
ENSDARP00000078265	ENSDARG00000059906	Danio_rerio
ENSTNIP00000008668	ENSTNIG00000005934	Tetraodon_nigroviridis
ENSHCOP00000011420	ENSHCOG00000014227	Hippocampus_comes
ENSHHUP00000004619	ENSHHUG00000002889	Hucho_hucho
ENSHHUP00000034953	ENSHHUG00000022013	Hucho_hucho
ENSELUP00000035507	ENSELUG00000014499	Esox_lucius
ENSACLP00000019598	ENSACLG00000013335	Astatotilapia_calliptera
ENSPNYP00000025570	ENSPNYG00000019303	Pundamilia_nyererei
ENSMZEP00005011959	ENSMZEG00005008973	Maylandia_zebra
ENSHBUP00000026707	ENSHBUG00000009515	Haplochromis_burtoni
ENSNBRP00000009665	ENSNBRG00000007553	Neolamprologus_brichardi
ENSONIP00000023363	ENSONIG00000018558	Oreochromis_niloticus
ENSKMAP00000006670	ENSKMAG00000005019	Kryptolebias_marmoratus
ENSSPAP00000023431	ENSSPAG00000017666	Stegastes_partitus
ENSACIP00000019799	ENSACIG00000015387	Amphilophus_citrinellus
ENSCVAP00000016007	ENSCVAG00000018887	Cyprinodon_variegatus
ENSFHEP00000011088	ENSFHEG00000012466	Fundulus_heteroclitus
ENSPLAP00000031315	ENSPLAG00000023192	Poecilia_latipinna
ENSPFOP00000014625	ENSPFOG00000014599	Poecilia_formosa
ENSPMEP00000028053	ENSPMEG00000012848	Poecilia_mexicana
ENSPREP00000031900	ENSPREG00000021611	Poecilia_reticulata
ENSXCOP00000023215	ENSXCOG00000017345	Xiphophorus_couchianus
ENSGAFP00000027214	ENSGAFG00000018390	Gambusia_affinis
ENSXMAP00000028526	ENSXMAG00000028307	Xiphophorus_maculatus
ENSORLP00000003723	ENSORLG00000002981	Oryzias_latipes_ASM223467v1
ENSORLP00020001044	ENSORLG00020001751	Oryzias_latipes_ASM223471v1
ENSORLP00015033753	ENSORLG00015019314	Oryzias_latipes_ASM223469v1
ENSOMEP00000023458	ENSOMEG00000003570	Oryzias_melastigma
ENSPRNP00000028010	ENSPRNG00000013996	Parambassis_ranga
ENSGWIP00000009197	ENSGWIG00000005480	Gouania_willdenowi
ENSLCAP00010004956	ENSLCAG00010002524	Lates_calcarifer
ENSCSEP00000008824	ENSCSEG00000005655	Cynoglossus_semilaevis
ENSSDUP00000024310	ENSSDUG00000017673	Seriola_dumerili
ENSSLDP00000014488	ENSSLDG00000011585	Seriola_lalandi_dorsalis
ENSMMOP00000021391	ENSMMOG00000016260	Mola_mola
ENSCGOP00000003991	ENSCGOG00000002101	Cottoperca_gobio
ENSTRUP00000028067	ENSTRUG00000011119	Takifugu_rubripes
ENSLCRP00005010455	ENSLCRG00005004798	Larimichthys_crocea
ENSLBEP00000020568	ENSLBEG00000015828	Labrus_bergylta
ENSSMAP00000009386	ENSSMAG00000005783	Scophthalmus_maximus
ENSAPEP00000032508	ENSAPEG00000023088	Amphiprion_percula
