ENSPCIP00000034356	ENSPCIG00000025387	Phascolarctos_cinereus	ENSPCIT00000042265
ENSVURP00010005305	ENSVURG00010004117	Vombatus_ursinus	ENSVURT00010006010
ENSMEUP00000005803	ENSMEUG00000006339	Notamacropus_eugenii	ENSMEUT00000006372
ENSSHAP00000016557	ENSSHAG00000014084	Sarcophilus_harrisii	ENSSHAT00000016696
ENSMODP00000059917	ENSMODG00000038134	Monodelphis_domestica	ENSMODT00000052906
ENSPPAP00000024969	ENSPPAG00000035586	Pan_paniscus	ENSPPAT00000047795
ENSPTRP00000005885	ENSPTRG00000003370	Pan_troglodytes	ENSPTRT00000006377
ENSP00000256194	ENSG00000133816	Homo_sapiens
ENSGGOP00000012723	ENSGGOG00000013027	Gorilla_gorilla
ENSPPYP00000003993	ENSPPYG00000003477	Pongo_abelii
ENSNLEP00000021438	ENSNLEG00000017665	Nomascus_leucogenys
ENSPTEP00000008824	ENSPTEG00000009947	Piliocolobus_tephrosceles
ENSCANP00000012857	ENSCANG00000029702	Colobus_angolensis_palliatus
ENSRBIP00000014304	ENSRBIG00000031181	Rhinopithecus_bieti
ENSRROP00000026522	ENSRROG00000036977	Rhinopithecus_roxellana
ENSMFAP00000035248	ENSMFAG00000003872	Macaca_fascicularis
ENSMNEP00000022712	ENSMNEG00000035003	Macaca_nemestrina
ENSMMUP00000027574	ENSMMUG00000020953	Macaca_mulatta
ENSTGEP00000018859	ENSTGEG00000015176	Theropithecus_gelada
ENSPANP00000039089	ENSPANG00000013189	Papio_anubis
ENSMLEP00000039779	ENSMLEG00000043899	Mandrillus_leucophaeus
ENSCATP00000045556	ENSCATG00000045145	Cercocebus_atys
ENSCSAP00000000995	ENSCSAG00000004666	Chlorocebus_sabaeus
ENSSBOP00000003885	ENSSBOG00000016986	Saimiri_boliviensis_boliviensis
ENSCCAP00000014368	ENSCCAG00000024846	Cebus_capucinus_imitator
ENSCJAP00000019324	ENSCJAG00000010368	Callithrix_jacchus
ENSANAP00000039503	ENSANAG00000037113	Aotus_nancymaae
ENSTSYP00000011510	ENSTSYG00000012548	Carlito_syrichta
ENSPCOP00000021456	ENSPCOG00000022740	Propithecus_coquereli
ENSPSMP00000029306	ENSPSMG00000020339	Prolemur_simus
ENSMICP00000023963	ENSMICG00000004280	Microcebus_murinus
ENSOGAP00000010654	ENSOGAG00000011909	Otolemur_garnettii
ENSCCNP00000024483	ENSCCNG00000023940	Castor_canadensis
ENSDORP00000007680	ENSDORG00000008186	Dipodomys_ordii
ENSMSIP00000034093	ENSMSIG00000028461	Mus_spicilegus
MGP_SPRETEiJ_P0084982	MGP_SPRETEiJ_G0031449	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000047639	ENSMUSG00000038244	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0081598	MGP_CAROLIEiJ_G0030334	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0018404	MGP_PahariEiJ_G0013546	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000074877	ENSRNOG00000016244	Rattus_norvegicus
ENSMUGP00000012257	ENSMUGG00000010634	Meriones_unguiculatus
ENSPEMP00000006067	ENSPEMG00000008404	Peromyscus_maniculatus_bairdii
ENSMOCP00000001222	ENSMOCG00000000924	Microtus_ochrogaster
ENSCGRP00001018345	ENSCGRG00001018120	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005317	ENSCGRG00000003889	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015009483	ENSCGRG00015007138	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000006635	ENSMAUG00000008513	Mesocricetus_auratus
ENSNGAP00000021535	ENSNGAG00000020678	Nannospalax_galili
ENSJJAP00000020688	ENSJJAG00000021294	Jaculus_jaculus
