ENSHHUP00000038507	ENSHHUG00000024024	Hucho_hucho
ENSELUP00000004897	ENSELUG00000005999	Esox_lucius
ENSMMOP00000007750	ENSMMOG00000006028	Mola_mola
ENSTRUP00000034263	ENSTRUG00000013437	Takifugu_rubripes
ENSLCRP00005001961	ENSLCRG00005000987	Larimichthys_crocea
ENSLBEP00000030495	ENSLBEG00000023037	Labrus_bergylta
ENSMAMP00000019776	ENSMAMG00000013326	Mastacembelus_armatus
ENSMALP00000020184	ENSMALG00000014093	Monopterus_albus
ENSATEP00000019679	ENSATEG00000013717	Anabas_testudineus
ENSBSLP00000006949	ENSBSLG00000003416	Betta_splendens
ENSSLDP00000016741	ENSSLDG00000013257	Seriola_lalandi_dorsalis
ENSSDUP00000028105	ENSSDUG00000020300	Seriola_dumerili
ENSSMAP00000030917	ENSSMAG00000018947	Scophthalmus_maximus
ENSAOCP00000031216	ENSAOCG00000022749	Amphiprion_ocellaris
ENSAPEP00000023882	ENSAPEG00000016965	Amphiprion_percula
ENSSPAP00000018269	ENSSPAG00000013760	Stegastes_partitus
ENSAPOP00000000589	ENSAPOG00000001775	Acanthochromis_polyacanthus
ENSPRNP00000010538	ENSPRNG00000006046	Parambassis_ranga
ENSMZEP00005027706	ENSMZEG00005020657	Maylandia_zebra
ENSACLP00000026690	ENSACLG00000018156	Astatotilapia_calliptera
ENSHBUP00000035347	ENSHBUG00000023438	Haplochromis_burtoni
ENSPNYP00000016266	ENSPNYG00000012286	Pundamilia_nyererei
ENSONIP00000003919	ENSONIG00000003127	Oreochromis_niloticus
ENSACIP00000000631	ENSACIG00000000534	Amphilophus_citrinellus
ENSGWIP00000041041	ENSGWIG00000020676	Gouania_willdenowi
ENSPMEP00000031045	ENSPMEG00000017886	Poecilia_mexicana
ENSPFOP00000030745	ENSPFOG00000018688	Poecilia_formosa
ENSPREP00000027054	ENSPREG00000018283	Poecilia_reticulata
ENSXMAP00000038193	ENSXMAG00000013866	Xiphophorus_maculatus
ENSGAFP00000028434	ENSGAFG00000019227	Gambusia_affinis
ENSCVAP00000011535	ENSCVAG00000013806	Cyprinodon_variegatus
ENSKMAP00000018509	ENSKMAG00000013762	Kryptolebias_marmoratus
ENSORLP00000044822	ENSORLG00000016281	Oryzias_latipes_ASM223467v1
ENSORLP00020016985	ENSORLG00020018014	Oryzias_latipes_ASM223471v1
ENSORLP00015012765	ENSORLG00015013623	Oryzias_latipes_ASM223469v1
ENSOMEP00000004275	ENSOMEG00000005255	Oryzias_melastigma
ENSGMOP00000012864	ENSGMOG00000012008	Gadus_morhua
ENSIPUP00000001874	ENSIPUG00000001337	Ictalurus_punctatus
ENSEEEP00000006329	ENSEEEG00000003366	Electrophorus_electricus
ENSAMXP00005009873	ENSAMXG00005005583	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000000949	ENSAMXG00000000917	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000019659	ENSPNAG00000026309	Pygocentrus_nattereri
ENSCHAP00000047463	ENSCHAG00000021903	Clupea_harengus
