ENSLACP00000023019	ENSLACG00000022428	Latimeria_chalumnae	ENSLACT00000025228
ENSLACP00000019828	ENSLACG00000017435	Latimeria_chalumnae	ENSLACT00000019966
ENSPVAP00000003842	ENSPVAG00000004059	Pteropus_vampyrus
ENSMLUP00000002040	ENSMLUG00000002221	Myotis_lucifugus
ENSUMAP00000016076	ENSUMAG00000011704	Ursus_maritimus
ENSUAMP00000022326	ENSUAMG00000017546	Ursus_americanus
ENSAMEP00000004454	ENSAMEG00000004160	Ailuropoda_melanoleuca
ENSNVIP00000012012	ENSNVIG00000009218	Neovison_vison
ENSMPUP00000017943	ENSMPUG00000018054	Mustela_putorius_furo
ENSCAFP00000051137	ENSCAFG00000015993	Canis_lupus_familiaris
ENSCAFP00020015038	ENSCAFG00020012026	Canis_lupus_dingo
ENSVVUP00000027987	ENSVVUG00000020408	Vulpes_vulpes
ENSFCAP00000029958	ENSFCAG00000031264	Felis_catus
ENSPTIP00000001696	ENSPTIG00000003164	Panthera_tigris_altaica
ENSPPRP00000013983	ENSPPRG00000007443	Panthera_pardus
ENSECAP00000020725	ENSECAG00000022862	Equus_caballus
ENSEASP00005012097	ENSEASG00005008444	Equus_asinus_asinus
ENSPTRP00000072604	ENSPTRG00000004521	Pan_troglodytes
ENSPPAP00000016699	ENSPPAG00000031396	Pan_paniscus
ENSP00000372169	ENSG00000151062	Homo_sapiens
ENSGGOP00000010377	ENSGGOG00000010619	Gorilla_gorilla
ENSPPYP00000004721	ENSPPYG00000004143	Pongo_abelii
ENSNLEP00000040667	ENSNLEG00000008671	Nomascus_leucogenys
ENSCANP00000009571	ENSCANG00000028012	Colobus_angolensis_palliatus
ENSPTEP00000037962	ENSPTEG00000035338	Piliocolobus_tephrosceles
ENSRROP00000023889	ENSRROG00000035741	Rhinopithecus_roxellana
ENSTGEP00000024915	ENSTGEG00000020095	Theropithecus_gelada
ENSPANP00000007825	ENSPANG00000010413	Papio_anubis
ENSMFAP00000011695	ENSMFAG00000008215	Macaca_fascicularis
ENSMNEP00000001825	ENSMNEG00000007990	Macaca_nemestrina
ENSMMUP00000022718	ENSMMUG00000017265	Macaca_mulatta
