ENSATEP00000011643	ENSATEG00000008147	Anabas_testudineus
ENSBSLP00000045302	ENSBSLG00000021621	Betta_splendens
ENSMAMP00000013347	ENSMAMG00000009058	Mastacembelus_armatus
ENSTRUP00000052048	ENSTRUG00000024911	Takifugu_rubripes
ENSHBUP00000015984	ENSHBUG00000017916	Haplochromis_burtoni
ENSPNYP00000017054	ENSPNYG00000012921	Pundamilia_nyererei
ENSGWIP00000036710	ENSGWIG00000018889	Gouania_willdenowi
ENSPRNP00000005055	ENSPRNG00000002928	Parambassis_ranga
ENSXMAP00000024216	ENSXMAG00000022889	Xiphophorus_maculatus
ENSGAFP00000014844	ENSGAFG00000010028	Gambusia_affinis
ENSKMAP00000026737	ENSKMAG00000019839	Kryptolebias_marmoratus
ENSORLP00020016888	ENSORLG00020017927	Oryzias_latipes_ASM223471v1
ENSORLP00000018983	ENSORLG00000015150	Oryzias_latipes_ASM223467v1
ENSORLP00015002183	ENSORLG00015002822	Oryzias_latipes_ASM223469v1
ENSOMEP00000019203	ENSOMEG00000000554	Oryzias_melastigma
ENSSLDP00000028619	ENSSLDG00000022124	Seriola_lalandi_dorsalis
ENSELUP00000016652	ENSELUG00000016420	Esox_lucius
ENSCHAP00000013257	ENSCHAG00000007300	Clupea_harengus
ENSDCDP00000024601	ENSDCDG00000018491	Denticeps_clupeoides
ENSAMXP00000024957	ENSAMXG00000024248	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000024958
ENSAMXP00005006944	ENSAMXG00005004153	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000037236	ENSPNAG00000004847	Pygocentrus_nattereri
ENSIPUP00000013009	ENSIPUG00000008874	Ictalurus_punctatus
