ENSPMAP00000006215	ENSPMAG00000005639	Petromyzon_marinus
ENSEBUP00000005604	ENSEBUG00000003796	Eptatretus_burgeri
ENSDCDP00000021076	ENSDCDG00000016631	Denticeps_clupeoides	ENSDCDT00000029080
ENSCHAP00000053422	ENSCHAG00000024278	Clupea_harengus	ENSCHAT00000057620
ENSEEEP00000045334	ENSEEEG00000021397	Electrophorus_electricus	ENSEEET00000045841
ENSIPUP00000006075	ENSIPUG00000004209	Ictalurus_punctatus	ENSIPUT00000006348
ENSAMXP00005003480	ENSAMXG00005002042	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00005003639	ENSAMXG00005002250	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000009569	ENSAMXG00000009304	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000034929	ENSPNAG00000024525	Pygocentrus_nattereri
ENSDARP00000102971	ENSDARG00000074663	Danio_rerio
ENSHCOP00000012908	ENSHCOG00000015976	Hippocampus_comes
ENSPMGP00000028654	ENSPMGG00000023064	Periophthalmus_magnuspinnatus
ENSFHEP00000007249	ENSFHEG00000008366	Fundulus_heteroclitus
ENSCVAP00000016407	ENSCVAG00000019384	Cyprinodon_variegatus
ENSPFOP00000008465	ENSPFOG00000008498	Poecilia_formosa
ENSPLAP00000009662	ENSPLAG00000012472	Poecilia_latipinna
ENSPMEP00000017069	ENSPMEG00000019828	Poecilia_mexicana
ENSPREP00000032498	ENSPREG00000022023	Poecilia_reticulata
ENSXMAP00000010409	ENSXMAG00000010390	Xiphophorus_maculatus
ENSXCOP00000015787	ENSXCOG00000011928	Xiphophorus_couchianus
ENSGAFP00000011805	ENSGAFG00000008004	Gambusia_affinis
ENSORLP00000034630	ENSORLG00000009526	Oryzias_latipes_ASM223467v1
ENSORLP00015024412	ENSORLG00015004946	Oryzias_latipes_ASM223469v1
ENSORLP00020000837	ENSORLG00020001543	Oryzias_latipes_ASM223471v1
ENSOMEP00000022515	ENSOMEG00000002104	Oryzias_melastigma
ENSBSLP00000053209	ENSBSLG00000025090	Betta_splendens
ENSLBEP00000023555	ENSLBEG00000018073	Labrus_bergylta
ENSMAMP00000007901	ENSMAMG00000005378	Mastacembelus_armatus
ENSATEP00000031521	ENSATEG00000021729	Anabas_testudineus
ENSCSEP00000014307	ENSCSEG00000009201	Cynoglossus_semilaevis
ENSPRNP00000009156	ENSPRNG00000005379	Parambassis_ranga
ENSKMAP00000025677	ENSKMAG00000019012	Kryptolebias_marmoratus
ENSACLP00000009008	ENSACLG00000006133	Astatotilapia_calliptera
ENSMZEP00005005644	ENSMZEG00005004367	Maylandia_zebra
ENSHBUP00000020673	ENSHBUG00000022948	Haplochromis_burtoni
ENSPNYP00000027910	ENSPNYG00000021016	Pundamilia_nyererei
ENSNBRP00000015412	ENSNBRG00000011938	Neolamprologus_brichardi
ENSONIP00000012139	ENSONIG00000009663	Oreochromis_niloticus
ENSACIP00000022013	ENSACIG00000017115	Amphilophus_citrinellus
ENSSDUP00000032292	ENSSDUG00000023198	Seriola_dumerili
ENSSLDP00000001982	ENSSLDG00000001625	Seriola_lalandi_dorsalis
ENSLCAP00010030320	ENSLCAG00010014264	Lates_calcarifer
ENSAOCP00000019667	ENSAOCG00000003217	Amphiprion_ocellaris
ENSAPOP00000022286	ENSAPOG00000003390	Acanthochromis_polyacanthus
ENSCGOP00000049918	ENSCGOG00000022199	Cottoperca_gobio
ENSGACP00000008673	ENSGACG00000006560	Gasterosteus_aculeatus
ENSTNIP00000019652	ENSTNIG00000016552	Tetraodon_nigroviridis
ENSTRUP00000037715	ENSTRUG00000014755	Takifugu_rubripes
ENSMMOP00000015350	ENSMMOG00000011717	Mola_mola
ENSSPAP00000008766	ENSSPAG00000006653	Stegastes_partitus
ENSGWIP00000041765	ENSGWIG00000021008	Gouania_willdenowi
ENSLCRP00005039113	ENSLCRG00005015153	Larimichthys_crocea
ENSSMAP00000008648	ENSSMAG00000005340	Scophthalmus_maximus
ENSMALP00000021231	ENSMALG00000014819	Monopterus_albus
ENSGMOP00000006224	ENSGMOG00000005851	Gadus_morhua
ENSPFOP00000008586	ENSPFOG00000008628	Poecilia_formosa
ENSPLAP00000028826	ENSPLAG00000018505	Poecilia_latipinna
ENSPMEP00000009700	ENSPMEG00000011576	Poecilia_mexicana
ENSPREP00000004052	ENSPREG00000002890	Poecilia_reticulata
ENSXMAP00000023994	ENSXMAG00000029108	Xiphophorus_maculatus
ENSGAFP00000007903	ENSGAFG00000005380	Gambusia_affinis
ENSFHEP00000027722	ENSFHEG00000011356	Fundulus_heteroclitus
ENSCVAP00000019048	ENSCVAG00000022376	Cyprinodon_variegatus
ENSORLP00000010816	ENSORLG00000008621	Oryzias_latipes_ASM223467v1
ENSORLP00020026186	ENSORLG00020008519	Oryzias_latipes_ASM223471v1
ENSORLP00015006258	ENSORLG00015007069	Oryzias_latipes_ASM223469v1
ENSOMEP00000012390	ENSOMEG00000013763	Oryzias_melastigma
ENSGWIP00000056154	ENSGWIG00000026649	Gouania_willdenowi
ENSCSEP00000013306	ENSCSEG00000008590	Cynoglossus_semilaevis
ENSAPEP00000019750	ENSAPEG00000014108	Amphiprion_percula
ENSAOCP00000002999	ENSAOCG00000006202	Amphiprion_ocellaris
ENSAPOP00000016829	ENSAPOG00000019952	Acanthochromis_polyacanthus
ENSSPAP00000025989	ENSSPAG00000019621	Stegastes_partitus
ENSPRNP00000054139	ENSPRNG00000025466	Parambassis_ranga
ENSMZEP00005021399	ENSMZEG00005016073	Maylandia_zebra
ENSACLP00000010406	ENSACLG00000007118	Astatotilapia_calliptera
ENSPNYP00000026539	ENSPNYG00000020011	Pundamilia_nyererei
ENSHBUP00000015015	ENSHBUG00000016907	Haplochromis_burtoni
ENSNBRP00000020058	ENSNBRG00000015447	Neolamprologus_brichardi
ENSONIP00000020380	ENSONIG00000016183	Oreochromis_niloticus
ENSACIP00000031705	ENSACIG00000024491	Amphilophus_citrinellus
ENSKMAP00000022003	ENSKMAG00000016342	Kryptolebias_marmoratus
ENSSLDP00000026182	ENSSLDG00000020334	Seriola_lalandi_dorsalis
ENSSDUP00000028513	ENSSDUG00000020568	Seriola_dumerili
ENSLCAP00010005005	ENSLCAG00010002542	Lates_calcarifer
ENSSMAP00000001849	ENSSMAG00000001158	Scophthalmus_maximus
ENSLCRP00005056183	ENSLCRG00005020925	Larimichthys_crocea
ENSMMOP00000018317	ENSMMOG00000013865	Mola_mola
ENSCGOP00000052667	ENSCGOG00000023178	Cottoperca_gobio
ENSGACP00000002871	ENSGACG00000002197	Gasterosteus_aculeatus
ENSTNIP00000016147	ENSTNIG00000013164	Tetraodon_nigroviridis
ENSTRUP00000034857	ENSTRUG00000013638	Takifugu_rubripes
ENSLBEP00000009268	ENSLBEG00000007177	Labrus_bergylta
ENSMALP00000032622	ENSMALG00000022452	Monopterus_albus
ENSMAMP00000025217	ENSMAMG00000016937	Mastacembelus_armatus
ENSATEP00000033320	ENSATEG00000022974	Anabas_testudineus
ENSBSLP00000034606	ENSBSLG00000016846	Betta_splendens
ENSHCOP00000025358	ENSHCOG00000015445	Hippocampus_comes
ENSPMGP00000004063	ENSPMGG00000003472	Periophthalmus_magnuspinnatus
ENSGMOP00000000226	ENSGMOG00000000224	Gadus_morhua
ENSHHUP00000080451	ENSHHUG00000046843	Hucho_hucho
ENSHHUP00000068613	ENSHHUG00000040423	Hucho_hucho
ENSELUP00000011456	ENSELUG00000011826	Esox_lucius
ENSGWIP00000005809	ENSGWIG00000003343	Gouania_willdenowi
ENSGWIP00000009976	ENSGWIG00000005894	Gouania_willdenowi
ENSGWIP00000005444	ENSGWIG00000002972	Gouania_willdenowi
ENSGWIP00000005507	ENSGWIG00000003024	Gouania_willdenowi
ENSHHUP00000016730	ENSHHUG00000010437	Hucho_hucho
ENSDCDP00000001930	ENSDCDG00000000998	Denticeps_clupeoides
ENSDCDP00000000228	ENSDCDG00000000134	Denticeps_clupeoides
ENSAMXP00000006872	ENSAMXG00000006691	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005021594	ENSAMXG00005011193	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000017394	ENSPNAG00000023661	Pygocentrus_nattereri
