ENSSPUP00000003014	ENSSPUG00000002330	Sphenodon_punctatus	ENSSPUT00000003199
ENSSPUP00000003077	ENSSPUG00000002352	Sphenodon_punctatus	ENSSPUT00000003268
ENSPVIP00000031877	ENSPVIG00000021369	Pogona_vitticeps
ENSACAP00000005132	ENSACAG00000005200	Anolis_carolinensis
ENSNSUP00000009896	ENSNSUG00000007524	Notechis_scutatus	ENSNSUT00000010565
ENSSMRP00000022670	ENSSMRG00000014700	Salvator_merianae
ENSMUNP00000014818	ENSMUNG00000011521	Melopsittacus_undulatus
ENSMUNP00000014819	ENSMUNG00000011522	Melopsittacus_undulatus
ENSCPGP00000002208	ENSCPGG00000001579	Calidris_pygmaea
ENSCPGP00000002226	ENSCPGG00000001642	Calidris_pygmaea
ENSCPUP00000005146	ENSCPUG00000003778	Calidris_pugnax
ENSCPUP00000005136	ENSCPUG00000003747	Calidris_pugnax
ENSJHYP00000001297	ENSJHYG00000001121	Junco_hyemalis
ENSJHYP00000001277	ENSJHYG00000001112	Junco_hyemalis
ENSJHYP00000001309	ENSJHYG00000001131	Junco_hyemalis
ENSZALP00000008445	ENSZALG00000007365	Zonotrichia_albicollis
ENSZALP00000008447	ENSZALG00000007367	Zonotrichia_albicollis
ENSZALP00000008446	ENSZALG00000007366	Zonotrichia_albicollis
ENSSCAP00000018183	ENSSCAG00000012791	Serinus_canaria
ENSLSDP00000015223	ENSLSDG00000010964	Lonchura_striata_domestica
ENSTGUP00000005983	ENSTGUG00000005732	Taeniopygia_guttata
ENSCCEP00000003377	ENSCCEG00000003005	Cyanistes_caeruleus
ENSCCEP00000002674	ENSCCEG00000001762	Cyanistes_caeruleus
ENSPMJP00000026487	ENSPMJG00000019363	Parus_major
ENSFALP00000002431	ENSFALG00000002310	Ficedula_albicollis
ENSLCOP00000007090	ENSLCOG00000005084	Lepidothrix_coronata
ENSMVIP00005005657	ENSMVIG00005002686	Manacus_vitellinus
ENSAPLP00000007771	ENSAPLG00000007981	Anas_platyrhynchos_platyrhynchos
ENSABRP00000015449	ENSABRG00000006282	Anser_brachyrhynchus
ENSGALP00000009224	ENSGALG00000005752	Gallus_gallus
ENSMGAP00000007898	ENSMGAG00000007608	Meleagris_gallopavo
ENSCJPP00005008818	ENSCJPG00005004231	Coturnix_japonica
ENSNMEP00000024055	ENSNMEG00000018886	Numida_meleagris
ENSARWP00000021960	ENSARWG00000014968	Apteryx_rowi
ENSAOWP00000003822	ENSAOWG00000002644	Apteryx_owenii
ENSAHAP00000007371	ENSAHAG00000005531	Apteryx_haastii
ENSAHAP00000007360	ENSAHAG00000005527	Apteryx_haastii
ENSDNVP00000013385	ENSDNVG00000008118	Dromaius_novaehollandiae
ENSNPEP00000004814	ENSNPEG00000003612	Nothoprocta_perdicaria
ENSCPRP00005023237	ENSCPRG00005015301	Crocodylus_porosus
ENSGAGP00000022076	ENSGAGG00000014248	Gopherus_agassizii
ENSCABP00000020296	ENSCABG00000014973	Chelonoidis_abingdonii
ENSCPBP00000024357	ENSCPBG00000017387	Chrysemys_picta_bellii
ENSPSIP00000008878	ENSPSIG00000007886	Pelodiscus_sinensis
ENSPCIP00000026754	ENSPCIG00000033923	Phascolarctos_cinereus
ENSPCIP00000026764	ENSPCIG00000019811	Phascolarctos_cinereus
ENSVURP00010024650	ENSVURG00010012781	Vombatus_ursinus
ENSMEUP00000006529	ENSMEUG00000007104	Notamacropus_eugenii
ENSSHAP00000008169	ENSSHAG00000007079	Sarcophilus_harrisii
ENSMODP00000005823	ENSMODG00000004723	Monodelphis_domestica
ENSOANP00000031627	ENSOANG00000028541	Ornithorhynchus_anatinus
ENSOANP00000032123	ENSOANG00000029969	Ornithorhynchus_anatinus
ENSOANP00000005601	ENSOANG00000003535	Ornithorhynchus_anatinus
ENSFDAP00000009487	ENSFDAG00000017478	Fukomys_damarensis
ENSNGAP00000000132	ENSNGAG00000000115	Nannospalax_galili
ENSBIXP00000018854	ENSBIXG00000006512	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000023982	ENSBTAG00000018010	Bos_taurus
ENSBIXP00005002274	ENSBIXG00005008650	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000025853	ENSBBBG00000021372	Bison_bison_bison
ENSBMUP00000020270	ENSBMUG00000015263	Bos_mutus
ENSOARP00000018379	ENSOARG00000017114	Ovis_aries
ENSCHIP00000023699	ENSCHIG00000021104	Capra_hircus
ENSTTRP00000000865	ENSTTRG00000000918	Tursiops_truncatus
ENSVPAP00000008103	ENSVPAG00000008705	Vicugna_pacos
ENSSSCP00000007345	ENSSSCG00000006890	Sus_scrofa_strain_reference
ENSECAP00000012367	ENSECAG00000013379	Equus_caballus
ENSEASP00005022942	ENSEASG00005015609	Equus_asinus_asinus
ENSPVAP00000012748	ENSPVAG00000013508	Pteropus_vampyrus
ENSMLUP00000012176	ENSMLUG00000013363	Myotis_lucifugus
ENSUAMP00000036400	ENSUAMG00000027579	Ursus_americanus
ENSUMAP00000013844	ENSUMAG00000010104	Ursus_maritimus
ENSAMEP00000010143	ENSAMEG00000009466	Ailuropoda_melanoleuca
ENSNVIP00000024391	ENSNVIG00000018869	Neovison_vison
ENSMPUP00000003363	ENSMPUG00000003394	Mustela_putorius_furo
ENSCAFP00000004971	ENSCAFG00000020121	Canis_lupus_familiaris
ENSCAFP00020014756	ENSCAFG00020011889	Canis_lupus_dingo
ENSVVUP00000029899	ENSVVUG00000021843	Vulpes_vulpes
ENSPPRP00000018236	ENSPPRG00000009986	Panthera_pardus
ENSPTIP00000019538	ENSPTIG00000017238	Panthera_tigris_altaica
ENSFCAP00000014391	ENSFCAG00000015512	Felis_catus
ENSEEUP00000009405	ENSEEUG00000010196	Erinaceus_europaeus
ENSSARP00000001829	ENSSARG00000001903	Sorex_araneus
ENSPPAP00000024958	ENSPPAG00000035606	Pan_paniscus
ENSPTRP00000062840	ENSPTRG00000023377	Pan_troglodytes
ENSP00000359245	ENSG00000198691	Homo_sapiens
ENSGGOP00000008622	ENSGGOG00000008804	Gorilla_gorilla
ENSPPYP00000001322	ENSPPYG00000001142	Pongo_abelii
ENSNLEP00000013293	ENSNLEG00000010897	Nomascus_leucogenys
ENSCATP00000003436	ENSCATG00000012953	Cercocebus_atys
ENSMLEP00000011020	ENSMLEG00000029658	Mandrillus_leucophaeus
ENSTGEP00000030506	ENSTGEG00000024459	Theropithecus_gelada
ENSPANP00000009963	ENSPANG00000005744	Papio_anubis
ENSMFAP00000018204	ENSMFAG00000032139	Macaca_fascicularis
ENSMNEP00000016575	ENSMNEG00000032250	Macaca_nemestrina
ENSMMUP00000018214	ENSMMUG00000013858	Macaca_mulatta
ENSCSAP00000016543	ENSCSAG00000001482	Chlorocebus_sabaeus
