ENSUPAP00010003543	ENSUPAG00010002919	Urocitellus_parryii
ENSSTOP00000008363	ENSSTOG00000009319	Ictidomys_tridecemlineatus
ENSSDAP00000004442	ENSSDAG00000004174	Spermophilus_dauricus
ENSMMMP00000005743	ENSMMMG00000005172	Marmota_marmota_marmota
ENSCCNP00000023273	ENSCCNG00000022880	Castor_canadensis
ENSDORP00000014853	ENSDORG00000015787	Dipodomys_ordii
ENSMSIP00000025931	ENSMSIG00000021870	Mus_spicilegus
ENSMUSP00000017864	ENSMUSG00000017720	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0058214	MGP_SPRETEiJ_G0025569	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0056048	MGP_CAROLIEiJ_G0024647	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0067034	MGP_PahariEiJ_G0026091	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000032900	ENSRNOG00000026215	Rattus_norvegicus
ENSMUGP00000031550	ENSMUGG00000026245	Meriones_unguiculatus
ENSCGRP00001003371	ENSCGRG00001004068	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015029191	ENSCGRG00015022050	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000016509	ENSCGRG00000011990	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000014205	ENSMAUG00000014043	Mesocricetus_auratus
ENSMOCP00000023120	ENSMOCG00000019934	Microtus_ochrogaster
ENSPEMP00000002847	ENSPEMG00000003582	Peromyscus_maniculatus_bairdii
ENSNGAP00000013328	ENSNGAG00000014943	Nannospalax_galili
ENSCLAP00000006723	ENSCLAG00000004735	Chinchilla_lanigera
ENSODEP00000021212	ENSODEG00000015624	Octodon_degus
ENSCPOP00000007674	ENSCPOG00000008537	Cavia_porcellus
ENSHGLP00000021225	ENSHGLG00000015165	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100023587	ENSHGLG00100017328	Heterocephalus_glaber_HetGla_1.0
ENSOCUP00000035899	ENSOCUG00000009104	Oryctolagus_cuniculus
ENSOPRP00000010967	ENSOPRG00000012021	Ochotona_princeps
ENSMNEP00000023285	ENSMNEG00000035261	Macaca_nemestrina
ENSMFAP00000023627	ENSMFAG00000043463	Macaca_fascicularis
ENSMMUP00000004548	ENSMMUG00000003408	Macaca_mulatta
ENSPANP00000017657	ENSPANG00000011734	Papio_anubis
ENSTGEP00000025434	ENSTGEG00000020486	Theropithecus_gelada
ENSMLEP00000000060	ENSMLEG00000000074	Mandrillus_leucophaeus
ENSMLEP00000035363	ENSMLEG00000041824	Mandrillus_leucophaeus
ENSCATP00000042592	ENSCATG00000043897	Cercocebus_atys
ENSCSAP00000010504	ENSCSAG00000014382	Chlorocebus_sabaeus
ENSPTEP00000022474	ENSPTEG00000023426	Piliocolobus_tephrosceles
ENSCANP00000008999	ENSCANG00000027910	Colobus_angolensis_palliatus
ENSRBIP00000041403	ENSRBIG00000044037	Rhinopithecus_bieti
ENSRROP00000028163	ENSRROG00000037864	Rhinopithecus_roxellana
ENSPPAP00000022974	ENSPPAG00000034658	Pan_paniscus
ENSPTRP00000023263	ENSPTRG00000013545	Pan_troglodytes
ENSGGOP00000004082	ENSGGOG00000004159	Gorilla_gorilla
ENSP00000361811	ENSG00000124251	Homo_sapiens
ENSPPYP00000012356	ENSPPYG00000011056	Pongo_abelii
ENSNLEP00000008164	ENSNLEG00000006708	Nomascus_leucogenys
ENSSBOP00000002229	ENSSBOG00000011757	Saimiri_boliviensis_boliviensis
ENSCCAP00000000328	ENSCCAG00000001769	Cebus_capucinus_imitator
ENSCJAP00000032251	ENSCJAG00000017512	Callithrix_jacchus
ENSANAP00000002862	ENSANAG00000019284	Aotus_nancymaae
ENSTSYP00000008354	ENSTSYG00000009132	Carlito_syrichta
ENSPCOP00000022244	ENSPCOG00000023205	Propithecus_coquereli
ENSMICP00000013000	ENSMICG00000014268	Microcebus_murinus
ENSPSMP00000036429	ENSPSMG00000025057	Prolemur_simus
ENSOGAP00000009291	ENSOGAG00000010381	Otolemur_garnettii
ENSTBEP00000013023	ENSTBEG00000015004	Tupaia_belangeri
ENSPVAP00000008265	ENSPVAG00000008757	Pteropus_vampyrus
ENSMLUP00000005403	ENSMLUG00000005911	Myotis_lucifugus
ENSEASP00005034259	ENSEASG00005023393	Equus_asinus_asinus
ENSEASP00005034258	ENSEASG00005023392	Equus_asinus_asinus
ENSECAP00000040186	ENSECAG00000023518	Equus_caballus
ENSEEUP00000010125	ENSEEUG00000011102	Erinaceus_europaeus
ENSUAMP00000022548	ENSUAMG00000017705	Ursus_americanus
ENSUMAP00000035187	ENSUMAG00000025298	Ursus_maritimus
ENSAMEP00000004488	ENSAMEG00000004260	Ailuropoda_melanoleuca
ENSMPUP00000017521	ENSMPUG00000017634	Mustela_putorius_furo
ENSNVIP00000013624	ENSNVIG00000010705	Neovison_vison
ENSCAFP00020017372	ENSCAFG00020013906	Canis_lupus_dingo
ENSCAFP00000056522	ENSCAFG00000009683	Canis_lupus_familiaris
ENSVVUP00000025632	ENSVVUG00000018813	Vulpes_vulpes
ENSPPRP00000012461	ENSPPRG00000005986	Panthera_pardus
ENSPTIP00000010196	ENSPTIG00000011043	Panthera_tigris_altaica
ENSFCAP00000060027	ENSFCAG00000009815	Felis_catus
ENSOARP00000005765	ENSOARG00000005370	Ovis_aries
ENSCHIP00000029761	ENSCHIG00000024772	Capra_hircus
ENSBIXP00005011102	ENSBIXG00005015595	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000035609	ENSBIXG00000003319	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000006831	ENSBTAG00000005184	Bos_taurus
ENSBMUP00000028339	ENSBMUG00000021240	Bos_mutus
ENSBBBP00000025156	ENSBBBG00000020342	Bison_bison_bison
ENSTTRP00000013099	ENSTTRG00000013811	Tursiops_truncatus
ENSVPAP00000004668	ENSVPAG00000005033	Vicugna_pacos
ENSSSCP00000049364	ENSSSCG00000037072	Sus_scrofa_strain_reference	ENSSSCT00000040663
ENSDNOP00000003083	ENSDNOG00000004013	Dasypus_novemcinctus
ENSCHOP00000007375	ENSCHOG00000008344	Choloepus_hoffmanni
ENSLAFP00000015699	ENSLAFG00000018728	Loxodonta_africana
ENSPCAP00000000345	ENSPCAG00000000380	Procavia_capensis
ENSETEP00000011847	ENSETEG00000014614	Echinops_telfairi
ENSSARP00000011973	ENSSARG00000013266	Sorex_araneus
ENSPCIP00000004919	ENSPCIG00000004066	Phascolarctos_cinereus
ENSSHAP00000016223	ENSSHAG00000013807	Sarcophilus_harrisii
ENSMODP00000043635	ENSMODG00000050195	Monodelphis_domestica
ENSOANP00000014109	ENSOANG00000008863	Ornithorhynchus_anatinus
ENSABRP00000018186	ENSABRG00000015660	Anser_brachyrhynchus
ENSAPLP00000026791	ENSAPLG00000019085	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000003251	ENSMGAG00000003547	Meleagris_gallopavo
ENSCJPP00005026944	ENSCJPG00005020925	Coturnix_japonica
