ENSSSCP00000002365	ENSSSCG00000032247	Sus_scrofa_strain_reference	ENSSSCT00000002422
ENSSSCP00000002805	ENSSSCG00000033073	Sus_scrofa_strain_reference	ENSSSCT00000002883
ENSSSCP00000040015	ENSSSCG00000034669	Sus_scrofa_strain_reference	ENSSSCT00000060935
ENSBIXP00000038187	ENSBIXG00000021963	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005015103	ENSBIXG00005003087	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000049543	ENSBTAG00000037511	Bos_taurus
ENSBBBP00000025867	ENSBBBG00000021326	Bison_bison_bison
ENSEASP00005025567	ENSEASG00005017423	Equus_asinus_asinus
ENSECAP00000004586	ENSECAG00000006342	Equus_caballus
ENSUAMP00000024873	ENSUAMG00000019403	Ursus_americanus
ENSUMAP00000008056	ENSUMAG00000006174	Ursus_maritimus
ENSAMEP00000004779	ENSAMEG00000004546	Ailuropoda_melanoleuca
ENSNVIP00000009614	ENSNVIG00000007588	Neovison_vison
ENSMPUP00000019476	ENSMPUG00000019604	Mustela_putorius_furo
ENSFCAP00000021170	ENSFCAG00000022611	Felis_catus
ENSPPRP00000027961	ENSPPRG00000019817	Panthera_pardus
ENSHGLP00000013597	ENSHGLG00000009722	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100006289	ENSHGLG00100004727	Heterocephalus_glaber_HetGla_1.0
ENSCCNP00000013657	ENSCCNG00000014157	Castor_canadensis
ENSCSAP00000012866	ENSCSAG00000016811	Chlorocebus_sabaeus
ENSTGEP00000017055	ENSTGEG00000013780	Theropithecus_gelada
ENSPTEP00000003994	ENSPTEG00000004733	Piliocolobus_tephrosceles
ENSP00000493291	ENSG00000176290	Homo_sapiens
ENSOGAP00000018431	ENSOGAG00000027723	Otolemur_garnettii
ENSUPAP00010010282	ENSUPAG00010008326	Urocitellus_parryii
ENSSDAP00000021220	ENSSDAG00000019312	Spermophilus_dauricus
ENSMMMP00000001620	ENSMMMG00000001480	Marmota_marmota_marmota
ENSPSMP00000031195	ENSPSMG00000021647	Prolemur_simus
ENSOCUP00000022757	ENSOCUG00000023115	Oryctolagus_cuniculus
ENSLAFP00000026885	ENSLAFG00000030176	Loxodonta_africana
ENSLAFP00000024466	ENSLAFG00000026525	Loxodonta_africana
ENSLAFP00000022700	ENSLAFG00000028494	Loxodonta_africana
ENSLAFP00000025099	ENSLAFG00000029673	Loxodonta_africana
ENSDNOP00000034166	ENSDNOG00000048878	Dasypus_novemcinctus
