ENSLSDP00000007664	ENSLSDG00000005766	Lonchura_striata_domestica
ENSJHYP00000010666	ENSJHYG00000008372	Junco_hyemalis
ENSGALP00000070976	ENSGALG00000051612	Gallus_gallus
ENSCJPP00005007110	ENSCJPG00005006557	Coturnix_japonica
ENSNMEP00000002360	ENSNMEG00000003061	Numida_meleagris
ENSBIXP00005009704	ENSBIXG00005014525	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000009016	ENSBIXG00000001829	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000061863	ENSBTAG00000049705	Bos_taurus
ENSBMUP00000011040	ENSBMUG00000008510	Bos_mutus
ENSCHIP00000021059	ENSCHIG00000019505	Capra_hircus
ENSPPAP00000022416	ENSPPAG00000034403	Pan_paniscus
ENSSBOP00000030062	ENSSBOG00000031318	Saimiri_boliviensis_boliviensis
ENSXETP00000012207	ENSXETG00000014684	Xenopus_tropicalis
