ENSCLAP00000011920	ENSCLAG00000008228	Chinchilla_lanigera
ENSODEP00000016067	ENSODEG00000011826	Octodon_degus
ENSSTOP00000021752	ENSSTOG00000020081	Ictidomys_tridecemlineatus
ENSUPAP00010007782	ENSUPAG00010006256	Urocitellus_parryii
ENSMMMP00000026257	ENSMMMG00000022988	Marmota_marmota_marmota
ENSMSIP00000032917	ENSMSIG00000027504	Mus_spicilegus
MGP_SPRETEiJ_P0085263	MGP_SPRETEiJ_G0031508	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000075621	ENSMUSG00000054746	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0081873	MGP_CAROLIEiJ_G0030394	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000033528	ENSRNOG00000027505	Rattus_norvegicus
ENSMUGP00000008459	ENSMUGG00000007596	Meriones_unguiculatus
ENSCGRP00015017740	ENSCGRG00015013644	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000013964	ENSCGRG00000010114	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001005994	ENSCGRG00001007949	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000014367	ENSMAUG00000014118	Mesocricetus_auratus
ENSPEMP00000020556	ENSPEMG00000018462	Peromyscus_maniculatus_bairdii
ENSMOCP00000017173	ENSMOCG00000015845	Microtus_ochrogaster
ENSOCUP00000022949	ENSOCUG00000027125	Oryctolagus_cuniculus
ENSPSMP00000025772	ENSPSMG00000018078	Prolemur_simus
ENSOGAP00000016124	ENSOGAG00000031488	Otolemur_garnettii
ENSTGEP00000026102	ENSTGEG00000021037	Theropithecus_gelada
ENSCSAP00000003438	ENSCSAG00000007276	Chlorocebus_sabaeus
ENSMNEP00000004600	ENSMNEG00000021095	Macaca_nemestrina
ENSMFAP00000024771	ENSMFAG00000043938	Macaca_fascicularis
ENSCATP00000043096	ENSCATG00000044121	Cercocebus_atys
ENSMLEP00000040007	ENSMLEG00000044023	Mandrillus_leucophaeus
ENSPTEP00000012323	ENSPTEG00000013832	Piliocolobus_tephrosceles
ENSCCAP00000022122	ENSCCAG00000028877	Cebus_capucinus_imitator
ENSCCAP00000025756	ENSCCAG00000030664	Cebus_capucinus_imitator
ENSPANP00000012352	ENSPANG00000000945	Papio_anubis
ENSPANP00000044509	ENSPANG00000031459	Papio_anubis
ENSCANP00000014275	ENSCANG00000030580	Colobus_angolensis_palliatus
ENSCANP00000033151	ENSCANG00000040238	Colobus_angolensis_palliatus
ENSRROP00000037701	ENSRROG00000042262	Rhinopithecus_roxellana
ENSRROP00000035964	ENSRROG00000041443	Rhinopithecus_roxellana
ENSRBIP00000035276	ENSRBIG00000041300	Rhinopithecus_bieti
ENSRBIP00000001227	ENSRBIG00000006416	Rhinopithecus_bieti
ENSSBOP00000012446	ENSSBOG00000023019	Saimiri_boliviensis_boliviensis
ENSCJAP00000068149	ENSCJAG00000060461	Callithrix_jacchus
ENSHGLP00000025398	ENSHGLG00000018094	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025864	ENSHGLG00100018970	Heterocephalus_glaber_HetGla_1.0
ENSCPOP00000023107	ENSCPOG00000034787	Cavia_porcellus
ENSUPAP00010010275	ENSUPAG00010008321	Urocitellus_parryii
ENSUPAP00010010268	ENSUPAG00010008317	Urocitellus_parryii
ENSSDAP00000025535	ENSSDAG00000023206	Spermophilus_dauricus
ENSOPRP00000000810	ENSOPRG00000000889	Ochotona_princeps
ENSTBEP00000015241	ENSTBEG00000017529	Tupaia_belangeri
ENSPSMP00000025730	ENSPSMG00000018055	Prolemur_simus
ENSPSMP00000025736	ENSPSMG00000018060	Prolemur_simus
ENSMNEP00000011402	ENSMNEG00000030043	Macaca_nemestrina
ENSMNEP00000043369	ENSMNEG00000044374	Macaca_nemestrina
ENSMMUP00000022037	ENSMMUG00000043703	Macaca_mulatta
ENSMMUP00000079873	ENSMMUG00000055796	Macaca_mulatta
ENSMFAP00000024195	ENSMFAG00000043697	Macaca_fascicularis
ENSMFAP00000021872	ENSMFAG00000035846	Macaca_fascicularis
ENSCATP00000010398	ENSCATG00000029470	Cercocebus_atys
ENSCATP00000032281	ENSCATG00000039210	Cercocebus_atys
ENSTGEP00000026109	ENSTGEG00000021043	Theropithecus_gelada
ENSTGEP00000026143	ENSTGEG00000021074	Theropithecus_gelada
ENSMLEP00000026688	ENSMLEG00000037547	Mandrillus_leucophaeus
ENSPTEP00000012119	ENSPTEG00000013648	Piliocolobus_tephrosceles
ENSPTEP00000012153	ENSPTEG00000013687	Piliocolobus_tephrosceles
ENSPPYP00000008108	ENSPPYG00000007171	Pongo_abelii
ENSSBOP00000013304	ENSSBOG00000023424	Saimiri_boliviensis_boliviensis
ENSUAMP00000005888	ENSUAMG00000005194	Ursus_americanus
ENSPTIP00000001230	ENSPTIG00000003206	Panthera_tigris_altaica
ENSSSCP00000008376	ENSSSCG00000007847	Sus_scrofa_strain_reference
ENSVPAP00000003219	ENSVPAG00000003475	Vicugna_pacos
ENSAMEP00000000845	ENSAMEG00000000810	Ailuropoda_melanoleuca
ENSUMAP00000013565	ENSUMAG00000009681	Ursus_maritimus
ENSNVIP00000005294	ENSNVIG00000004011	Neovison_vison
ENSMPUP00000013389	ENSMPUG00000013491	Mustela_putorius_furo
